"ČR, kraje",Ukazatel,Počet zaměstnanců,Čtvrtletí,value
Česko,Počet ekonomických subjektů celkem,3000 - 3999,1. čtvrtletí 2025,28
Česko,Počet ekonomických subjektů celkem,3000 - 3999,4. čtvrtletí 2024,37
Česko,Počet ekonomických subjektů celkem,3000 - 3999,3. čtvrtletí 2024,33
Česko,Počet ekonomických subjektů celkem,3000 - 3999,2. čtvrtletí 2024,29
Česko,Počet ekonomických subjektů celkem,3000 - 3999,1. čtvrtletí 2024,27
Česko,Počet ekonomických subjektů celkem,3000 - 3999,4. čtvrtletí 2023,29
Česko,Počet ekonomických subjektů celkem,3000 - 3999,3. čtvrtletí 2023,28
Česko,Počet ekonomických subjektů celkem,3000 - 3999,2. čtvrtletí 2023,27
Česko,Počet ekonomických subjektů celkem,3000 - 3999,1. čtvrtletí 2023,27
Česko,Počet ekonomických subjektů celkem,3000 - 3999,4. čtvrtletí 2022,28
Česko,Počet ekonomických subjektů celkem,3000 - 3999,3. čtvrtletí 2022,26
Česko,Počet ekonomických subjektů celkem,3000 - 3999,2. čtvrtletí 2022,26
Česko,Počet ekonomických subjektů celkem,3000 - 3999,1. čtvrtletí 2022,25
Česko,Počet ekonomických subjektů celkem,3000 - 3999,4. čtvrtletí 2021,27
Česko,Počet ekonomických subjektů celkem,3000 - 3999,3. čtvrtletí 2021,27
Česko,Počet ekonomických subjektů celkem,3000 - 3999,2. čtvrtletí 2021,25
Česko,Počet ekonomických subjektů celkem,3000 - 3999,1. čtvrtletí 2021,26
Česko,Počet ekonomických subjektů celkem,4000 - 4999,3. čtvrtletí 2025,19
Česko,Počet ekonomických subjektů celkem,4000 - 4999,2. čtvrtletí 2025,17
Česko,Počet ekonomických subjektů celkem,4000 - 4999,1. čtvrtletí 2025,17
Česko,Počet ekonomických subjektů celkem,4000 - 4999,4. čtvrtletí 2024,20
Česko,Počet ekonomických subjektů celkem,4000 - 4999,3. čtvrtletí 2024,20
Česko,Počet ekonomických subjektů celkem,4000 - 4999,2. čtvrtletí 2024,18
Česko,Počet ekonomických subjektů celkem,4000 - 4999,1. čtvrtletí 2024,18
Česko,Počet ekonomických subjektů celkem,4000 - 4999,4. čtvrtletí 2023,19
Česko,Počet ekonomických subjektů celkem,4000 - 4999,3. čtvrtletí 2023,17
Česko,Počet ekonomických subjektů celkem,4000 - 4999,2. čtvrtletí 2023,18
Česko,Počet ekonomických subjektů celkem,4000 - 4999,1. čtvrtletí 2023,18
Česko,Počet ekonomických subjektů celkem,4000 - 4999,4. čtvrtletí 2022,18
Česko,Počet ekonomických subjektů celkem,4000 - 4999,3. čtvrtletí 2022,19
Česko,Počet ekonomických subjektů celkem,4000 - 4999,2. čtvrtletí 2022,19
Česko,Počet ekonomických subjektů celkem,4000 - 4999,1. čtvrtletí 2022,20
Česko,Počet ekonomických subjektů celkem,4000 - 4999,4. čtvrtletí 2021,19
Česko,Počet ekonomických subjektů celkem,4000 - 4999,3. čtvrtletí 2021,16
Česko,Počet ekonomických subjektů celkem,4000 - 4999,2. čtvrtletí 2021,19
Česko,Počet ekonomických subjektů celkem,4000 - 4999,1. čtvrtletí 2021,17
Česko,Počet ekonomických subjektů celkem,5000 - 9999,3. čtvrtletí 2025,28
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2. čtvrtletí 2025,28
Česko,Počet ekonomických subjektů celkem,5000 - 9999,1. čtvrtletí 2025,26
Česko,Počet ekonomických subjektů celkem,5000 - 9999,4. čtvrtletí 2024,29
Česko,Počet ekonomických subjektů celkem,5000 - 9999,3. čtvrtletí 2024,26
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2. čtvrtletí 2024,25
Česko,Počet ekonomických subjektů celkem,5000 - 9999,1. čtvrtletí 2024,26
Česko,Počet ekonomických subjektů celkem,5000 - 9999,4. čtvrtletí 2023,29
Česko,Počet ekonomických subjektů celkem,5000 - 9999,3. čtvrtletí 2023,26
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2. čtvrtletí 2023,26
Česko,Počet ekonomických subjektů celkem,5000 - 9999,1. čtvrtletí 2023,26
Česko,Počet ekonomických subjektů celkem,5000 - 9999,4. čtvrtletí 2022,27
Česko,Počet ekonomických subjektů celkem,5000 - 9999,3. čtvrtletí 2022,26
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2. čtvrtletí 2022,26
Česko,Počet ekonomických subjektů celkem,5000 - 9999,1. čtvrtletí 2022,26
Česko,Počet ekonomických subjektů celkem,5000 - 9999,4. čtvrtletí 2021,30
Česko,Počet ekonomických subjektů celkem,5000 - 9999,3. čtvrtletí 2021,28
Česko,Počet ekonomických subjektů celkem,5000 - 9999,2. čtvrtletí 2021,26
Česko,Počet ekonomických subjektů celkem,5000 - 9999,1. čtvrtletí 2021,28
Česko,Počet ekonomických subjektů celkem,10000 a více,3. čtvrtletí 2025,15
Česko,Počet ekonomických subjektů celkem,10000 a více,2. čtvrtletí 2025,15
Česko,Počet ekonomických subjektů celkem,10000 a více,1. čtvrtletí 2025,15
Česko,Počet ekonomických subjektů celkem,10000 a více,4. čtvrtletí 2024,17
Česko,Počet ekonomických subjektů celkem,10000 a více,3. čtvrtletí 2024,15
Česko,Počet ekonomických subjektů celkem,10000 a více,2. čtvrtletí 2024,14
Česko,Počet ekonomických subjektů celkem,10000 a více,1. čtvrtletí 2024,14
Česko,Počet ekonomických subjektů celkem,10000 a více,4. čtvrtletí 2023,16
Česko,Počet ekonomických subjektů celkem,10000 a více,3. čtvrtletí 2023,14
Česko,Počet ekonomických subjektů celkem,10000 a více,2. čtvrtletí 2023,14
Česko,Počet ekonomických subjektů celkem,10000 a více,1. čtvrtletí 2023,14
Česko,Počet ekonomických subjektů celkem,10000 a více,4. čtvrtletí 2022,14
Česko,Počet ekonomických subjektů celkem,10000 a více,3. čtvrtletí 2022,14
Česko,Počet ekonomických subjektů celkem,10000 a více,2. čtvrtletí 2022,14
Česko,Počet ekonomických subjektů celkem,10000 a více,1. čtvrtletí 2022,14
Česko,Počet ekonomických subjektů celkem,10000 a více,4. čtvrtletí 2021,16
Česko,Počet ekonomických subjektů celkem,10000 a více,3. čtvrtletí 2021,14
Česko,Počet ekonomických subjektů celkem,10000 a více,2. čtvrtletí 2021,14
Česko,Počet ekonomických subjektů celkem,10000 a více,1. čtvrtletí 2021,13
