Území,Druh zemědělské plodiny,Ukazatel,Roky,value
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2017,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2018,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2019,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2020,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2021,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2022,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2023,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2024,
Česko,Obiloviny na zrno,Sklizňová plocha k 31. prosinci (ha),2025,
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2009,7817451.42
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2010,6866275.88
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2011,8270084.39
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2012,6572818.22
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2013,7499441.52
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2014,8766812.32
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2015,8173492.1
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2016,8575453.95
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2017,7447523.05
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2018,6957999.29
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2019,7637865.72
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2020,8113071.64
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2021,8212868.8
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2022,8209286.04
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2023,7986774.61
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2024,7511605.02
Česko,Základní obiloviny a kukuřice na zrno,Sklizeň zemědělských plodin (t),2025,
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2009,5.10007513
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2010,4.72176637
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2011,5.62335325
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2012,4.55632324
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2013,5.34468435
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2014,6.25694751
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2015,5.90995931
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2016,6.35240103
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2017,5.5235861777
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2018,5.2225807316
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2019,5.6695039304
Česko,Základní obiloviny a kukuřice na zrno,Hektarový výnos (t/ha),2020,6.063601725
