Ukazatel;Území;Druh nemovitosti;Roky;value
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Byty [Kč/m2];2020;32158
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Byty [Kč/m2];2021;39802
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Byty [Kč/m2];2022;48746
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Byty [Kč/m2];2023;45595
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Rodinné domy [Kč/m2];2019;24666
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Rodinné domy [Kč/m2];2020;28130
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Rodinné domy [Kč/m2];2021;31795
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Rodinné domy [Kč/m2];2022;39362
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Rodinné domy [Kč/m2];2023;37219
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Byty [Kč/m2];2019;28421
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Byty [Kč/m2];2020;30878
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Byty [Kč/m2];2021;39264
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Byty [Kč/m2];2022;47931
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Byty [Kč/m2];2023;45163
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Rodinné domy [Kč/m2];2019;28521
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Rodinné domy [Kč/m2];2020;30126
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Rodinné domy [Kč/m2];2021;34984
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Rodinné domy [Kč/m2];2022;41647
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Rodinné domy [Kč/m2];2023;41462
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Byty [Kč/m2];2019;23372
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Byty [Kč/m2];2020;27131
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Byty [Kč/m2];2021;35298
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Byty [Kč/m2];2022;42389
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Byty [Kč/m2];2023;38362
