Čtvrtletí,Pohlaví,Území,Ukazatel,value
2. čtvrtletí 2025,Celkem,Olomoucký kraj,Nezaměstnaní (tis. osob),7.407588064
2. čtvrtletí 2025,Celkem,Olomoucký kraj,Ekonomicky neaktivní (tis. osob),206.40603903
2. čtvrtletí 2025,Celkem,Olomoucký kraj,Míra ekonomické aktivity (%),60.271333031
2. čtvrtletí 2025,Celkem,Olomoucký kraj,Míra zaměstnanosti (%),58.845533667
2. čtvrtletí 2025,Celkem,Olomoucký kraj,Obecná míra nezaměstnanosti (%),2.3656343615
2. čtvrtletí 2025,Celkem,Zlínský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),480.46016589
2. čtvrtletí 2025,Celkem,Zlínský kraj,Pracovní síla ekonomicky aktivní (tis. osob),280.6458617
2. čtvrtletí 2025,Celkem,Zlínský kraj,Zaměstnaní (tis. osob),271.14912772
2. čtvrtletí 2025,Celkem,Zlínský kraj,Nezaměstnaní (tis. osob),9.496733983
2. čtvrtletí 2025,Celkem,Zlínský kraj,Ekonomicky neaktivní (tis. osob),199.81430419
2. čtvrtletí 2025,Celkem,Zlínský kraj,Míra ekonomické aktivity (%),58.411889606
2. čtvrtletí 2025,Celkem,Zlínský kraj,Míra zaměstnanosti (%),56.435298276
2. čtvrtletí 2025,Celkem,Zlínský kraj,Obecná míra nezaměstnanosti (%),3.3838852729
2. čtvrtletí 2025,Celkem,Moravskoslezský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),982.67294445
2. čtvrtletí 2025,Celkem,Moravskoslezský kraj,Pracovní síla ekonomicky aktivní (tis. osob),579.75962595
2. čtvrtletí 2025,Celkem,Moravskoslezský kraj,Zaměstnaní (tis. osob),553.39307908
2. čtvrtletí 2025,Celkem,Moravskoslezský kraj,Nezaměstnaní (tis. osob),26.366546866
2. čtvrtletí 2025,Celkem,Moravskoslezský kraj,Ekonomicky neaktivní (tis. osob),402.9133185
2. čtvrtletí 2025,Celkem,Moravskoslezský kraj,Míra ekonomické aktivity (%),58.998228172
2. čtvrtletí 2025,Celkem,Moravskoslezský kraj,Míra zaměstnanosti (%),56.31508247
2. čtvrtletí 2025,Celkem,Moravskoslezský kraj,Obecná míra nezaměstnanosti (%),4.5478411545
