Území,Čtvrtletí,Ukazatel,value
Česko,3. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42071.4246666013
Česko,3. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2685.3029836398
Česko,3. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.8178913508
Česko,3. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4231.718054835
Česko,3. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),7.2262842135
Česko,3. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.1710568893
Česko,3. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40189.851672867
Česko,3. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2608.964120669
Česko,3. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.9422631838
Česko,2. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4047.1139070525
Česko,2. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),16.9835891584
Česko,2. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.4214153841
Česko,2. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42773.7207792753
Česko,2. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3048.0486345471
Česko,2. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.672742763
Česko,2. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4237.3898759753
Česko,2. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),12.7851086366
Česko,2. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.3026344319
Česko,2. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40853.007461897
Česko,2. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2956.05744495
Česko,2. čtvrtletí 2023,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.8002515865
Česko,1. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),4030.1249297448
Česko,1. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),39.6712276261
Česko,1. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.9941533116
Česko,1. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),40801.1062410445
Česko,1. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3109.7255063621
Česko,1. čtvrtletí 2023,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.2504950621
Česko,1. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),4217.7993877949
Česko,1. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),32.7446978986
Česko,1. čtvrtletí 2023,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.7824198326
