Typ indexu;Ukazatel;Očištění;Území;Odvětví (NACE);Roky;value
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.7 Ostatní specializovaný velkoobchod;2016;101.2774258405
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.7 Ostatní specializovaný velkoobchod;2017;103.2772337386
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.7 Ostatní specializovaný velkoobchod;2018;101.3363382736
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.7 Ostatní specializovaný velkoobchod;2019;100.3046798348
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.7 Ostatní specializovaný velkoobchod;2020;107.110698416
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.7 Ostatní specializovaný velkoobchod;2021;100.8048422884
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.7 Ostatní specializovaný velkoobchod;2022;86.4941200484
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.7 Ostatní specializovaný velkoobchod;2023;94.6594836451
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.7 Ostatní specializovaný velkoobchod;2024;84.0712665776
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.9 Nespecializovaný velkoobchod;2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.9 Nespecializovaný velkoobchod;2016;102.0774901138
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.9 Nespecializovaný velkoobchod;2017;101.6622416646
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.9 Nespecializovaný velkoobchod;2018;100.0527754378
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.9 Nespecializovaný velkoobchod;2019;99.6968486893
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.9 Nespecializovaný velkoobchod;2020;104.674560487
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.9 Nespecializovaný velkoobchod;2021;93.1489854428
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.9 Nespecializovaný velkoobchod;2022;89.1715608659
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.9 Nespecializovaný velkoobchod;2023;107.2592297224
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;46.9 Nespecializovaný velkoobchod;2024;100.223411394
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2015;
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2016;102.360652245
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2017;102.7631443191
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2018;101.6014021446
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2019;101.8242206666
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2020;99.2204841933
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2021;103.9231108363
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2022;94.1553240755
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2023;96.8137219325
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Bez očištění;Česko;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2024;98.1225788997
