Kraje, SO ORP;Ukazatel;Institucionální sektor;Čtvrtletí;value
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;3. čtvrtletí 2021;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;2. čtvrtletí 2021;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Nerezidenti;1. čtvrtletí 2021;55
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;1. čtvrtletí 2025;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;4. čtvrtletí 2024;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;3. čtvrtletí 2024;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2. čtvrtletí 2024;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;1. čtvrtletí 2024;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;4. čtvrtletí 2023;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;3. čtvrtletí 2023;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2. čtvrtletí 2023;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;1. čtvrtletí 2023;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;4. čtvrtletí 2022;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;3. čtvrtletí 2022;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2. čtvrtletí 2022;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;1. čtvrtletí 2022;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;4. čtvrtletí 2021;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;3. čtvrtletí 2021;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;2. čtvrtletí 2021;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Členské státy, orgány a instituce Evropské unie;1. čtvrtletí 2021;18
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;1. čtvrtletí 2025;38
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;4. čtvrtletí 2024;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;3. čtvrtletí 2024;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2. čtvrtletí 2024;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;1. čtvrtletí 2024;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;4. čtvrtletí 2023;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;3. čtvrtletí 2023;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2. čtvrtletí 2023;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;1. čtvrtletí 2023;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;4. čtvrtletí 2022;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;3. čtvrtletí 2022;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2. čtvrtletí 2022;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;1. čtvrtletí 2022;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;4. čtvrtletí 2021;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;3. čtvrtletí 2021;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;2. čtvrtletí 2021;37
Hlavní město Praha;Počet ekonomických subjektů celkem;Ostatní země a mezinárodní organizace - nerezidenti EU;1. čtvrtletí 2021;37
