Území,Roky,Institucionální sektory,Ukazatel,value
Česko,2024,Ústřední vládní instituce,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),365.1851824554
Česko,2024,Ústřední vládní instituce,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-0.2462958563
Česko,2024,Ústřední vládní instituce,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.9326013573
Česko,2024,Ústřední vládní instituce,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),53166.9632999782
Česko,2024,Ústřední vládní instituce,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2230.4974775227
Česko,2024,Ústřední vládní instituce,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),104.3789796593
Česko,2024,Ústřední vládní instituce,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),393.4388752824
Česko,2024,Ústřední vládní instituce,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),1.378459181
Česko,2024,Ústřední vládní instituce,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.3515935617
Česko,2024,Ústřední vládní instituce,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),49348.9291808466
Česko,2024,Ústřední vládní instituce,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),1872.0933641428
Česko,2024,Ústřední vládní instituce,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),103.9431721427
Česko,2024,Místní vládní instituce,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),536.2224672156
Česko,2024,Místní vládní instituce,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),8.8732585714
Česko,2024,Místní vládní instituce,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.6826153194
Česko,2024,Místní vládní instituce,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44545.4242933666
Česko,2024,Místní vládní instituce,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),1634.32012139
Česko,2024,Místní vládní instituce,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),103.8086181955
Česko,2024,Místní vládní instituce,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),581.7136822864
Česko,2024,Místní vládní instituce,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),10.7594708167
Česko,2024,Místní vládní instituce,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.8844717493
