Stát;Roky;Odvětví ekonomické činnosti;Ukazatel;value
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;13745.9389315344
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Nepřímé náklady - sociální náklady/výdaje - ostatní;675.527906319
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Nepřímé náklady - personální náklady/výdaje;348.0484720067
Česko;2023;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Nepřímé náklady - daně a dotace;-41.7095044506
Česko;2023;H - Doprava a skladování;Náklady práce celkem;54148.0120063611
Česko;2023;H - Doprava a skladování;Přímé náklady celkem;38541.3637830891
Česko;2023;H - Doprava a skladování;Přímé náklady - mzdy za vykonanou práci;34263.9192821658
Česko;2023;H - Doprava a skladování;Přímé náklady - náhrady mzdy;4277.4445009233
Česko;2023;H - Doprava a skladování;Nepřímé náklady - sociální požitky;785.9071382659
Česko;2023;H - Doprava a skladování;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;13393.3920782173
Česko;2023;H - Doprava a skladování;Nepřímé náklady - sociální náklady/výdaje - ostatní;961.8611813045
Česko;2023;H - Doprava a skladování;Nepřímé náklady - personální náklady/výdaje;473.8157063404
Česko;2023;H - Doprava a skladování;Nepřímé náklady - daně a dotace;-8.3278808561
Česko;2023;I - Ubytování, stravování a pohostinství;Náklady práce celkem;33581.79005886
Česko;2023;I - Ubytování, stravování a pohostinství;Přímé náklady celkem;24503.7953507715
Česko;2023;I - Ubytování, stravování a pohostinství;Přímé náklady - mzdy za vykonanou práci;22229.9006445037
Česko;2023;I - Ubytování, stravování a pohostinství;Přímé náklady - náhrady mzdy;2273.8947062678
Česko;2023;I - Ubytování, stravování a pohostinství;Nepřímé náklady - sociální požitky;261.4651323384
Česko;2023;I - Ubytování, stravování a pohostinství;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;8366.8377830451
Česko;2023;I - Ubytování, stravování a pohostinství;Nepřímé náklady - sociální náklady/výdaje - ostatní;249.3836205419
Česko;2023;I - Ubytování, stravování a pohostinství;Nepřímé náklady - personální náklady/výdaje;216.7020703418
Česko;2023;I - Ubytování, stravování a pohostinství;Nepřímé náklady - daně a dotace;-16.3938981787
