Ukazatel,Pohlaví,Kraje,Věk (roky),Roky,value
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2050,1639946.71811294
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2051,1652206.17909358
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2052,1664264.04267584
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2053,1676089.06659119
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2054,1687653.83331321
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2055,1698939.24849189
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2056,1709936.86591261
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2057,1720649.18615551
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2058,1731088.06373102
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2059,1741273.88344066
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2060,1751232.46278331
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2061,1760992.48064711
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2062,1770578.96994446
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2063,1780018.56736486
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2064,1789335.97587039
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2065,1798553.61880898
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2066,1807690.74623708
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2067,1816762.78032829
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2068,1825782.98289047
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2069,1834763.5371637
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2070,1843717.08231729
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2071,1852657.62859373
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2072,1861599.26976592
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2073,1870556.11578568
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2074,1879541.76287372
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2075,1888566.44824049
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2076,1897634.28182986
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2077,1906742.67838998
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2078,1915882.32883388
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2079,1925038.09573793
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2080,1934190.8598442
Počet obyvatel - celkem,Celkem,Hlavní město Praha,Celkem,2081,1943319.63198751
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2025,11402.7729990614
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2026,11412.3800656118
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2027,11471.7604529925
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2028,11551.8775887737
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2029,11781.047439329
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2030,12068.173759393
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2031,12395.0117264548
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2032,12531.7454505065
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2033,12706.4808268234
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2034,12913.6213725948
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2035,13147.5569760316
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2036,13401.494800563
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2037,13667.3836269198
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2038,13937.1504061298
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2039,14202.39439666
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2040,14455.2421777183
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2041,14688.1612246582
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2042,14894.0596861228
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2043,15068.6909710913
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2044,15210.034063772
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2045,15318.2478220707
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2046,15395.1515445124
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2047,15443.4828133114
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2048,15465.467601748
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2049,15462.2745911342
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2050,15434.5684828531
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2051,15383.4140692652
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2052,15294.7259860206
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2053,15184.4387347828
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2054,15055.8204044812
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2055,14915.4544128071
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2056,14773.9195997304
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2057,14643.1887541128
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2058,14533.4116837846
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2059,14452.8734159353
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2060,14408.3229383616
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2061,14403.6838550683
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2062,14437.9238289561
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2063,14506.8026845484
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2064,14606.4329220331
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2065,14733.072383035
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2066,14881.8098803097
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2067,15046.4829416994
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2068,15220.7354783189
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2069,15398.9882827402
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2070,15576.6751226835
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2071,15750.1293896476
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2072,15915.8453738809
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2073,16071.3716300102
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2074,16215.0915451991
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2075,16345.3186930876
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2076,16460.5216126199
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2077,16559.4396815834
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2078,16641.4092245681
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2079,16706.1663326236
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2080,16753.8384064025
Počet obyvatel - celkem,Celkem,Hlavní město Praha,0,2081,16784.9152408323
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2025,12470.0827562415
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2026,11173.5210004351
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2027,11198.1512201698
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2028,11262.4745127601
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2029,11444.5762073062
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2030,11675.8729925328
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2031,11965.6821420686
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2032,12297.1283108425
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2033,12441.2771533704
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2034,12624.6314895008
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2035,12840.1803865886
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2036,13081.7678704355
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2037,13342.0813785751
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2038,13612.7264660182
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2039,13885.5385021744
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2040,14152.265788028
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2041,14405.3494649268
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2042,14637.6454234185
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2043,14842.4423315279
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2044,15015.8082331823
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2045,15155.9493989545
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2046,15263.1671357552
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2047,15339.3524103685
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2048,15387.2664454857
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2049,15409.135941908
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2050,15406.1239765857
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2051,15378.8869898516
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2052,15328.5253160012
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2053,15240.9858657155
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2054,15132.1357762065
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2055,15005.1583447896
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2056,14866.5553977679
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2057,14726.7865927086
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2058,14597.6918816542
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2059,14489.301303407
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2060,14409.8013064459
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2061,14365.8655726836
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2062,14361.3186509885
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2063,14395.1976365002
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2064,14463.3030736156
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2065,14561.7945439338
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2066,14686.9786408285
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2067,14834.003351275
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2068,14996.7766529662
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2069,15169.0150510958
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2070,15345.2045998416
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2071,15520.8332579374
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2072,15692.2798761816
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2073,15856.0774370282
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2074,16009.8038330042
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2075,16151.8640739853
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2076,16280.5909649632
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2077,16394.4707035083
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2078,16492.2564185474
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2079,16573.2926306587
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2080,16637.3183704317
Počet obyvatel - celkem,Celkem,Hlavní město Praha,1,2081,16684.459417206
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2025,13553.1017192406
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2026,12217.2008641139
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2027,10955.4529360653
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2028,10994.7992506532
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2029,11159.932268535
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2030,11344.2150624247
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2031,11578.1657087392
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2032,11871.0732952966
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2033,12207.0828788378
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2034,12357.8926188101
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2035,12548.4887043148
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2036,12770.4667966254
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2037,13017.2543749169
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2038,13281.2657525622
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2039,13554.0508792515
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2040,13827.5924128199
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2041,14093.9243467328
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2042,14345.8335713921
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2043,14576.519079005
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2044,14779.5664279689
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2045,14951.266450069
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2046,15089.9700013346
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2047,15196.0555033887
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2048,15271.4390658207
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2049,15318.8755727061
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2050,15340.5753344793
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2051,15337.6879996181
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2052,15310.8597373678
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2053,15261.2217479511
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2054,15174.7560902711
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2055,15067.269587734
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2056,14941.8595394562
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2057,14804.9500166532
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2058,14666.8853735823
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2059,14539.3752009295
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2060,14432.3309931098
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2061,14353.8414582981
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2062,14310.4404522675
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2063,14305.9772476576
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2064,14339.4949476772
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2065,14406.8330462528
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2066,14504.1973030155
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2067,14627.9417049063
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2068,14773.2715109195
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2069,14934.1633495314
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2070,15104.4050789335
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2071,15278.5472710082
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2072,15452.1315917335
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2073,15621.5818195041
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2074,15783.4692731352
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2075,15935.4012054776
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2076,16075.8041056558
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2077,16203.0297269578
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2078,16315.581777116
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2079,16412.2271765147
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2080,16492.3188154491
Počet obyvatel - celkem,Celkem,Hlavní město Praha,2,2081,16555.5988676882
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2025,15494.0201772077
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2026,13262.4067262336
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2027,11978.450143474
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2028,10749.2303381787
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2029,10895.7398626272
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2030,11062.4155049648
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2031,11248.7408872896
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2032,11484.9932704336
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2033,11780.3123355333
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2034,12119.6807867581
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2035,12275.2558078076
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2036,12470.6157565437
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2037,12696.2037074998
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2038,12945.2714427832
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2039,13210.2179799588
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2040,13482.7395361571
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2041,13755.0717920637
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2042,14019.5465622303
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2043,14269.2438396233
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2044,14497.6222989718
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2045,14698.475886499
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2046,14868.2396234301
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2047,15005.3468159979
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2048,15110.2083043786
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2049,15184.7361716854
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2050,15231.6622933801
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2051,15253.1729556833
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2052,15250.4020283571
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2053,15223.9847358408
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2054,15175.0864843664
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2055,15089.723805039
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2056,14983.639169041
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2057,14859.8417151252
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2058,14724.6741682923
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2059,14588.3606415425
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2060,14462.4755437537
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2061,14356.8078248141
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2062,14279.2762370752
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2063,14236.4064139411
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2064,14232.0065596718
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2065,14265.1269733684
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2066,14331.6478767249
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2067,14427.8227952674
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2068,14550.0549115527
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2069,14693.6091353932
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2070,14852.5334743681
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2071,15020.6897418821
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2072,15192.695230143
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2073,15364.147091888
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2074,15531.5156041551
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2075,15691.4117384537
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2076,15841.4730019585
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2077,15980.1480943156
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2078,16105.808447082
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2079,16216.9759241669
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2080,16312.4316854531
Počet obyvatel - celkem,Celkem,Hlavní město Praha,3,2081,16391.5372135459
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2025,13966.9106710593
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2026,15179.328499032
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2027,12992.6496113343
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2028,11757.6220831493
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2029,10655.8375312502
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2030,10808.7486223208
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2031,10977.2735190613
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2032,11165.8673394945
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2033,11404.4712354869
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2034,11701.9668749672
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2035,12043.9895807225
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2036,12203.0643724275
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2037,12401.5475442089
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2038,12628.9971479851
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2039,12878.678236215
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2040,13143.1264883775
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2041,13414.2669471595
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2042,13684.6010686972
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2043,13946.7215432167
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2044,14193.9395538104
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2045,14419.906272624
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2046,14618.5632694443
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2047,14786.4414248603
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2048,14922.022250821
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2049,15025.7274893764
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2050,15099.4539929539
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2051,15145.906700029
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2052,15167.247858807
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2053,15164.5964816847
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2054,15138.5773313204
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2055,15090.3907104312
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2056,15006.0836468281
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2057,14901.334819544
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2058,14779.0713095686
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2059,14645.5577694424
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2060,14510.9035472571
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2061,14386.5550359188
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2062,14282.1153336763
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2063,14205.4788376211
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2064,14163.098263361
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2065,14158.7440882206
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2066,14191.474732259
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2067,14257.2094853118
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2068,14352.2470219584
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2069,14473.0372427461
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2070,14614.9019192175
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2071,14771.9569038253
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2072,14938.1339819668
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2073,15108.1133664816
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2074,15277.544458952
Počet obyvatel - celkem,Celkem,Hlavní město Praha,4,2075,15442.941410115
