Čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
2. čtvrtletí 2025,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44929.3638499886
2. čtvrtletí 2025,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3028.3300079459
2. čtvrtletí 2025,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.2273395911
2. čtvrtletí 2025,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),551.9025297562
2. čtvrtletí 2025,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-1.4628928811
2. čtvrtletí 2025,Pracovištní metoda,Severovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.7356370996
2. čtvrtletí 2025,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),42692.5274361809
2. čtvrtletí 2025,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2798.7581161178
2. čtvrtletí 2025,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.0155268951
2. čtvrtletí 2025,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),645.1196129847
2. čtvrtletí 2025,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),1.8074006712
2. čtvrtletí 2025,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.2809523333
2. čtvrtletí 2025,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),46971.9562186666
2. čtvrtletí 2025,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3370.8881397946
2. čtvrtletí 2025,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.731205423
2. čtvrtletí 2025,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),682.4272706446
2. čtvrtletí 2025,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),3.3383830518
2. čtvrtletí 2025,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.4915973612
2. čtvrtletí 2025,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),44404.0435082514
2. čtvrtletí 2025,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),3100.0256138091
2. čtvrtletí 2025,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.5053851219
2. čtvrtletí 2025,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),425.0422809701
2. čtvrtletí 2025,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-1.111866893
2. čtvrtletí 2025,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.7390927911
2. čtvrtletí 2025,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43712.2808526567
2. čtvrtletí 2025,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2958.8655077447
2. čtvrtletí 2025,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.2604111403
2. čtvrtletí 2025,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),447.9039894827
2. čtvrtletí 2025,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-0.5672830358
