Území;Ukazatel;Týdny;Věkové skupiny (roky);value
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 37. týden 2024;15-44;1.5872532301
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 37. týden 2024;45-64;8.7807441582
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 37. týden 2024;65-74;35.611253156
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 37. týden 2024;75-84;88.2075110419
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 37. týden 2024;85 a více;285.3129878583
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 36. týden 2024;celkem;19.4852463934
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 36. týden 2024;0-14;0.3472708562
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 36. týden 2024;15-44;1.3056437861
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 36. týden 2024;45-64;7.7904346666
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 36. týden 2024;65-74;36.6515818999
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 36. týden 2024;75-84;91.271158314
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 36. týden 2024;85 a více;322.0170600528
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 35. týden 2024;celkem;19.1366402903
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 35. týden 2024;0-14;0.2315139041
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 35. týden 2024;15-44;1.4336480788
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 35. týden 2024;45-64;8.5826822599
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 35. týden 2024;65-74;34.4908991241
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 35. týden 2024;75-84;95.3560213434
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 35. týden 2024;85 a více;287.7599260046
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 34. týden 2024;celkem;18.0266050674
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 34. týden 2024;0-14;0.1736354281
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 34. týden 2024;15-44;1.3824463617
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 34. týden 2024;45-64;8.4836513107
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 34. týden 2024;65-74;32.9704186523
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 34. týden 2024;75-84;86.2927314968
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 34. týden 2024;85 a více;275.5252352731
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 33. týden 2024;celkem;19.3935079452
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 33. týden 2024;0-14;0.2893923802
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 33. týden 2024;15-44;1.9456652498
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 33. týden 2024;45-64;8.3516100452
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 33. týden 2024;65-74;34.4108738361
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 33. týden 2024;75-84;91.7817661927
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 33. týden 2024;85 a více;308.8035940627
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 32. týden 2024;celkem;18.347689636
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 32. týden 2024;0-14;0.4051493323
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 32. týden 2024;15-44;1.6640558058
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 32. týden 2024;45-64;8.9788060565
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 32. týden 2024;65-74;33.3705450922
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 32. týden 2024;75-84;84.6332558911
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 32. týden 2024;85 a více;281.8872744535
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 31. týden 2024;celkem;19.2192048937
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 31. týden 2024;0-14;0.4630278083
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 31. týden 2024;15-44;1.7920600985
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 31. týden 2024;45-64;9.0778370056
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 31. týden 2024;65-74;35.85132902
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 31. týden 2024;75-84;89.8669866476
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 31. týden 2024;85 a více;288.7387012631
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 30. týden 2024;celkem;19.1091187559
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 30. týden 2024;0-14;0.4051493323
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 30. týden 2024;15-44;1.254442069
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 30. týden 2024;45-64;8.7477338418
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 30. týden 2024;65-74;35.931354308
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 30. týden 2024;75-84;91.9094181623
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 30. týden 2024;85 a více;290.2068641509
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 29. týden 2024;celkem;18.0999958259
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 29. týden 2024;0-14;0.5209062843
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 29. týden 2024;15-44;1.3824463617
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 29. týden 2024;45-64;7.7574243503
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 29. týden 2024;65-74;35.1311014281
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 29. týden 2024;75-84;86.5480354362
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 29. týden 2024;85 a více;273.0782971268
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 28. týden 2024;celkem;19.3843341004
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 28. týden 2024;0-14;0.4051493323
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 28. týden 2024;15-44;1.7152575229
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 28. týden 2024;45-64;8.6156925762
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 28. týden 2024;65-74;36.6515818999
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 28. týden 2024;75-84;88.9734228599
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 28. týden 2024;85 a více;304.8884930287
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 27. týden 2024;celkem;17.6046082057
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 27. týden 2024;0-14;0.4630278083
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 27. týden 2024;15-44;1.8432618156
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 27. týden 2024;45-64;8.3846203616
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 27. týden 2024;65-74;34.1707979722
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 27. týden 2024;75-84;79.654829074
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 27. týden 2024;85 a více;261.3329940246
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 26. týden 2024;celkem;19.0265541525
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 26. týden 2024;0-14;0.3472708562
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 26. týden 2024;15-44;1.4848497959
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 26. týden 2024;45-64;9.0118163729
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 26. týden 2024;65-74;34.4908991241
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 26. týden 2024;75-84;92.9306339197
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 26. týden 2024;85 a více;282.866049712
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 25. týden 2024;celkem;19.6687232898
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 25. týden 2024;0-14;0.6366632364
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 25. týden 2024;15-44;1.9200643913
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 25. týden 2024;45-64;9.6060020678
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 25. týden 2024;65-74;34.8910255641
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 25. týden 2024;75-84;91.271158314
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 25. týden 2024;85 a více;301.4627796239
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 24. týden 2024;celkem;17.641303585
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 24. týden 2024;0-14;0.4051493323
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 24. týden 2024;15-44;1.5616523716
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 24. týden 2024;45-64;8.7807441582
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 24. týden 2024;65-74;32.0101151964
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 24. týden 2024;75-84;82.0802164977
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 24. týden 2024;85 a více;267.2056455757
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 23. týden 2024;celkem;18.1550388948
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 23. týden 2024;0-14;0.4051493323
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 23. týden 2024;15-44;1.5616523716
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 23. týden 2024;45-64;8.1535481469
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 23. týden 2024;65-74;34.8910255641
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 23. týden 2024;75-84;87.3139472542
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 23. týden 2024;85 a více;266.2268703172
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 22. týden 2024;celkem;17.9348666192
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 22. týden 2024;0-14;0.2315139041
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 22. týden 2024;15-44;1.3568455032
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 22. týden 2024;45-64;8.6156925762
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 22. týden 2024;65-74;32.8903933643
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 22. týden 2024;75-84;83.2290842248
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 22. týden 2024;85 a více;280.908499195
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 21. týden 2024;celkem;18.347689636
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 21. týden 2024;0-14;0.1157569521
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 21. týden 2024;15-44;1.6128540887
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 21. týden 2024;45-64;8.9457957401
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 21. týden 2024;65-74;35.611253156
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 21. týden 2024;75-84;84.3779519518
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 21. týden 2024;85 a více;273.0782971268
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 20. týden 2024;celkem;18.0816481363
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 20. týden 2024;0-14;0.4051493323
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 20. týden 2024;15-44;1.5104506545
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 20. týden 2024;45-64;8.1865584633
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 20. týden 2024;65-74;32.7303427883
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 20. týden 2024;75-84;85.6544716485
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 20. týden 2024;85 a více;282.3766620827
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 19. týden 2024;celkem;17.6137820505
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 19. týden 2024;0-14;0.2893923802
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 19. týden 2024;15-44;0.9984334835
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 19. týden 2024;45-64;8.7147235254
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 19. týden 2024;65-74;34.8110002761
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 19. týden 2024;75-84;84.7609078608
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 19. týden 2024;85 a více;251.0558538101
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 18. týden 2024;celkem;18.6320788253
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 18. týden 2024;0-14;0.5787847604
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 18. týden 2024;15-44;1.3056437861
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 18. týden 2024;45-64;8.7477338418
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 18. týden 2024;65-74;35.0510761401
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 18. týden 2024;75-84;88.8457708902
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 18. týden 2024;85 a více;279.4403363072
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 17. týden 2024;celkem;17.7238681884
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 17. týden 2024;0-14;0.2893923802
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 17. týden 2024;15-44;1.4080472203
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 17. týden 2024;45-64;7.3613005536
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 17. týden 2024;65-74;36.1714301719
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 17. týden 2024;75-84;80.420740892
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 17. týden 2024;85 a více;277.4827857901
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 16. týden 2024;celkem;18.5128188427
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 16. týden 2024;0-14;0.4051493323
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 16. týden 2024;15-44;1.8176609571
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 16. týden 2024;45-64;9.3419195367
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 16. týden 2024;65-74;31.9300899084
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 16. týden 2024;75-84;86.9309913452
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 16. týden 2024;85 a více;282.3766620827
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 15. týden 2024;celkem;18.5219926875
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 15. týden 2024;0-14;0.5209062843
Česko;Míra úmrtnosti (na 100 000 obyvatel k 1.1.); 15. týden 2024;15-44;1.3056437861
