PCSU;Kraje;Kumulace měsíců;Ukazatel;Směr výstavby;value
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;14003.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;6380.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;7623.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;7564.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;5854.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;1710.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;6439.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;971.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-02 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet stavebních povolení v ČR;Celkem;161.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet vydaných stavebních povolení - budovy;Celkem;121.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet vydaných stavebních povolení - budovy;Nová výstavba;18.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;103.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet vydaných stavebních povolení - budovy bytové;Celkem;87.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;15.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;72.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet vydaných stavebních povolení - budovy nebytové;Celkem;34.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;3.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;31.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;40.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;3479.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;2746.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;2043.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;703.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;2297.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;1992.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;305.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;449.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;733.0
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet stavebních povolení v ČR;Celkem;2709.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet vydaných stavebních povolení - budovy;Celkem;2245.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet vydaných stavebních povolení - budovy;Nová výstavba;386.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1859.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet vydaných stavebních povolení - budovy bytové;Celkem;1500.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;284.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1216.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet vydaných stavebních povolení - budovy nebytové;Celkem;745.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;102.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;643.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;464.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;63781.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;58769.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;46107.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;12662.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;41883.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;36440.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;5443.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;16886.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;9667.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;7219.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;5012.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-12 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet stavebních povolení v ČR;Celkem;2525.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet vydaných stavebních povolení - budovy;Celkem;2087.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet vydaných stavebních povolení - budovy;Nová výstavba;347.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1740.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet vydaných stavebních povolení - budovy bytové;Celkem;1389.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;257.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1132.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet vydaných stavebních povolení - budovy nebytové;Celkem;698.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;90.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;608.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;438.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;57103.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;52325.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;41494.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;10831.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;37180.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;32515.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;4665.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;15145.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;8979.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;6166.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;4778.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-11 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet stavebních povolení v ČR;Celkem;2276.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet vydaných stavebních povolení - budovy;Celkem;1889.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet vydaných stavebních povolení - budovy;Nová výstavba;309.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1580.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet vydaných stavebních povolení - budovy bytové;Celkem;1247.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;229.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1018.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet vydaných stavebních povolení - budovy nebytové;Celkem;642.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;80.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;562.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;387.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;45449.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;41109.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;32402.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;8707.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;27886.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;23737.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;4149.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;13223.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;8665.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;4558.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;4340.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-10 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet stavebních povolení v ČR;Celkem;2043.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet vydaných stavebních povolení - budovy;Celkem;1694.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet vydaných stavebních povolení - budovy;Nová výstavba;274.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1420.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet vydaných stavebních povolení - budovy bytové;Celkem;1109.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;206.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;903.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet vydaných stavebních povolení - budovy nebytové;Celkem;585.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;68.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;517.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;349.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;42854.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;38723.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;30570.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;8153.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;26820.0
Stavební úřad kromě speciálního;Hlavní město Praha;01-09 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;22923.0
