Území;Ukazatel;Očištění;Typ indexu;Typ tržeb;Vybraná průmyslová činnost;Kumulace měsíců;value
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2023;103.3167471711
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2023;104.2050086995
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2023;103.5623718503
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2023;105.0334964129
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2023;106.2533457543
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2023;107.5986479425
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2023;108.7276397188
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2023;110.6867997293
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2023;111.8056999008
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2023;110.8469768329
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2023;108.7257659087
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2022;115.9402960035
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2022;116.6085171105
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2022;116.4523419284
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2022;116.0854074961
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2022;114.6394583725
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2022;112.6166588353
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2022;112.4375054525
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2022;110.8681880785
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2022;108.5995284407
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2022;111.2120118661
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2022;113.1562820319
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2022;116.724406299
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2021;111.0742822516
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2021;111.3371636469
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2021;111.3641593009
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2021;113.7169826663
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2021;115.9667424162
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2021;117.0449663148
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2021;119.1254389327
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2021;119.9680782134
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2021;116.2372576308
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2021;105.5255918427
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2021;97.7533397521
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2021;95.7511203561
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2020;93.8482599085
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2020;92.6940548482
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2020;91.7496574117
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2020;90.4367251178
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2020;89.0846979505
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2020;88.4961849687
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2020;87.1671517632
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2020;85.5738359237
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2020;89.2722341712
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2020;97.6958300891
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2020;101.3191390057
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2020;101.2830374974
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2019;101.0721686093
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2019;101.1613248103
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2019;102.0132576514
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2019;102.6732883202
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2019;102.2976760709
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2019;103.3274506257
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2019;102.6905378927
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2019;104.2292979584
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2019;103.7708291057
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2019;102.6801559809
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2019;101.6016220589
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2019;100.0771787583
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2018;103.5193666306
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2018;103.7801814288
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2018;103.1954646873
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2018;102.4848772772
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2018;102.5840979234
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2018;102.3998889558
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2018;101.2276665219
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2018;100.8354178885
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2018;101.2138593803
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2018;100.2162153784
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2018;102.9121745384
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2018;104.8672484076
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2017;107.1596621555
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2017;107.6738428309
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2017;107.9292480617
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2017;107.7038607832
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2017;108.2399733564
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2017;108.5626356515
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2017;108.6227693994
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2017;109.2588621691
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2017;108.4008438163
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2017;110.9752505133
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2017;109.1502016395
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2017;113.4867971654
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2016;101.1887207914
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2016;100.8406959545
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2016;100.1306338337
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2016;100.4289310364
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2016;100.2929027092
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2016;98.5223350055
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2016;101.374278888
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2016;101.298815022
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2016;100.2262007304
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2016;100.1027670685
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2016;100.807753398
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2016;98.2251100709
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2015;101.9882712547
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2015;102.337334245
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2015;102.5030918738
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2015;102.6708607599
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2015;103.2256645606
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2015;103.5288953624
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2015;103.8215036858
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2015;103.2259588877
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2015;103.7719454142
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2015;103.8792635085
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2015;102.8421304226
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2015;102.7495073164
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2014;108.9125652993
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2014;108.9132491909
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2014;109.6408792609
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2014;109.7851898203
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2014;109.4344509139
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2014;110.9607700242
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2014;110.3286809999
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2014;109.659016179
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2014;110.6615895172
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2014;110.7638274005
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2014;110.1893062846
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2014;108.6298192566
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2013;101.5337318922
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2013;100.7466546925
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2013;100.2207090189
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2013;99.9366964788
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2013;98.9214949883
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2013;98.1115869459
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2013;97.1877230324
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2013;97.6184557261
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2013;97.0371910149
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2013;95.1220894658
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2013;94.620953561
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2013;95.7044868536
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2012;101.6816257932
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2012;102.6789610042
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2012;103.2845085981
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2012;102.9555888226
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2012;103.618444191
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2012;104.031283611
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2012;103.7321921789
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2012;104.1081370945
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2012;105.3120604061
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2012;106.2077114804
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2012;109.0126036453
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2012;108.5596652525
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2011;107.554031566
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2011;107.9158937493
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2011;108.0729709498
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2011;108.6845677858
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2011;109.7410397197
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2011;110.2573221927
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2011;110.958447388
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2011;111.956364978
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2011;111.4654838286
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2011;113.1387396395
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2011;114.5140910413
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2011;116.4872095616
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – prosinec 2010;109.5112822641
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – listopad 2010;109.2058615273
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – říjen 2010;108.5739981035
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – září 2010;108.640720944
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – srpen 2010;108.0106394475
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červenec 2010;107.2124637538
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – červen 2010;107.2161693753
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – květen 2010;106.5192136593
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – duben 2010;104.3374180684
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – březen 2010;102.6972512192
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden – únor 2010;101.2499472147
