Ukazatel,Území,Druh zemědělské plodiny,Roky,value
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2006,61991.01
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2007,60884.25
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2008,41925.33
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2009,37827.31
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2010,48085.64
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2011,57352.76
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2012,69378.91
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2013,40970.4
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2014,45251.16
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2015,51620.38
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2016,30599.54
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2017,46562.72
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2018,46012.15
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2019,24929.32
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2020,23945.71
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2021,75247.4
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2022,52855.78
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2023,35320.87
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2024,24101.46
Osevní plocha k 31. květnu (ha),Česko,Pšenice setá jarní,2025,20273.89
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2002,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2003,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2004,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2005,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2006,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2007,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2008,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2009,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2010,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2011,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2012,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2013,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2014,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2015,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2016,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2017,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2018,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2019,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2020,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2021,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2022,
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2023,3468.55
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2024,4894.23
Osevní plocha k 31. květnu (ha),Česko,Pšenice tvrdá,2025,7906.95
Osevní plocha k 31. květnu (ha),Česko,Žito,2002,35331.86
Osevní plocha k 31. květnu (ha),Česko,Žito,2003,41915.29
Osevní plocha k 31. květnu (ha),Česko,Žito,2004,59208.95
Osevní plocha k 31. květnu (ha),Česko,Žito,2005,46903.27
Osevní plocha k 31. květnu (ha),Česko,Žito,2006,22480.98
Osevní plocha k 31. květnu (ha),Česko,Žito,2007,37503.05
Osevní plocha k 31. květnu (ha),Česko,Žito,2008,43399.14
Osevní plocha k 31. květnu (ha),Česko,Žito,2009,38453.28
Osevní plocha k 31. květnu (ha),Česko,Žito,2010,30248.91
Osevní plocha k 31. květnu (ha),Česko,Žito,2011,24985.05
Osevní plocha k 31. květnu (ha),Česko,Žito,2012,30557.28
Osevní plocha k 31. květnu (ha),Česko,Žito,2013,37497.74
Osevní plocha k 31. květnu (ha),Česko,Žito,2014,25137.24
Osevní plocha k 31. květnu (ha),Česko,Žito,2015,21979.79
Osevní plocha k 31. květnu (ha),Česko,Žito,2016,20950.85
Osevní plocha k 31. květnu (ha),Česko,Žito,2017,22220.92
Osevní plocha k 31. květnu (ha),Česko,Žito,2018,25354.55
Osevní plocha k 31. květnu (ha),Česko,Žito,2019,31128.82
Osevní plocha k 31. květnu (ha),Česko,Žito,2020,31432.27
Osevní plocha k 31. květnu (ha),Česko,Žito,2021,25153.89
Osevní plocha k 31. květnu (ha),Česko,Žito,2022,24123.62
Osevní plocha k 31. květnu (ha),Česko,Žito,2023,24652.81
Osevní plocha k 31. květnu (ha),Česko,Žito,2024,24301.05
Osevní plocha k 31. květnu (ha),Česko,Žito,2025,20340.4
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2002,488069.6
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2003,549955.04
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2004,468995.6
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2005,521527.27
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2006,528145.26
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2007,498692.21
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2008,482394.34
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2009,454819.53
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2010,388924.81
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2011,372780.42
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2012,382329.57
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2013,348992.02
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2014,350517.83
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2015,365945.71
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2016,325725.31
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2017,327707.14
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2018,324724.01
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2019,319583.33
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2020,331911.25
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2021,326743.06
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2022,334504.46
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2023,321133.19
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2024,317119.0
Osevní plocha k 31. květnu (ha),Česko,Ječmen,2025,294827.97
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2002,142916.41
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2003,98817.75
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2004,115605.31
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2005,124805.55
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2006,102509.87
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2007,129515.03
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2008,141174.19
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2009,134612.96
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2010,110206.52
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2011,100808.8
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2012,98004.07
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2013,106265.38
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2014,102927.41
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2015,104539.67
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2016,104006.62
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2017,97178.17
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2018,102602.08
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2019,107706.96
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2020,114632.73
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2021,111006.04
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2022,122614.03
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2023,128740.31
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2024,127124.57
Osevní plocha k 31. květnu (ha),Česko,Ječmen ozimý,2025,109514.58
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2002,345153.19
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2003,451137.29
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2004,353390.29
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2005,396721.72
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2006,425635.39
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2007,369177.18
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2008,341220.15
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2009,320206.57
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2010,278718.29
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2011,271971.62
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2012,284325.5
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2013,242726.64
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2014,247590.42
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2015,261406.04
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2016,221718.69
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2017,230528.97
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2018,222121.93
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2019,211876.37
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2020,217278.52
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2021,215737.02
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2022,211890.43
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2023,192392.88
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2024,189994.43
Osevní plocha k 31. květnu (ha),Česko,Ječmen jarní,2025,185313.39
Osevní plocha k 31. květnu (ha),Česko,Oves,2002,61027.42
Osevní plocha k 31. květnu (ha),Česko,Oves,2003,77371.01
Osevní plocha k 31. květnu (ha),Česko,Oves,2004,58572.5
Osevní plocha k 31. květnu (ha),Česko,Oves,2005,51666.6
Osevní plocha k 31. květnu (ha),Česko,Oves,2006,57697.23
Osevní plocha k 31. květnu (ha),Česko,Oves,2007,59015.68
Osevní plocha k 31. květnu (ha),Česko,Oves,2008,49049.07
Osevní plocha k 31. květnu (ha),Česko,Oves,2009,50020.53
Osevní plocha k 31. květnu (ha),Česko,Oves,2010,52278.45
Osevní plocha k 31. květnu (ha),Česko,Oves,2011,45235.52
Osevní plocha k 31. květnu (ha),Česko,Oves,2012,50770.23
Osevní plocha k 31. květnu (ha),Česko,Oves,2013,43558.56
Osevní plocha k 31. květnu (ha),Česko,Oves,2014,42289.0
Osevní plocha k 31. květnu (ha),Česko,Oves,2015,42394.83
Osevní plocha k 31. květnu (ha),Česko,Oves,2016,37566.2
Osevní plocha k 31. květnu (ha),Česko,Oves,2017,44065.02
Osevní plocha k 31. květnu (ha),Česko,Oves,2018,42821.25
Osevní plocha k 31. květnu (ha),Česko,Oves,2019,42530.44
Osevní plocha k 31. květnu (ha),Česko,Oves,2020,46740.28
Osevní plocha k 31. květnu (ha),Česko,Oves,2021,57715.43
Osevní plocha k 31. květnu (ha),Česko,Oves,2022,45147.32
Osevní plocha k 31. květnu (ha),Česko,Oves,2023,42997.26
Osevní plocha k 31. květnu (ha),Česko,Oves,2024,52617.54
Osevní plocha k 31. květnu (ha),Česko,Oves,2025,68242.29
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2002,53094.18
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2003,45970.15
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2004,62776.1
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2005,64811.09
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2006,41022.56
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2007,50050.66
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2008,57757.8
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2009,52949.77
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2010,45870.56
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2011,43528.89
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2012,44199.65
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2013,46816.04
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2014,48497.45
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2015,42891.1
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2016,39595.36
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2017,36263.46
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2018,37850.74
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2019,39667.71
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2020,42097.44
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2021,40856.11
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2022,40565.64
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2023,42010.0
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2024,44048.25
Osevní plocha k 31. květnu (ha),Česko,Tritikale,2025,42528.78
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2002,70569.33
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2003,78040.12
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2004,87821.37
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2005,79981.35
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2006,84900.32
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2007,93065.19
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2008,107898.94
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2009,91609.66
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2010,99945.1
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2011,109650.58
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2012,109565.44
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2013,111930.57
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2014,100453.45
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2015,93574.86
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2016,79302.64
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2017,83762.29
Osevní plocha k 31. květnu (ha),Česko,Kukuřice na zrno,2018,82126.7
