Území;Ukazatel;Typ indexu;Typ zakázek;Vybraná odvětví průmyslu;Roky;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2016;100.7869636103
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2015;110.2505974148
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2014;110.3464087834
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2013;103.0378182069
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2012;101.0571783657
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2011;100.3115579509
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2010;112.7561027831
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2009;89.7631341891
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2008;89.4774999886
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2007;111.791193301
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2006;99.6421765675
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2005;99.9334243444
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2004;114.6828636774
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2003;85.7575741771
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2002;107.3592412549
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2001;164.9707231869
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;17 Výroba papíru a výrobků z papíru;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;20 Výroba chemických látek a chemických přípravků;2024;101.130680268
