Ukazatel;Pohlaví;Území;Rok sčítání;value
Počet obyvatel (obvyklý pobyt);Celkem;Karlovarský kraj;1991;301914
Počet obyvatel (obvyklý pobyt);Celkem;Karlovarský kraj;2001;304307
Počet obyvatel (obvyklý pobyt);Celkem;Karlovarský kraj;2011;295561
Počet obyvatel (obvyklý pobyt);Celkem;Karlovarský kraj;2021;279103
Počet obyvatel (obvyklý pobyt);Celkem;Ústecký kraj;1980;832525
Počet obyvatel (obvyklý pobyt);Celkem;Ústecký kraj;1991;824532
Počet obyvatel (obvyklý pobyt);Celkem;Ústecký kraj;2001;820255
Počet obyvatel (obvyklý pobyt);Celkem;Ústecký kraj;2011;808995
Počet obyvatel (obvyklý pobyt);Celkem;Ústecký kraj;2021;789098
Počet obyvatel (obvyklý pobyt);Celkem;Liberecký kraj;1980;411209
Počet obyvatel (obvyklý pobyt);Celkem;Liberecký kraj;1991;425120
Počet obyvatel (obvyklý pobyt);Celkem;Liberecký kraj;2001;428184
Počet obyvatel (obvyklý pobyt);Celkem;Liberecký kraj;2011;432439
Počet obyvatel (obvyklý pobyt);Celkem;Liberecký kraj;2021;435220
Počet obyvatel (obvyklý pobyt);Celkem;Královéhradecký kraj;1980;561385
Počet obyvatel (obvyklý pobyt);Celkem;Královéhradecký kraj;1991;552809
Počet obyvatel (obvyklý pobyt);Celkem;Královéhradecký kraj;2001;550724
Počet obyvatel (obvyklý pobyt);Celkem;Královéhradecký kraj;2011;547916
Počet obyvatel (obvyklý pobyt);Celkem;Královéhradecký kraj;2021;538303
Počet obyvatel (obvyklý pobyt);Celkem;Pardubický kraj;1980;512573
Počet obyvatel (obvyklý pobyt);Celkem;Pardubický kraj;1991;508718
Počet obyvatel (obvyklý pobyt);Celkem;Pardubický kraj;2001;508281
Počet obyvatel (obvyklý pobyt);Celkem;Pardubický kraj;2011;511627
Počet obyvatel (obvyklý pobyt);Celkem;Pardubický kraj;2021;510037
Počet obyvatel (obvyklý pobyt);Celkem;Kraj Vysočina;1980;508868
Počet obyvatel (obvyklý pobyt);Celkem;Kraj Vysočina;1991;513740
Počet obyvatel (obvyklý pobyt);Celkem;Kraj Vysočina;2001;512143
Počet obyvatel (obvyklý pobyt);Celkem;Kraj Vysočina;2011;505565
Počet obyvatel (obvyklý pobyt);Celkem;Kraj Vysočina;2021;497661
Počet obyvatel (obvyklý pobyt);Celkem;Jihomoravský kraj;1980;1141980
Počet obyvatel (obvyklý pobyt);Celkem;Jihomoravský kraj;1991;1144151
Počet obyvatel (obvyklý pobyt);Celkem;Jihomoravský kraj;2001;1134779
Počet obyvatel (obvyklý pobyt);Celkem;Jihomoravský kraj;2011;1163505
Počet obyvatel (obvyklý pobyt);Celkem;Jihomoravský kraj;2021;1197651
Počet obyvatel (obvyklý pobyt);Celkem;Olomoucký kraj;1980;648416
Počet obyvatel (obvyklý pobyt);Celkem;Olomoucký kraj;1991;647350
Počet obyvatel (obvyklý pobyt);Celkem;Olomoucký kraj;2001;643824
Počet obyvatel (obvyklý pobyt);Celkem;Olomoucký kraj;2011;628428
Počet obyvatel (obvyklý pobyt);Celkem;Olomoucký kraj;2021;619788
Počet obyvatel (obvyklý pobyt);Celkem;Zlínský kraj;1980;591334
Počet obyvatel (obvyklý pobyt);Celkem;Zlínský kraj;1991;596903
Počet obyvatel (obvyklý pobyt);Celkem;Zlínský kraj;2001;595010
Počet obyvatel (obvyklý pobyt);Celkem;Zlínský kraj;2011;579944
Počet obyvatel (obvyklý pobyt);Celkem;Zlínský kraj;2021;564331
Počet obyvatel (obvyklý pobyt);Celkem;Moravskoslezský kraj;1980;1257090
Počet obyvatel (obvyklý pobyt);Celkem;Moravskoslezský kraj;1991;1278726
Počet obyvatel (obvyklý pobyt);Celkem;Moravskoslezský kraj;2001;1265019
Počet obyvatel (obvyklý pobyt);Celkem;Moravskoslezský kraj;2011;1205836
Počet obyvatel (obvyklý pobyt);Celkem;Moravskoslezský kraj;2021;1162841
