Území;Kategorie;Měsíce;Rezidence;Ukazatel;value
Česko;Hromadná ubytovací zařízení celkem;září 2024;Rusko;Počet hostů;3013.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Rusko;Počet přenocování;7824.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Rusko;Průměrný počet přenocování ;2.5967474278
Česko;Hromadná ubytovací zařízení celkem;září 2024;Řecko;Počet hostů;3218.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Řecko;Počet přenocování;8111.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Řecko;Průměrný počet přenocování ;2.5205096333
Česko;Hromadná ubytovací zařízení celkem;září 2024;Slovensko;Počet hostů;73603.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Slovensko;Počet přenocování;143451.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Slovensko;Průměrný počet přenocování ;1.9489830578
Česko;Hromadná ubytovací zařízení celkem;září 2024;Slovinsko;Počet hostů;2649.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Slovinsko;Počet přenocování;5760.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Slovinsko;Průměrný počet přenocování ;2.174405436
Česko;Hromadná ubytovací zařízení celkem;září 2024;Velká Británie a Severní Irsko;Počet hostů;43118.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Velká Británie a Severní Irsko;Počet přenocování;109795.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Velká Británie a Severní Irsko;Průměrný počet přenocování ;2.5463843406
Česko;Hromadná ubytovací zařízení celkem;září 2024;Srbsko a Černá Hora;Počet hostů;3029.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Srbsko a Černá Hora;Počet přenocování;7283.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Srbsko a Černá Hora;Průměrný počet přenocování ;2.4044239023
Česko;Hromadná ubytovací zařízení celkem;září 2024;Španělsko;Počet hostů;21902.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Španělsko;Počet přenocování;62790.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Španělsko;Průměrný počet přenocování ;2.8668614738
Česko;Hromadná ubytovací zařízení celkem;září 2024;Švédsko;Počet hostů;10626.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Švédsko;Počet přenocování;24943.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Švédsko;Průměrný počet přenocování ;2.347355543
Česko;Hromadná ubytovací zařízení celkem;září 2024;Švýcarsko;Počet hostů;10320.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Švýcarsko;Počet přenocování;24831.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Švýcarsko;Průměrný počet přenocování ;2.4061046512
Česko;Hromadná ubytovací zařízení celkem;září 2024;Turecko;Počet hostů;8404.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Turecko;Počet přenocování;19782.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Turecko;Průměrný počet přenocování ;2.3538791052
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ukrajina;Počet hostů;25987.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ukrajina;Počet přenocování;56683.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ukrajina;Průměrný počet přenocování ;2.1812059876
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ostatní evropské země;Počet hostů;10767.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ostatní evropské země;Počet přenocování;22719.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ostatní evropské země;Průměrný počet přenocování ;2.1100585121
Česko;Hromadná ubytovací zařízení celkem;září 2024;Kanada;Počet hostů;12414.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Kanada;Počet přenocování;32600.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Kanada;Průměrný počet přenocování ;2.6260673433
Česko;Hromadná ubytovací zařízení celkem;září 2024;Spojené státy;Počet hostů;68921.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Spojené státy;Počet přenocování;179917.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Spojené státy;Průměrný počet přenocování ;2.6104815659
Česko;Hromadná ubytovací zařízení celkem;září 2024;Brazílie;Počet hostů;6018.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Brazílie;Počet přenocování;15157.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Brazílie;Průměrný počet přenocování ;2.5186108342
Česko;Hromadná ubytovací zařízení celkem;září 2024;Mexiko;Počet hostů;5929.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Mexiko;Počet přenocování;13308.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Mexiko;Průměrný počet přenocování ;2.2445606342
Česko;Hromadná ubytovací zařízení celkem;září 2024;Argentina;Počet hostů;2001.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Argentina;Počet přenocování;4979.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Argentina;Průměrný počet přenocování ;2.4882558721
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ostatní americké země;Počet hostů;6683.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ostatní americké země;Počet přenocování;15822.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Ostatní americké země;Průměrný počet přenocování ;2.3674996259
Česko;Hromadná ubytovací zařízení celkem;září 2024;Čína;Počet hostů;20495.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Čína;Počet přenocování;35344.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Čína;Průměrný počet přenocování ;1.7245181752
Česko;Hromadná ubytovací zařízení celkem;září 2024;Indie;Počet hostů;8987.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Indie;Počet přenocování;22057.0
