Ukazatel,"ČR, kraje, okresy",Druh důchodu,Pohlaví,Roky,value
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Celkem,2018,74110
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Celkem,2019,75278
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Celkem,2020,76626
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Celkem,2021,77240
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Celkem,2022,77812
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Celkem,2023,78203
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2016,36888
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2017,37159
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2018,37497
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2019,37682
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2020,37705
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2021,37630
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2022,37666
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2023,37537
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2016,34143
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2017,35549
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2018,36613
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2019,37596
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2020,38921
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2021,39610
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2022,40146
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2023,40666
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Celkem,2016,163920
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Celkem,2017,166077
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Celkem,2018,168269
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Celkem,2019,170341
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Celkem,2020,173034
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Celkem,2021,174584
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Celkem,2022,176913
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Celkem,2023,177094
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2016,79482
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2017,79378
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2018,79066
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2019,78889
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2020,78532
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2021,78117
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2022,78346
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2023,77596
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2016,84438
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2017,86699
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2018,89203
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2019,91452
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2020,94502
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2021,96467
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2022,98567
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2023,99498
