Území;Ukazatel;Typ indexu;Typ zakázek;Očištění;Vybraná odvětví průmyslu;Roky;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2018;95.217704177
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2017;104.2875322033
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2016;101.1842734713
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2015;103.9146552369
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2014;108.330923652
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2013;102.1304334351
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2012;103.4770719516
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2011;107.8926462584
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2010;105.0482356929
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2009;88.2092820482
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2008;85.8245016457
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2007;107.5893582845
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2006;105.1978161774
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2005;92.316439671
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2004;102.6516758497
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2003;98.0463179501
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2002;94.7801006068
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2001;169.8467404815
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2024;102.6744890238
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2023;100.2033547657
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2022;116.7642035458
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2021;102.5436534157
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2020;96.2744763009
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2019;109.4735005602
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2018;101.8457828516
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2017;105.9805342081
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;14 Výroba oděvů;2016;105.703782123
