Území;Ukazatel;Typ indexu;Typ zakázek;Očištění;Vybraná odvětví průmyslu;Roky;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2008;112.8370637578
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2007;108.2946045294
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2006;116.8261475416
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2005;105.75827185
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2004;122.2959144406
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2003;103.4697290178
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2002;99.921844706
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2001;119.7833460044
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;25 Výroba kovových konstrukcí a kovodělných výrobků, kromě strojů a zařízení;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2024;110.0126683094
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2023;94.4947552833
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2022;105.62834803
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2021;100.542687388
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2020;98.538674355
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2019;90.7943415677
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2018;106.9837005538
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2017;108.9035317758
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2016;100.7916031763
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2015;102.1379362071
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2014;117.2167513944
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2013;107.5077637255
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2012;95.0015451977
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2011;80.1304868418
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2010;120.6916262713
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2009;86.0826365818
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2008;106.9686122188
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2007;112.5653878943
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2006;119.2780936221
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2005;99.1803707787
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2004;128.3035503475
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2003;105.5969084206
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2002;159.7427022357
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2001;220.5561723826
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;26 Výroba počítačů, elektronických a optických přístrojů a zařízení;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2024;102.7113438851
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2023;103.0968484185
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2022;113.4521301526
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2021;116.4701432144
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2020;93.79218311
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2019;106.8950815328
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2018;100.2458198976
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2017;115.5430808722
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2016;97.6532999881
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2015;108.5446612874
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2014;108.0708407293
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2013;102.7906479253
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2012;109.0535200964
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2011;105.2237745129
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2010;126.1514797176
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2009;84.735379203
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2008;90.7931860653
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2007;122.4285647167
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2006;125.3050699414
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2005;108.6758843389
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2004;117.6919405314
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2003;100.3481006283
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2002;105.5359601114
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2001;189.2125173748
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;27 Výroba elektrických zařízení;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2024;98.7813741332
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2023;97.4870740667
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2022;110.7404225733
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2021;116.8406452266
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2020;91.7987813587
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2019;99.3000079539
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2018;101.400702469
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2017;109.5035423486
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2016;103.1330967452
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2015;103.7378264211
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2014;104.2441043718
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2013;106.9067836164
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2012;100.2606877602
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2011;108.608236209
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2010;115.0752870675
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2009;71.3812653352
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2008;91.5658122043
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2007;117.1073624693
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2006;137.3535128906
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2005;117.5171106993
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2004;119.6976001366
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2003;109.4286188483
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2002;101.3297020108
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2001;129.1924736176
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;28 Výroba strojů a zařízení j. n.;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2024;106.1512674217
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2023;107.2167106692
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2022;108.074901965
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2021;113.7442327145
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2020;89.643179833
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2019;103.1879114949
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2018;101.5202174562
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2017;102.5547851294
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2016;115.2749747084
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2015;113.4237591515
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2014;121.0753066242
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2013;104.1185349403
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2012;106.1457740218
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2011;107.6972487113
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2010;113.5816473285
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2009;94.5865959464
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2008;89.5451233729
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2007;113.1225605327
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2006;123.6165319784
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2005;115.6639679432
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2004;115.527366086
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2003;103.9670117495
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2002;111.3324885862
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2001;136.0655116155
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;29 Výroba motorových vozidel (kromě motocyklů), přívěsů a návěsů;2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2024;130.9039391555
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2023;117.5371555297
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2022;102.2753121209
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2021;80.8397449516
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2020;126.8370534774
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2019;93.4142159261
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2018;123.2690897887
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2017;110.5121778537
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2016;100.0218858981
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2015;106.5335327649
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2014;102.9768663971
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2013;115.0679102249
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2012;86.9846481882
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2011;123.6822859524
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2010;66.2669609779
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2009;163.4831929013
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2008;84.0012232156
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2007;153.747418974
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2006;108.2932751038
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2005;83.7554059628
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2004;152.5387691512
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2003;117.8609281049
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2002;99.2750870737
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2001;146.476697516
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;30 Výroba ostatních dopravních prostředků a zařízení;2000;
