Stát,Roky,Ukazatel,Velkost zpravodajské jednotky,value
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,100 až 249 zaměstnanců,3.5390146952
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,250 až 499 zaměstnanců,4.0167575803
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,500 až 999 zaměstnanců,4.688451163
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,1 000 a více zaměstnanců,6.468013216
Česko,2023,Přímé náklady - náhrady mzdy,Celkem zaměstnanců,34.3947013685
Česko,2023,Přímé náklady - náhrady mzdy,1 až 9 zaměstnanců,18.1030548841
Česko,2023,Přímé náklady - náhrady mzdy,10 až 19 zaměstnanců,24.8643970257
Česko,2023,Přímé náklady - náhrady mzdy,20 a více zaměstnanců,37.656386351
Česko,2023,Přímé náklady - náhrady mzdy,20 až 49 zaměstnanců,30.0738875672
Česko,2023,Přímé náklady - náhrady mzdy,50 až 99 zaměstnanců,35.1610088646
Česko,2023,Přímé náklady - náhrady mzdy,100 až 249 zaměstnanců,35.7952282725
Česko,2023,Přímé náklady - náhrady mzdy,250 až 499 zaměstnanců,37.3717878283
Česko,2023,Přímé náklady - náhrady mzdy,500 až 999 zaměstnanců,40.2887557111
Česko,2023,Přímé náklady - náhrady mzdy,1 000 a více zaměstnanců,42.7031805351
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,Celkem zaměstnanců,28.7783756017
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,1 až 9 zaměstnanců,15.7183222024
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,10 až 19 zaměstnanců,21.2381357159
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,20 a více zaměstnanců,31.3838729311
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,20 až 49 zaměstnanců,25.743245739
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,50 až 99 zaměstnanců,30.2521266473
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,100 až 249 zaměstnanců,30.0058213817
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,250 až 499 zaměstnanců,30.2133114017
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,500 až 999 zaměstnanců,33.1047863262
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,1 000 a více zaměstnanců,35.2698764088
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnavatele,Celkem zaměstnanců,0.7263907472
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnavatele,1 až 9 zaměstnanců,0.0481113682
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnavatele,10 až 19 zaměstnanců,0.1661359128
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnavatele,20 a více zaměstnanců,0.8772853196
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnavatele,20 až 49 zaměstnanců,0.1990622025
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnavatele,50 až 99 zaměstnanců,0.2396948581
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnavatele,100 až 249 zaměstnanců,0.4294650792
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnavatele,250 až 499 zaměstnanců,0.876317642
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnavatele,500 až 999 zaměstnanců,1.0864959931
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnavatele,1 000 a více zaměstnanců,1.676836021
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnance,Celkem zaměstnanců,2.179930269
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnance,1 až 9 zaměstnanců,0.3855213999
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnance,10 až 19 zaměstnanců,1.0404935315
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnance,20 a více zaměstnanců,2.5474704562
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnance,20 až 49 zaměstnanců,1.4762768872
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnance,50 až 99 zaměstnanců,2.0891928637
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnance,100 až 249 zaměstnanců,2.1927928426
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnance,250 až 499 zaměstnanců,2.4703096668
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnance,500 až 999 zaměstnanců,2.7435657453
Česko,2023,Přímé náklady - náhrady mzdy - překážky na straně zaměstnance,1 000 a více zaměstnanců,3.4407314177
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,Celkem zaměstnanců,2.7100047505
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,1 až 9 zaměstnanců,1.9510999136
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,10 až 19 zaměstnanců,2.4196318654
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,20 a více zaměstnanců,2.8477576442
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,20 až 49 zaměstnanců,2.6553027383
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,50 až 99 zaměstnanců,2.5799944954
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,100 až 249 zaměstnanců,3.167148969
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,250 až 499 zaměstnanců,3.8118491178
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,500 až 999 zaměstnanců,3.3539076465
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,1 000 a více zaměstnanců,2.3157366876
Česko,2023,Nepřímé náklady celkem,Celkem zaměstnanců,118.7966108378
Česko,2023,Nepřímé náklady celkem,1 až 9 zaměstnanců,72.7813877528
Česko,2023,Nepřímé náklady celkem,10 až 19 zaměstnanců,87.5139432605
Česko,2023,Nepřímé náklady celkem,20 a více zaměstnanců,128.4122646013
Česko,2023,Nepřímé náklady celkem,20 až 49 zaměstnanců,100.2451658674
Česko,2023,Nepřímé náklady celkem,50 až 99 zaměstnanců,109.5718435194
Česko,2023,Nepřímé náklady celkem,100 až 249 zaměstnanců,117.9881758717
Česko,2023,Nepřímé náklady celkem,250 až 499 zaměstnanců,127.5455741993
Česko,2023,Nepřímé náklady celkem,500 až 999 zaměstnanců,138.8600583577
Česko,2023,Nepřímé náklady celkem,1 000 a více zaměstnanců,153.200832972
Česko,2023,Nepřímé náklady - sociální požitky,Celkem zaměstnanců,4.830940183
Česko,2023,Nepřímé náklady - sociální požitky,1 až 9 zaměstnanců,1.2387028201
Česko,2023,Nepřímé náklady - sociální požitky,10 až 19 zaměstnanců,2.4341176145
Česko,2023,Nepřímé náklady - sociální požitky,20 a více zaměstnanců,5.5774145648
Česko,2023,Nepřímé náklady - sociální požitky,20 až 49 zaměstnanců,2.7262397686
Česko,2023,Nepřímé náklady - sociální požitky,50 až 99 zaměstnanců,2.8846326388
Česko,2023,Nepřímé náklady - sociální požitky,100 až 249 zaměstnanců,3.7680230296
Česko,2023,Nepřímé náklady - sociální požitky,250 až 499 zaměstnanců,5.9092887042
Česko,2023,Nepřímé náklady - sociální požitky,500 až 999 zaměstnanců,6.4684217292
Česko,2023,Nepřímé náklady - sociální požitky,1 000 a více zaměstnanců,8.7659811783
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,Celkem zaměstnanců,0.0141479029
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,1 až 9 zaměstnanců,0.0003408108
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,10 až 19 zaměstnanců,0.0021141104
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,20 a více zaměstnanců,0.0172776373
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,20 až 49 zaměstnanců,0.0028889465
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,50 až 99 zaměstnanců,0.0059423344
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,100 až 249 zaměstnanců,0.0009436452
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,250 až 499 zaměstnanců,0.0233156091
