"ČR, kraje",Roky,Ukazatel,Kategorie,value
Česko,2015,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ***",317583
Česko,2014,Počet kongresů (konferencí),Hromadná ubytovací zařízení,10446
Česko,2014,Počet kongresů (konferencí),Hotel *****,926
Česko,2014,Počet kongresů (konferencí),"Hotel, motel, botel ****",5367
Česko,2014,Počet kongresů (konferencí),"Hotel, motel, botel ***",3610
Česko,2014,Počet účastníků kongresů (konferencí),Hromadná ubytovací zařízení,1388751
Česko,2014,Počet účastníků kongresů (konferencí),Hotel *****,151794
Česko,2014,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ****",806137
Česko,2014,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ***",374858
Česko,2013,Počet kongresů (konferencí),Hromadná ubytovací zařízení,10040
Česko,2013,Počet kongresů (konferencí),Hotel *****,1012
Česko,2013,Počet kongresů (konferencí),"Hotel, motel, botel ****",5166
Česko,2013,Počet kongresů (konferencí),"Hotel, motel, botel ***",3443
Česko,2013,Počet účastníků kongresů (konferencí),Hromadná ubytovací zařízení,1282054
Česko,2013,Počet účastníků kongresů (konferencí),Hotel *****,175953
Česko,2013,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ****",714908
Česko,2013,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ***",344493
Česko,2012,Počet kongresů (konferencí),Hromadná ubytovací zařízení,11547
Česko,2012,Počet kongresů (konferencí),Hotel *****,953
Česko,2012,Počet kongresů (konferencí),"Hotel, motel, botel ****",6067
Česko,2012,Počet kongresů (konferencí),"Hotel, motel, botel ***",4135
Česko,2012,Počet účastníků kongresů (konferencí),Hromadná ubytovací zařízení,1535597
Česko,2012,Počet účastníků kongresů (konferencí),Hotel *****,158958
Česko,2012,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ****",877840
Česko,2012,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ***",457532
Česko,2011,Počet kongresů (konferencí),Hromadná ubytovací zařízení,10601
Česko,2011,Počet kongresů (konferencí),Hotel *****,867
Česko,2011,Počet kongresů (konferencí),"Hotel, motel, botel ****",5599
Česko,2011,Počet kongresů (konferencí),"Hotel, motel, botel ***",3793
Česko,2011,Počet účastníků kongresů (konferencí),Hromadná ubytovací zařízení,1350459
Česko,2011,Počet účastníků kongresů (konferencí),Hotel *****,146957
Česko,2011,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ****",775638
Česko,2011,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ***",395769
Česko,2010,Počet kongresů (konferencí),Hromadná ubytovací zařízení,10146
Česko,2010,Počet kongresů (konferencí),Hotel *****,778
Česko,2010,Počet kongresů (konferencí),"Hotel, motel, botel ****",5736
Česko,2010,Počet kongresů (konferencí),"Hotel, motel, botel ***",3205
Česko,2010,Počet účastníků kongresů (konferencí),Hromadná ubytovací zařízení,1295287
Česko,2010,Počet účastníků kongresů (konferencí),Hotel *****,118423
Česko,2010,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ****",769527
Česko,2010,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ***",370126
Česko,2009,Počet kongresů (konferencí),Hromadná ubytovací zařízení,9411
Česko,2009,Počet kongresů (konferencí),Hotel *****,639
Česko,2009,Počet kongresů (konferencí),"Hotel, motel, botel ****",4808
Česko,2009,Počet kongresů (konferencí),"Hotel, motel, botel ***",3633
Česko,2009,Počet účastníků kongresů (konferencí),Hromadná ubytovací zařízení,1192909
Česko,2009,Počet účastníků kongresů (konferencí),Hotel *****,101883
Česko,2009,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ****",654874
Česko,2009,Počet účastníků kongresů (konferencí),"Hotel, motel, botel ***",401743
