Ukazatel;Rok sčítání;Ekonomická aktivita;Pohlaví;Území;Hlavní třídy zaměstnání;value
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Královéhradecký kraj;Nezjištěno;29933
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Zaměstnaní celkem;255984
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Zákonodárci a řídící pracovníci;11871
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Specialisté;40574
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Techničtí a odborní pracovníci;40158
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Úředníci;17170
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Pracovníci ve službách a prodeji;31269
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;3093
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Řemeslníci a opraváři;34286
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Obsluha strojů a zařízení, montéři;36854
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Pomocní a nekvalifikovaní pracovníci;11835
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Zaměstnanci v ozbrojených silách;1667
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Pardubický kraj;Nezjištěno;27207
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Zaměstnaní celkem;246077
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Zákonodárci a řídící pracovníci;10646
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Specialisté;36547
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Techničtí a odborní pracovníci;37930
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Úředníci;14315
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Pracovníci ve službách a prodeji;30729
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;5027
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Řemeslníci a opraváři;36814
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Obsluha strojů a zařízení, montéři;37062
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Pomocní a nekvalifikovaní pracovníci;11636
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Zaměstnanci v ozbrojených silách;1239
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Kraj Vysočina;Nezjištěno;24132
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Zaměstnaní celkem;603968
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Zákonodárci a řídící pracovníci;30596
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Specialisté;127750
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Techničtí a odborní pracovníci;98692
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Úředníci;41580
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Pracovníci ve službách a prodeji;76538
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství;6736
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Řemeslníci a opraváři;70772
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Obsluha strojů a zařízení, montéři;65104
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Pomocní a nekvalifikovaní pracovníci;25964
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Zaměstnanci v ozbrojených silách;2262
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihomoravský kraj;Nezjištěno;57974
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Zaměstnaní celkem;301779
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Zákonodárci a řídící pracovníci;13284
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Specialisté;50229
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Olomoucký kraj;Techničtí a odborní pracovníci;47073
