Území,Ukazatel,Druh chráněného území,Roky,value
Česko,Počet chráněných území,Přírodní rezervace,2017,810.0
Česko,Počet chráněných území,Přírodní rezervace,2018,812.0
Česko,Počet chráněných území,Přírodní rezervace,2019,817.0
Česko,Počet chráněných území,Přírodní rezervace,2020,816.0
Česko,Počet chráněných území,Přírodní rezervace,2021,818.0
Česko,Počet chráněných území,Přírodní rezervace,2022,820.0
Česko,Počet chráněných území,Přírodní rezervace,2023,818.0
Česko,Rozloha chráněného území (ha),Národní park,2015,119489.0
Česko,Rozloha chráněného území (ha),Národní park,2016,119489.0
Česko,Rozloha chráněného území (ha),Národní park,2017,119105.0
Česko,Rozloha chráněného území (ha),Národní park,2018,119105.1388
Česko,Rozloha chráněného území (ha),Národní park,2019,119105.0
Česko,Rozloha chráněného území (ha),Národní park,2020,119018.4372
Česko,Rozloha chráněného území (ha),Národní park,2021,119018.0
Česko,Rozloha chráněného území (ha),Národní park,2022,119018.8387
Česko,Rozloha chráněného území (ha),Národní park,2023,119018.877
Česko,Rozloha chráněného území (ha),Chráněná krajinná oblast,2015,1135273.7827
Česko,Rozloha chráněného území (ha),Chráněná krajinná oblast,2016,1135273.7827
Česko,Rozloha chráněného území (ha),Chráněná krajinná oblast,2017,1137467.0
Česko,Rozloha chráněného území (ha),Chráněná krajinná oblast,2018,1137467.3564
Česko,Rozloha chráněného území (ha),Chráněná krajinná oblast,2019,1138015.0
Česko,Rozloha chráněného území (ha),Chráněná krajinná oblast,2020,1138182.9459
Česko,Rozloha chráněného území (ha),Chráněná krajinná oblast,2021,1138184.0
Česko,Rozloha chráněného území (ha),Chráněná krajinná oblast,2022,1138174.3816
Česko,Rozloha chráněného území (ha),Chráněná krajinná oblast,2023,1138174.3925
Česko,Rozloha chráněného území (ha),Maloplošné chráněné území,2015,114373.5091
Česko,Rozloha chráněného území (ha),Maloplošné chráněné území,2016,116185.8913
Česko,Rozloha chráněného území (ha),Maloplošné chráněné území,2017,110997.0
Česko,Rozloha chráněného území (ha),Maloplošné chráněné území,2018,111843.8532
Česko,Rozloha chráněného území (ha),Maloplošné chráněné území,2019,113280.0
Česko,Rozloha chráněného území (ha),Maloplošné chráněné území,2020,114845.9604
Česko,Rozloha chráněného území (ha),Maloplošné chráněné území,2021,115859.0
Česko,Rozloha chráněného území (ha),Maloplošné chráněné území,2022,116293.4932
Česko,Rozloha chráněného území (ha),Maloplošné chráněné území,2023,116895.3675
Česko,Rozloha chráněného území (ha),Národní přírodní památka,2015,5814.2013
Česko,Rozloha chráněného území (ha),Národní přírodní památka,2016,6199.0301
Česko,Rozloha chráněného území (ha),Národní přírodní památka,2017,6593.0
Česko,Rozloha chráněného území (ha),Národní přírodní památka,2018,6615.5373
Česko,Rozloha chráněného území (ha),Národní přírodní památka,2019,6614.0
Česko,Rozloha chráněného území (ha),Národní přírodní památka,2020,7807.2396
Česko,Rozloha chráněného území (ha),Národní přírodní památka,2021,8274.0
Česko,Rozloha chráněného území (ha),Národní přírodní památka,2022,8273.3715
Česko,Rozloha chráněného území (ha),Národní přírodní památka,2023,8222.6554
Česko,Rozloha chráněného území (ha),Národní přírodní rezervace,2015,28706.4377
Česko,Rozloha chráněného území (ha),Národní přírodní rezervace,2016,28629.2974
Česko,Rozloha chráněného území (ha),Národní přírodní rezervace,2017,29532.0
Česko,Rozloha chráněného území (ha),Národní přírodní rezervace,2018,29532.3489
Česko,Rozloha chráněného území (ha),Národní přírodní rezervace,2019,30146.0
Česko,Rozloha chráněného území (ha),Národní přírodní rezervace,2020,30130.8111
Česko,Rozloha chráněného území (ha),Národní přírodní rezervace,2021,30440.0
Česko,Rozloha chráněného území (ha),Národní přírodní rezervace,2022,30440.7746
Česko,Rozloha chráněného území (ha),Národní přírodní rezervace,2023,30440.7746
Česko,Rozloha chráněného území (ha),Přírodní památka,2015,37551.0486
Česko,Rozloha chráněného území (ha),Přírodní památka,2016,38620.5545
Česko,Rozloha chráněného území (ha),Přírodní památka,2017,31943.0
Česko,Rozloha chráněného území (ha),Přírodní památka,2018,32664.6645
Česko,Rozloha chráněného území (ha),Přírodní památka,2019,33296.0
Česko,Rozloha chráněného území (ha),Přírodní památka,2020,33636.931
Česko,Rozloha chráněného území (ha),Přírodní památka,2021,33645.0
Česko,Rozloha chráněného území (ha),Přírodní památka,2022,33902.44
Česko,Rozloha chráněného území (ha),Přírodní památka,2023,34527.3268
Česko,Rozloha chráněného území (ha),Přírodní rezervace,2015,42301.8215
Česko,Rozloha chráněného území (ha),Přírodní rezervace,2016,42737.0093
Česko,Rozloha chráněného území (ha),Přírodní rezervace,2017,42929.0
Česko,Rozloha chráněného území (ha),Přírodní rezervace,2018,43031.3025
Česko,Rozloha chráněného území (ha),Přírodní rezervace,2019,43224.0
Česko,Rozloha chráněného území (ha),Přírodní rezervace,2020,43270.9787
Česko,Rozloha chráněného území (ha),Přírodní rezervace,2021,43499.0
Česko,Rozloha chráněného území (ha),Přírodní rezervace,2022,43676.9071
Česko,Rozloha chráněného území (ha),Přírodní rezervace,2023,43704.6107
