Území,Týdny,Ukazatel,Druh PHM,value
Česko, 28. týden 2025,Index cen pohonných hmot (%),LPG,100.1
Česko, 27. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.9
Česko, 27. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.81
Česko, 27. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.64
Česko, 27. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.1
Česko, 27. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.3
Česko, 27. týden 2025,Index cen pohonných hmot (%),LPG,99.9
Česko, 26. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.87
Česko, 26. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.71
Česko, 26. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.65
Česko, 26. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,102.7
Česko, 26. týden 2025,Index cen pohonných hmot (%),Motorová nafta,103.3
Česko, 26. týden 2025,Index cen pohonných hmot (%),LPG,99.4
Česko, 25. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,33.95
Česko, 25. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,32.63
Česko, 25. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.75
Česko, 25. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.2
Česko, 25. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.4
Česko, 25. týden 2025,Index cen pohonných hmot (%),LPG,99.4
Česko, 24. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,33.89
Česko, 24. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,32.51
Česko, 24. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.86
Česko, 24. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.0
Česko, 24. týden 2025,Index cen pohonných hmot (%),Motorová nafta,99.9
Česko, 24. týden 2025,Index cen pohonných hmot (%),LPG,99.9
Česko, 23. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,33.89
Česko, 23. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,32.53
