Roky;Území;Ukazatel;Způsob vyplacení důchodu;value
2023;Jihomoravský kraj;Počet příjemců vdovských důchodu;Sólo;1853
2023;Jihomoravský kraj;Počet příjemců vdovských důchodu;Kombinace;55251
2023;Jihomoravský kraj;Průměrný vdovecký důchod (Kč);Sólo;11384
2023;Jihomoravský kraj;Průměrný vdovecký důchod (Kč);Kombinace;23803
2023;Jihomoravský kraj;Průměrný vdovský důchod (Kč);Sólo;12506
2023;Jihomoravský kraj;Průměrný vdovský důchod (Kč);Kombinace;21922
2023;Olomoucký kraj;Počet příjemců vdoveckých důchodu;Sólo;321
2023;Olomoucký kraj;Počet příjemců vdoveckých důchodu;Kombinace;5663
2023;Olomoucký kraj;Počet příjemců vdovských důchodu;Sólo;1069
2023;Olomoucký kraj;Počet příjemců vdovských důchodu;Kombinace;31176
2023;Olomoucký kraj;Průměrný vdovecký důchod (Kč);Sólo;11624
2023;Olomoucký kraj;Průměrný vdovecký důchod (Kč);Kombinace;23361
2023;Olomoucký kraj;Průměrný vdovský důchod (Kč);Sólo;12460
2023;Olomoucký kraj;Průměrný vdovský důchod (Kč);Kombinace;21727
2023;Zlínský kraj;Počet příjemců vdoveckých důchodu;Sólo;274
2023;Zlínský kraj;Počet příjemců vdoveckých důchodu;Kombinace;5324
2023;Zlínský kraj;Počet příjemců vdovských důchodu;Sólo;1027
2023;Zlínský kraj;Počet příjemců vdovských důchodu;Kombinace;30415
2023;Zlínský kraj;Průměrný vdovecký důchod (Kč);Sólo;11829
2023;Zlínský kraj;Průměrný vdovecký důchod (Kč);Kombinace;23730
2023;Zlínský kraj;Průměrný vdovský důchod (Kč);Sólo;12693
2023;Zlínský kraj;Průměrný vdovský důchod (Kč);Kombinace;21762
2023;Moravskoslezský kraj;Počet příjemců vdoveckých důchodu;Sólo;559
2023;Moravskoslezský kraj;Počet příjemců vdoveckých důchodu;Kombinace;11081
2023;Moravskoslezský kraj;Počet příjemců vdovských důchodu;Sólo;2941
2023;Moravskoslezský kraj;Počet příjemců vdovských důchodu;Kombinace;60166
2023;Moravskoslezský kraj;Průměrný vdovecký důchod (Kč);Sólo;11164
2023;Moravskoslezský kraj;Průměrný vdovecký důchod (Kč);Kombinace;24626
2023;Moravskoslezský kraj;Průměrný vdovský důchod (Kč);Sólo;13342
2023;Moravskoslezský kraj;Průměrný vdovský důchod (Kč);Kombinace;21782
2023;Hlavní město Praha;Počet příjemců vdoveckých důchodu;Sólo;452
2023;Hlavní město Praha;Počet příjemců vdoveckých důchodu;Kombinace;8725
2023;Hlavní město Praha;Počet příjemců vdovských důchodu;Sólo;1865
2023;Hlavní město Praha;Počet příjemců vdovských důchodu;Kombinace;47729
2023;Hlavní město Praha;Průměrný vdovecký důchod (Kč);Sólo;11755
2023;Hlavní město Praha;Průměrný vdovecký důchod (Kč);Kombinace;25767
2023;Hlavní město Praha;Průměrný vdovský důchod (Kč);Sólo;12884
2023;Hlavní město Praha;Průměrný vdovský důchod (Kč);Kombinace;23879
2023;Benešov;Počet příjemců vdoveckých důchodu;Sólo;59
2023;Benešov;Počet příjemců vdoveckých důchodu;Kombinace;932
2023;Benešov;Počet příjemců vdovských důchodu;Sólo;165
2023;Benešov;Počet příjemců vdovských důchodu;Kombinace;5020
2023;Benešov;Průměrný vdovecký důchod (Kč);Sólo;12341
2023;Benešov;Průměrný vdovecký důchod (Kč);Kombinace;23807
2023;Benešov;Průměrný vdovský důchod (Kč);Sólo;12585
2023;Benešov;Průměrný vdovský důchod (Kč);Kombinace;21858
2023;Beroun;Počet příjemců vdoveckých důchodu;Sólo;33
2023;Beroun;Počet příjemců vdoveckých důchodu;Kombinace;796
2023;Beroun;Počet příjemců vdovských důchodu;Sólo;162
2023;Beroun;Počet příjemců vdovských důchodu;Kombinace;4276
2023;Beroun;Průměrný vdovecký důchod (Kč);Sólo;12595
2023;Beroun;Průměrný vdovecký důchod (Kč);Kombinace;24044
2023;Beroun;Průměrný vdovský důchod (Kč);Sólo;12944
2023;Beroun;Průměrný vdovský důchod (Kč);Kombinace;21919
2023;Kladno;Počet příjemců vdoveckých důchodu;Sólo;85
2023;Kladno;Počet příjemců vdoveckých důchodu;Kombinace;1390
2023;Kladno;Počet příjemců vdovských důchodu;Sólo;317
2023;Kladno;Počet příjemců vdovských důchodu;Kombinace;7523
2023;Kladno;Průměrný vdovecký důchod (Kč);Sólo;11694
2023;Kladno;Průměrný vdovecký důchod (Kč);Kombinace;24683
2023;Kladno;Průměrný vdovský důchod (Kč);Sólo;12917
2023;Kladno;Průměrný vdovský důchod (Kč);Kombinace;22186
2023;Kolín;Počet příjemců vdoveckých důchodu;Sólo;45
2023;Kolín;Počet příjemců vdoveckých důchodu;Kombinace;900
2023;Kolín;Počet příjemců vdovských důchodu;Sólo;143
2023;Kolín;Počet příjemců vdovských důchodu;Kombinace;4695
2023;Kolín;Průměrný vdovecký důchod (Kč);Sólo;11194
2023;Kolín;Průměrný vdovecký důchod (Kč);Kombinace;23682
2023;Kolín;Průměrný vdovský důchod (Kč);Sólo;12770
2023;Kolín;Průměrný vdovský důchod (Kč);Kombinace;21983
2023;Kutná Hora;Počet příjemců vdoveckých důchodu;Sólo;15
2023;Kutná Hora;Počet příjemců vdoveckých důchodu;Kombinace;711
2023;Kutná Hora;Počet příjemců vdovských důchodu;Sólo;114
2023;Kutná Hora;Počet příjemců vdovských důchodu;Kombinace;3885
2023;Kutná Hora;Průměrný vdovecký důchod (Kč);Sólo;10685
2023;Kutná Hora;Průměrný vdovecký důchod (Kč);Kombinace;23803
2023;Kutná Hora;Průměrný vdovský důchod (Kč);Sólo;12611
2023;Kutná Hora;Průměrný vdovský důchod (Kč);Kombinace;21868
2023;Mělník;Počet příjemců vdoveckých důchodu;Sólo;47
2023;Mělník;Počet příjemců vdoveckých důchodu;Kombinace;974
2023;Mělník;Počet příjemců vdovských důchodu;Sólo;203
2023;Mělník;Počet příjemců vdovských důchodu;Kombinace;4808
2023;Mělník;Průměrný vdovecký důchod (Kč);Sólo;11392
2023;Mělník;Průměrný vdovecký důchod (Kč);Kombinace;24408
2023;Mělník;Průměrný vdovský důchod (Kč);Sólo;12962
2023;Mělník;Průměrný vdovský důchod (Kč);Kombinace;22026
2023;Mladá Boleslav;Počet příjemců vdoveckých důchodu;Sólo;74
2023;Mladá Boleslav;Počet příjemců vdoveckých důchodu;Kombinace;1100
2023;Mladá Boleslav;Počet příjemců vdovských důchodu;Sólo;201
2023;Mladá Boleslav;Počet příjemců vdovských důchodu;Kombinace;5489
2023;Mladá Boleslav;Průměrný vdovecký důchod (Kč);Sólo;11837
2023;Mladá Boleslav;Průměrný vdovecký důchod (Kč);Kombinace;24792
2023;Mladá Boleslav;Průměrný vdovský důchod (Kč);Sólo;13347
2023;Mladá Boleslav;Průměrný vdovský důchod (Kč);Kombinace;22521
2023;Nymburk;Počet příjemců vdoveckých důchodu;Sólo;43
2023;Nymburk;Počet příjemců vdoveckých důchodu;Kombinace;748
2023;Nymburk;Počet příjemců vdovských důchodu;Sólo;166
2023;Nymburk;Počet příjemců vdovských důchodu;Kombinace;4386
2023;Nymburk;Průměrný vdovecký důchod (Kč);Sólo;11580
2023;Nymburk;Průměrný vdovecký důchod (Kč);Kombinace;23955
2023;Nymburk;Průměrný vdovský důchod (Kč);Sólo;12408
2023;Nymburk;Průměrný vdovský důchod (Kč);Kombinace;22055
2023;Praha-východ;Počet příjemců vdoveckých důchodu;Sólo;103
2023;Praha-východ;Počet příjemců vdoveckých důchodu;Kombinace;1236
2023;Praha-východ;Počet příjemců vdovských důchodu;Sólo;323
2023;Praha-východ;Počet příjemců vdovských důchodu;Kombinace;6208
2023;Praha-východ;Průměrný vdovecký důchod (Kč);Sólo;12533
2023;Praha-východ;Průměrný vdovecký důchod (Kč);Kombinace;24456
2023;Praha-východ;Průměrný vdovský důchod (Kč);Sólo;13091
2023;Praha-východ;Průměrný vdovský důchod (Kč);Kombinace;22508
2023;Praha-západ;Počet příjemců vdoveckých důchodu;Sólo;61
2023;Praha-západ;Počet příjemců vdoveckých důchodu;Kombinace;932
2023;Praha-západ;Počet příjemců vdovských důchodu;Sólo;260
2023;Praha-západ;Počet příjemců vdovských důchodu;Kombinace;4850
2023;Praha-západ;Průměrný vdovecký důchod (Kč);Sólo;12421
2023;Praha-západ;Průměrný vdovecký důchod (Kč);Kombinace;25031
2023;Praha-západ;Průměrný vdovský důchod (Kč);Sólo;13165
2023;Praha-západ;Průměrný vdovský důchod (Kč);Kombinace;22852
2023;Příbram;Počet příjemců vdoveckých důchodu;Sólo;56
2023;Příbram;Počet příjemců vdoveckých důchodu;Kombinace;1003
2023;Příbram;Počet příjemců vdovských důchodu;Sólo;197
2023;Příbram;Počet příjemců vdovských důchodu;Kombinace;5932
2023;Příbram;Průměrný vdovecký důchod (Kč);Sólo;11742
2023;Příbram;Průměrný vdovecký důchod (Kč);Kombinace;24241
2023;Příbram;Průměrný vdovský důchod (Kč);Sólo;12920
2023;Příbram;Průměrný vdovský důchod (Kč);Kombinace;22008
2023;Rakovník;Počet příjemců vdoveckých důchodu;Sólo;23
2023;Rakovník;Počet příjemců vdoveckých důchodu;Kombinace;535
2023;Rakovník;Počet příjemců vdovských důchodu;Sólo;80
2023;Rakovník;Počet příjemců vdovských důchodu;Kombinace;2855
2023;Rakovník;Průměrný vdovecký důchod (Kč);Sólo;12192
2023;Rakovník;Průměrný vdovecký důchod (Kč);Kombinace;23907
2023;Rakovník;Průměrný vdovský důchod (Kč);Sólo;13118
2023;Rakovník;Průměrný vdovský důchod (Kč);Kombinace;21857
2023;České Budějovice;Počet příjemců vdoveckých důchodu;Sólo;83
2023;České Budějovice;Počet příjemců vdoveckých důchodu;Kombinace;1683
2023;České Budějovice;Počet příjemců vdovských důchodu;Sólo;320
2023;České Budějovice;Počet příjemců vdovských důchodu;Kombinace;8605
2023;České Budějovice;Průměrný vdovecký důchod (Kč);Sólo;11815
2023;České Budějovice;Průměrný vdovecký důchod (Kč);Kombinace;24398
2023;České Budějovice;Průměrný vdovský důchod (Kč);Sólo;12655
2023;České Budějovice;Průměrný vdovský důchod (Kč);Kombinace;22523
2023;Český Krumlov;Počet příjemců vdoveckých důchodu;Sólo;27
2023;Český Krumlov;Počet příjemců vdoveckých důchodu;Kombinace;561
2023;Český Krumlov;Počet příjemců vdovských důchodu;Sólo;87
2023;Český Krumlov;Počet příjemců vdovských důchodu;Kombinace;2582
2023;Český Krumlov;Průměrný vdovecký důchod (Kč);Sólo;11213
2023;Český Krumlov;Průměrný vdovecký důchod (Kč);Kombinace;23502
2023;Český Krumlov;Průměrný vdovský důchod (Kč);Sólo;11603
2023;Český Krumlov;Průměrný vdovský důchod (Kč);Kombinace;21866
2023;Jindřichův Hradec;Počet příjemců vdoveckých důchodu;Sólo;47
2023;Jindřichův Hradec;Počet příjemců vdoveckých důchodu;Kombinace;860
2023;Jindřichův Hradec;Počet příjemců vdovských důchodu;Sólo;142
2023;Jindřichův Hradec;Počet příjemců vdovských důchodu;Kombinace;4691
2023;Jindřichův Hradec;Průměrný vdovecký důchod (Kč);Sólo;11113
2023;Jindřichův Hradec;Průměrný vdovecký důchod (Kč);Kombinace;23107
2023;Jindřichův Hradec;Průměrný vdovský důchod (Kč);Sólo;12698
2023;Jindřichův Hradec;Průměrný vdovský důchod (Kč);Kombinace;21672
2023;Písek;Počet příjemců vdoveckých důchodu;Sólo;25
2023;Písek;Počet příjemců vdoveckých důchodu;Kombinace;711
2023;Písek;Počet příjemců vdovských důchodu;Sólo;116
2023;Písek;Počet příjemců vdovských důchodu;Kombinace;3774
2023;Písek;Průměrný vdovecký důchod (Kč);Sólo;11390
2023;Písek;Průměrný vdovecký důchod (Kč);Kombinace;23635
2023;Písek;Průměrný vdovský důchod (Kč);Sólo;12613
2023;Písek;Průměrný vdovský důchod (Kč);Kombinace;21871
2023;Prachatice;Počet příjemců vdoveckých důchodu;Sólo;24
2023;Prachatice;Počet příjemců vdoveckých důchodu;Kombinace;457
2023;Prachatice;Počet příjemců vdovských důchodu;Sólo;78
2023;Prachatice;Počet příjemců vdovských důchodu;Kombinace;2500
2023;Prachatice;Průměrný vdovecký důchod (Kč);Sólo;11731
2023;Prachatice;Průměrný vdovecký důchod (Kč);Kombinace;23417
2023;Prachatice;Průměrný vdovský důchod (Kč);Sólo;11224
2023;Prachatice;Průměrný vdovský důchod (Kč);Kombinace;21967
2023;Strakonice;Počet příjemců vdoveckých důchodu;Sólo;39
2023;Strakonice;Počet příjemců vdoveckých důchodu;Kombinace;739
2023;Strakonice;Počet příjemců vdovských důchodu;Sólo;107
2023;Strakonice;Počet příjemců vdovských důchodu;Kombinace;3637
2023;Strakonice;Průměrný vdovecký důchod (Kč);Sólo;11088
2023;Strakonice;Průměrný vdovecký důchod (Kč);Kombinace;23577
2023;Strakonice;Průměrný vdovský důchod (Kč);Sólo;12281
2023;Strakonice;Průměrný vdovský důchod (Kč);Kombinace;22043
2023;Tábor;Počet příjemců vdoveckých důchodu;Sólo;42
2023;Tábor;Počet příjemců vdoveckých důchodu;Kombinace;931
2023;Tábor;Počet příjemců vdovských důchodu;Sólo;187
2023;Tábor;Počet příjemců vdovských důchodu;Kombinace;5230
2023;Tábor;Průměrný vdovecký důchod (Kč);Sólo;12249
2023;Tábor;Průměrný vdovecký důchod (Kč);Kombinace;23758
2023;Tábor;Průměrný vdovský důchod (Kč);Sólo;12519
2023;Tábor;Průměrný vdovský důchod (Kč);Kombinace;22089
2023;Domažlice;Počet příjemců vdoveckých důchodu;Sólo;28
2023;Domažlice;Počet příjemců vdoveckých důchodu;Kombinace;566
2023;Domažlice;Počet příjemců vdovských důchodu;Sólo;96
2023;Domažlice;Počet příjemců vdovských důchodu;Kombinace;2886
2023;Domažlice;Průměrný vdovecký důchod (Kč);Sólo;9753
2023;Domažlice;Průměrný vdovecký důchod (Kč);Kombinace;23493
2023;Domažlice;Průměrný vdovský důchod (Kč);Sólo;11725
2023;Domažlice;Průměrný vdovský důchod (Kč);Kombinace;21765
2023;Klatovy;Počet příjemců vdoveckých důchodu;Sólo;44
2023;Klatovy;Počet příjemců vdoveckých důchodu;Kombinace;829
2023;Klatovy;Počet příjemců vdovských důchodu;Sólo;121
2023;Klatovy;Počet příjemců vdovských důchodu;Kombinace;4509
2023;Klatovy;Průměrný vdovecký důchod (Kč);Sólo;11667
2023;Klatovy;Průměrný vdovecký důchod (Kč);Kombinace;23356
2023;Klatovy;Průměrný vdovský důchod (Kč);Sólo;12209
2023;Klatovy;Průměrný vdovský důchod (Kč);Kombinace;21708
2023;Plzeň-město;Počet příjemců vdoveckých důchodu;Sólo;73
2023;Plzeň-město;Počet příjemců vdoveckých důchodu;Kombinace;1679
2023;Plzeň-město;Počet příjemců vdovských důchodu;Sólo;282
2023;Plzeň-město;Počet příjemců vdovských důchodu;Kombinace;8796
2023;Plzeň-město;Průměrný vdovecký důchod (Kč);Sólo;11638
2023;Plzeň-město;Průměrný vdovecký důchod (Kč);Kombinace;24596
2023;Plzeň-město;Průměrný vdovský důchod (Kč);Sólo;12879
2023;Plzeň-město;Průměrný vdovský důchod (Kč);Kombinace;22473
2023;Plzeň-jih;Počet příjemců vdoveckých důchodu;Sólo;31
2023;Plzeň-jih;Počet příjemců vdoveckých důchodu;Kombinace;565
2023;Plzeň-jih;Počet příjemců vdovských důchodu;Sólo;92
2023;Plzeň-jih;Počet příjemců vdovských důchodu;Kombinace;2970
2023;Plzeň-jih;Průměrný vdovecký důchod (Kč);Sólo;11931
2023;Plzeň-jih;Průměrný vdovecký důchod (Kč);Kombinace;23754
2023;Plzeň-jih;Průměrný vdovský důchod (Kč);Sólo;13190
2023;Plzeň-jih;Průměrný vdovský důchod (Kč);Kombinace;21813
2023;Plzeň-sever;Počet příjemců vdoveckých důchodu;Sólo;35
2023;Plzeň-sever;Počet příjemců vdoveckých důchodu;Kombinace;745
2023;Plzeň-sever;Počet příjemců vdovských důchodu;Sólo;112
2023;Plzeň-sever;Počet příjemců vdovských důchodu;Kombinace;3544
2023;Plzeň-sever;Průměrný vdovecký důchod (Kč);Sólo;12063
2023;Plzeň-sever;Průměrný vdovecký důchod (Kč);Kombinace;23827
2023;Plzeň-sever;Průměrný vdovský důchod (Kč);Sólo;12816
2023;Plzeň-sever;Průměrný vdovský důchod (Kč);Kombinace;21827
2023;Rokycany;Počet příjemců vdoveckých důchodu;Sólo;13
2023;Rokycany;Počet příjemců vdoveckých důchodu;Kombinace;460
2023;Rokycany;Počet příjemců vdovských důchodu;Sólo;77
2023;Rokycany;Počet příjemců vdovských důchodu;Kombinace;2364
2023;Rokycany;Průměrný vdovecký důchod (Kč);Sólo;12868
2023;Rokycany;Průměrný vdovecký důchod (Kč);Kombinace;23845
2023;Rokycany;Průměrný vdovský důchod (Kč);Sólo;13334
2023;Rokycany;Průměrný vdovský důchod (Kč);Kombinace;21932
2023;Tachov;Počet příjemců vdoveckých důchodu;Sólo;20
2023;Tachov;Počet příjemců vdoveckých důchodu;Kombinace;424
2023;Tachov;Počet příjemců vdovských důchodu;Sólo;74
2023;Tachov;Počet příjemců vdovských důchodu;Kombinace;2270
2023;Tachov;Průměrný vdovecký důchod (Kč);Sólo;12499
2023;Tachov;Průměrný vdovecký důchod (Kč);Kombinace;23678
2023;Tachov;Průměrný vdovský důchod (Kč);Sólo;12364
2023;Tachov;Průměrný vdovský důchod (Kč);Kombinace;21952
2023;Cheb;Počet příjemců vdoveckých důchodu;Sólo;52
2023;Cheb;Počet příjemců vdoveckých důchodu;Kombinace;774
2023;Cheb;Počet příjemců vdovských důchodu;Sólo;159
2023;Cheb;Počet příjemců vdovských důchodu;Kombinace;3973
2023;Cheb;Průměrný vdovecký důchod (Kč);Sólo;10820
2023;Cheb;Průměrný vdovecký důchod (Kč);Kombinace;23227
2023;Cheb;Průměrný vdovský důchod (Kč);Sólo;11451
2023;Cheb;Průměrný vdovský důchod (Kč);Kombinace;21808
2023;Karlovy Vary;Počet příjemců vdoveckých důchodu;Sólo;45
2023;Karlovy Vary;Počet příjemců vdoveckých důchodu;Kombinace;1054
2023;Karlovy Vary;Počet příjemců vdovských důchodu;Sólo;210
2023;Karlovy Vary;Počet příjemců vdovských důchodu;Kombinace;5138
2023;Karlovy Vary;Průměrný vdovecký důchod (Kč);Sólo;10188
2023;Karlovy Vary;Průměrný vdovecký důchod (Kč);Kombinace;23416
2023;Karlovy Vary;Průměrný vdovský důchod (Kč);Sólo;12059
2023;Karlovy Vary;Průměrný vdovský důchod (Kč);Kombinace;22050
2023;Sokolov;Počet příjemců vdoveckých důchodu;Sólo;39
2023;Sokolov;Počet příjemců vdoveckých důchodu;Kombinace;887
2023;Sokolov;Počet příjemců vdovských důchodu;Sólo;190
2023;Sokolov;Počet příjemců vdovských důchodu;Kombinace;3957
2023;Sokolov;Průměrný vdovecký důchod (Kč);Sólo;10583
2023;Sokolov;Průměrný vdovecký důchod (Kč);Kombinace;23976
2023;Sokolov;Průměrný vdovský důchod (Kč);Sólo;12718
2023;Sokolov;Průměrný vdovský důchod (Kč);Kombinace;21857
2023;Děčín;Počet příjemců vdoveckých důchodu;Sólo;65
2023;Děčín;Počet příjemců vdoveckých důchodu;Kombinace;1304
2023;Děčín;Počet příjemců vdovských důchodu;Sólo;221
2023;Děčín;Počet příjemců vdovských důchodu;Kombinace;5943
2023;Děčín;Průměrný vdovecký důchod (Kč);Sólo;10815
2023;Děčín;Průměrný vdovecký důchod (Kč);Kombinace;22897
2023;Děčín;Průměrný vdovský důchod (Kč);Sólo;12064
2023;Děčín;Průměrný vdovský důchod (Kč);Kombinace;21587
2023;Chomutov;Počet příjemců vdoveckých důchodu;Sólo;49
2023;Chomutov;Počet příjemců vdoveckých důchodu;Kombinace;1112
2023;Chomutov;Počet příjemců vdovských důchodu;Sólo;231
2023;Chomutov;Počet příjemců vdovských důchodu;Kombinace;5325
2023;Chomutov;Průměrný vdovecký důchod (Kč);Sólo;10282
2023;Chomutov;Průměrný vdovecký důchod (Kč);Kombinace;24190
2023;Chomutov;Průměrný vdovský důchod (Kč);Sólo;12110
2023;Chomutov;Průměrný vdovský důchod (Kč);Kombinace;22016
2023;Litoměřice;Počet příjemců vdoveckých důchodu;Sólo;45
2023;Litoměřice;Počet příjemců vdoveckých důchodu;Kombinace;1109
2023;Litoměřice;Počet příjemců vdovských důchodu;Sólo;185
2023;Litoměřice;Počet příjemců vdovských důchodu;Kombinace;5656
2023;Litoměřice;Průměrný vdovecký důchod (Kč);Sólo;11083
2023;Litoměřice;Průměrný vdovecký důchod (Kč);Kombinace;23805
2023;Litoměřice;Průměrný vdovský důchod (Kč);Sólo;12471
2023;Litoměřice;Průměrný vdovský důchod (Kč);Kombinace;21917
2023;Louny;Počet příjemců vdoveckých důchodu;Sólo;40
2023;Louny;Počet příjemců vdoveckých důchodu;Kombinace;783
2023;Louny;Počet příjemců vdovských důchodu;Sólo;154
