ČR a kraje,Ukazatel,Pohlaví,Odvětví ekonomické činnosti,Čtvrtletí,value
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2005,4750.69940516277
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2005,4704.4506755996
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2004,4732.66189061388
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2004,4717.36443615594
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2004,4700.60176646963
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2004,4675.87983908486
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2003,4724.92993573684
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2003,4727.82341917385
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2003,4740.04268051406
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2003,4739.9318709302
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2002,4791.71070708969
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2002,4781.05505344896
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2002,4768.23553228979
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2002,4718.65764383926
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2001,4738.56338277241
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2001,4725.0445513605
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2001,4726.18038909582
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2001,4720.98136622196
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 2000,4750.99389513671
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 2000,4742.22352870002
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 2000,4726.51352050007
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 2000,4706.68085809994
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 1999,4765.42841209995
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 1999,4755.89683049994
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 1999,4764.81227779997
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 1999,4770.25860369998
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 1998,4852.92620449999
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 1998,4853.73832009999
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 1998,4874.9621658999
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 1998,4881.31996320005
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 1997,4926.92950990007
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 1997,4931.18848309991
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 1997,4935.41341719988
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 1997,4952.57056600025
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 1996,4980.34827490009
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 1996,4974.32067349993
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 1996,4961.28472680002
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 1996,4972.01197660007
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 1995,4994.86931039999
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 1995,4975.43746400008
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 1995,4949.34080910013
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 1995,4930.66453560012
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 1994,4943.30229690015
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 1994,4930.22099160009
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 1994,4917.9742204
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 1994,4915.56842489988
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,4. čtvrtletí 1993,4931.88820449985
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,3. čtvrtletí 1993,4889.9915653
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,2. čtvrtletí 1993,4846.88570950015
Česko,Zaměstnaní (tis. osob),Celkem,Celkem,1. čtvrtletí 1993,4825.40247250011
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2025,141.54309395
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2025,141.17665931
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2024,145.70929842
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2024,147.23427496
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2024,143.7234271
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2024,148.0042551
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2023,140.646015051
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2023,140.087589952
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2023,138.181392776
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2023,136.62184881
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2022,130.41078183
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2022,131.44242636
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2022,131.3882633
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2022,130.3027754
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2021,135.6550506
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2021,129.7944615
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2021,129.9704588
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2021,136.3376808
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2020,137.6234153
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2020,138.0110716
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2020,138.2219652
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2020,132.6035258
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2019,137.8136592
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2019,140.7024404
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2019,139.0545128
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2019,147.476591
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2018,144.6974126
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2018,151.3895478
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2018,152.4525582
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2018,144.7988729
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2017,142.347664
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2017,152.8742748
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2017,150.0415908
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2017,140.0667012
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2016,151.8430875
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2016,154.2892278
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2016,148.2647616
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2016,141.91273166
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2015,147.56950929
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2015,150.89196002
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2015,149.94511374
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2015,141.5416935
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2014,144.06503838
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2014,139.0280408
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2014,133.43001817
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2014,130.34385712
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2013,144.3120573
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2013,149.53792727
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2013,155.60101408
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2013,148.97368464
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2012,156.51148439
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2012,153.64556871
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2012,147.34513294
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2012,139.11934418
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2011,143.15807316
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2011,145.08325576
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2011,150.242682714
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2011,144.5335960228
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2010,148.4160160685
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2010,153.8694244922
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2010,154.9370418589
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2010,147.7681440242
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2009,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2009,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2009,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2009,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2008,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2008,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2008,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2008,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2007,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2007,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2007,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2007,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2006,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2006,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2006,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2006,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2005,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2005,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2005,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2005,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2004,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2004,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2004,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2004,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2003,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2003,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2003,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2003,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2002,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2002,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2002,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2002,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2001,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2001,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2001,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2001,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 2000,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 2000,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 2000,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 2000,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 1999,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 1999,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 1999,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 1999,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 1998,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 1998,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 1998,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 1998,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 1997,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 1997,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 1997,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 1997,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 1996,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 1996,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 1996,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",1. čtvrtletí 1996,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",4. čtvrtletí 1995,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",3. čtvrtletí 1995,
Česko,Zaměstnaní (tis. osob),Celkem,"A - Zemědělství, lesnictví, rybářství",2. čtvrtletí 1995,
