Území;Ukazatel;Délka trvání manželství (jednoletky délky);Roky;value
Česko;Rozvody;1;2012;866.0
Česko;Rozvody;1;2011;947.0
Česko;Rozvody;1;2010;1104.0
Česko;Rozvody;1;2009;1216.0
Česko;Rozvody;1;2008;1214.0
Česko;Rozvody;1;2007;1099.0
Česko;Rozvody;1;2006;1122.0
Česko;Rozvody;1;2005;970.0
Česko;Rozvody;1;2004;1099.0
Česko;Rozvody;1;2003;1139.0
Česko;Rozvody;1;2002;1106.0
Česko;Rozvody;1;2001;1145.0
Česko;Rozvody;2;2024;
Česko;Rozvody;2;2023;812.0
Česko;Rozvody;2;2022;822.0
Česko;Rozvody;2;2021;1013.0
Česko;Rozvody;2;2020;968.0
Česko;Rozvody;2;2019;1148.0
Česko;Rozvody;2;2018;1026.0
Česko;Rozvody;2;2017;1011.0
Česko;Rozvody;2;2016;1041.0
Česko;Rozvody;2;2015;1001.0
Česko;Rozvody;2;2014;1027.0
Česko;Rozvody;2;2013;1121.0
Česko;Rozvody;2;2012;1153.0
Česko;Rozvody;2;2011;1299.0
Česko;Rozvody;2;2010;1618.0
Česko;Rozvody;2;2009;1467.0
Česko;Rozvody;2;2008;1440.0
Česko;Rozvody;2;2007;1488.0
Česko;Rozvody;2;2006;1400.0
Česko;Rozvody;2;2005;1337.0
Česko;Rozvody;2;2004;1477.0
Česko;Rozvody;2;2003;1526.0
Česko;Rozvody;2;2002;1489.0
Česko;Rozvody;2;2001;1568.0
Česko;Rozvody;3;2024;
Česko;Rozvody;3;2023;983.0
Česko;Rozvody;3;2022;1028.0
Česko;Rozvody;3;2021;1084.0
Česko;Rozvody;3;2020;1021.0
Česko;Rozvody;3;2019;1133.0
Česko;Rozvody;3;2018;1020.0
Česko;Rozvody;3;2017;1101.0
Česko;Rozvody;3;2016;1072.0
Česko;Rozvody;3;2015;1167.0
Česko;Rozvody;3;2014;1217.0
Česko;Rozvody;3;2013;1254.0
Česko;Rozvody;3;2012;1271.0
Česko;Rozvody;3;2011;1486.0
Česko;Rozvody;3;2010;1620.0
Česko;Rozvody;3;2009;1392.0
Česko;Rozvody;3;2008;1635.0
Česko;Rozvody;3;2007;1373.0
Česko;Rozvody;3;2006;1441.0
Česko;Rozvody;3;2005;1493.0
Česko;Rozvody;3;2004;1625.0
Česko;Rozvody;3;2003;1705.0
Česko;Rozvody;3;2002;1692.0
Česko;Rozvody;3;2001;1760.0
Česko;Rozvody;4;2024;
Česko;Rozvody;4;2023;1088.0
Česko;Rozvody;4;2022;1113.0
Česko;Rozvody;4;2021;984.0
Česko;Rozvody;4;2020;962.0
Česko;Rozvody;4;2019;1044.0
Česko;Rozvody;4;2018;1035.0
Česko;Rozvody;4;2017;1111.0
Česko;Rozvody;4;2016;1097.0
Česko;Rozvody;4;2015;1202.0
Česko;Rozvody;4;2014;1278.0
Česko;Rozvody;4;2013;1385.0
Česko;Rozvody;4;2012;1457.0
Česko;Rozvody;4;2011;1391.0
Česko;Rozvody;4;2010;1433.0
Česko;Rozvody;4;2009;1378.0
Česko;Rozvody;4;2008;1367.0
Česko;Rozvody;4;2007;1428.0
Česko;Rozvody;4;2006;1594.0
Česko;Rozvody;4;2005;1547.0
Česko;Rozvody;4;2004;1634.0
Česko;Rozvody;4;2003;1640.0
Česko;Rozvody;4;2002;1714.0
Česko;Rozvody;4;2001;1656.0
Česko;Rozvody;5;2024;
Česko;Rozvody;5;2023;1041.0
Česko;Rozvody;5;2022;964.0
Česko;Rozvody;5;2021;976.0
Česko;Rozvody;5;2020;957.0
Česko;Rozvody;5;2019;944.0
Česko;Rozvody;5;2018;1059.0
Česko;Rozvody;5;2017;1132.0
Česko;Rozvody;5;2016;1108.0
Česko;Rozvody;5;2015;1223.0
Česko;Rozvody;5;2014;1346.0
Česko;Rozvody;5;2013;1451.0
Česko;Rozvody;5;2012;1281.0
Česko;Rozvody;5;2011;1271.0
Česko;Rozvody;5;2010;1364.0
Česko;Rozvody;5;2009;1225.0
Česko;Rozvody;5;2008;1447.0
Česko;Rozvody;5;2007;1478.0
Česko;Rozvody;5;2006;1631.0
Česko;Rozvody;5;2005;1607.0
Česko;Rozvody;5;2004;1659.0
Česko;Rozvody;5;2003;1677.0
Česko;Rozvody;5;2002;1685.0
Česko;Rozvody;5;2001;1537.0
Česko;Rozvody;6;2024;
Česko;Rozvody;6;2023;950.0
Česko;Rozvody;6;2022;918.0
Česko;Rozvody;6;2021;917.0
Česko;Rozvody;6;2020;885.0
Česko;Rozvody;6;2019;971.0
Česko;Rozvody;6;2018;1026.0
Česko;Rozvody;6;2017;1167.0
Česko;Rozvody;6;2016;1184.0
Česko;Rozvody;6;2015;1281.0
Česko;Rozvody;6;2014;1379.0
Česko;Rozvody;6;2013;1364.0
Česko;Rozvody;6;2012;1133.0
Česko;Rozvody;6;2011;1163.0
Česko;Rozvody;6;2010;1234.0
Česko;Rozvody;6;2009;1225.0
Česko;Rozvody;6;2008;1442.0
Česko;Rozvody;6;2007;1484.0
Česko;Rozvody;6;2006;1565.0
Česko;Rozvody;6;2005;1427.0
Česko;Rozvody;6;2004;1620.0
Česko;Rozvody;6;2003;1578.0
Česko;Rozvody;6;2002;1425.0
Česko;Rozvody;6;2001;1557.0
Česko;Rozvody;7;2024;
Česko;Rozvody;7;2023;912.0
Česko;Rozvody;7;2022;861.0
Česko;Rozvody;7;2021;859.0
Česko;Rozvody;7;2020;875.0
Česko;Rozvody;7;2019;976.0
Česko;Rozvody;7;2018;940.0
Česko;Rozvody;7;2017;1105.0
Česko;Rozvody;7;2016;1091.0
Česko;Rozvody;7;2015;1278.0
Česko;Rozvody;7;2014;1286.0
Česko;Rozvody;7;2013;1205.0
Česko;Rozvody;7;2012;1086.0
Česko;Rozvody;7;2011;1122.0
Česko;Rozvody;7;2010;1206.0
Česko;Rozvody;7;2009;1239.0
Česko;Rozvody;7;2008;1317.0
Česko;Rozvody;7;2007;1354.0
Česko;Rozvody;7;2006;1419.0
Česko;Rozvody;7;2005;1410.0
Česko;Rozvody;7;2004;1454.0
Česko;Rozvody;7;2003;1430.0
Česko;Rozvody;7;2002;1408.0
Česko;Rozvody;7;2001;1555.0
Česko;Rozvody;8;2024;
Česko;Rozvody;8;2023;791.0
Česko;Rozvody;8;2022;803.0
Česko;Rozvody;8;2021;835.0
Česko;Rozvody;8;2020;836.0
Česko;Rozvody;8;2019;985.0
Česko;Rozvody;8;2018;994.0
Česko;Rozvody;8;2017;1147.0
Česko;Rozvody;8;2016;1227.0
Česko;Rozvody;8;2015;1242.0
Česko;Rozvody;8;2014;1079.0
Česko;Rozvody;8;2013;1112.0
Česko;Rozvody;8;2012;1023.0
Česko;Rozvody;8;2011;1027.0
Česko;Rozvody;8;2010;1184.0
Česko;Rozvody;8;2009;1160.0
Česko;Rozvody;8;2008;1218.0
Česko;Rozvody;8;2007;1285.0
Česko;Rozvody;8;2006;1299.0
Česko;Rozvody;8;2005;1279.0
Česko;Rozvody;8;2004;1358.0
Česko;Rozvody;8;2003;1272.0
Česko;Rozvody;8;2002;1413.0
Česko;Rozvody;8;2001;1667.0
Česko;Rozvody;9;2024;
Česko;Rozvody;9;2023;722.0
Česko;Rozvody;9;2022;738.0
Česko;Rozvody;9;2021;837.0
Česko;Rozvody;9;2020;843.0
Česko;Rozvody;9;2019;924.0
Česko;Rozvody;9;2018;1072.0
Česko;Rozvody;9;2017;1200.0
Česko;Rozvody;9;2016;1110.0
Česko;Rozvody;9;2015;1042.0
Česko;Rozvody;9;2014;1063.0
Česko;Rozvody;9;2013;974.0
Česko;Rozvody;9;2012;921.0
Česko;Rozvody;9;2011;1092.0
Česko;Rozvody;9;2010;1144.0
Česko;Rozvody;9;2009;1076.0
Česko;Rozvody;9;2008;1149.0
Česko;Rozvody;9;2007;1207.0
Česko;Rozvody;9;2006;1295.0
Česko;Rozvody;9;2005;1129.0
Česko;Rozvody;9;2004;1305.0
Česko;Rozvody;9;2003;1310.0
Česko;Rozvody;9;2002;1515.0
Česko;Rozvody;9;2001;1510.0
Česko;Rozvody;10;2024;
Česko;Rozvody;10;2023;715.0
Česko;Rozvody;10;2022;715.0
Česko;Rozvody;10;2021;804.0
Česko;Rozvody;10;2020;808.0
Česko;Rozvody;10;2019;938.0
Česko;Rozvody;10;2018;1095.0
Česko;Rozvody;10;2017;1175.0
Česko;Rozvody;10;2016;958.0
Česko;Rozvody;10;2015;988.0
Česko;Rozvody;10;2014;908.0
Česko;Rozvody;10;2013;978.0
Česko;Rozvody;10;2012;950.0
Česko;Rozvody;10;2011;984.0
Česko;Rozvody;10;2010;1094.0
Česko;Rozvody;10;2009;1044.0
Česko;Rozvody;10;2008;1159.0
Česko;Rozvody;10;2007;1125.0
Česko;Rozvody;10;2006;1136.0
Česko;Rozvody;10;2005;1128.0
Česko;Rozvody;10;2004;1292.0
Česko;Rozvody;10;2003;1467.0
Česko;Rozvody;10;2002;1550.0
Česko;Rozvody;10;2001;1667.0
Česko;Rozvody;11;2024;
Česko;Rozvody;11;2023;679.0
Česko;Rozvody;11;2022;720.0
Česko;Rozvody;11;2021;774.0
Česko;Rozvody;11;2020;863.0
Česko;Rozvody;11;2019;985.0
Česko;Rozvody;11;2018;995.0
Česko;Rozvody;11;2017;944.0
Česko;Rozvody;11;2016;941.0
Česko;Rozvody;11;2015;865.0
Česko;Rozvody;11;2014;888.0
Česko;Rozvody;11;2013;967.0
Česko;Rozvody;11;2012;928.0
Česko;Rozvody;11;2011;904.0
Česko;Rozvody;11;2010;1042.0
Česko;Rozvody;11;2009;1035.0
Česko;Rozvody;11;2008;1011.0
Česko;Rozvody;11;2007;1064.0
Česko;Rozvody;11;2006;1098.0
Česko;Rozvody;11;2005;1171.0
Česko;Rozvody;11;2004;1408.0
Česko;Rozvody;11;2003;1424.0
Česko;Rozvody;11;2002;1507.0
Česko;Rozvody;11;2001;1527.0
Česko;Rozvody;12;2024;
Česko;Rozvody;12;2023;676.0
Česko;Rozvody;12;2022;637.0
Česko;Rozvody;12;2021;759.0
Česko;Rozvody;12;2020;884.0
Česko;Rozvody;12;2019;906.0
Česko;Rozvody;12;2018;873.0
Česko;Rozvody;12;2017;972.0
Česko;Rozvody;12;2016;838.0
Česko;Rozvody;12;2015;851.0
Česko;Rozvody;12;2014;862.0
Česko;Rozvody;12;2013;951.0
Česko;Rozvody;12;2012;887.0
Česko;Rozvody;12;2011;843.0
Česko;Rozvody;12;2010;1024.0
Česko;Rozvody;12;2009;923.0
Česko;Rozvody;12;2008;1051.0
Česko;Rozvody;12;2007;984.0
Česko;Rozvody;12;2006;1047.0
Česko;Rozvody;12;2005;1297.0
Česko;Rozvody;12;2004;1437.0
Česko;Rozvody;12;2003;1531.0
Česko;Rozvody;12;2002;1465.0
Česko;Rozvody;12;2001;1333.0
Česko;Rozvody;13;2024;
Česko;Rozvody;13;2023;589.0
Česko;Rozvody;13;2022;735.0
Česko;Rozvody;13;2021;802.0
Česko;Rozvody;13;2020;838.0
Česko;Rozvody;13;2019;879.0
Česko;Rozvody;13;2018;836.0
Česko;Rozvody;13;2017;819.0
Česko;Rozvody;13;2016;821.0
Česko;Rozvody;13;2015;875.0
Česko;Rozvody;13;2014;834.0
Česko;Rozvody;13;2013;930.0
Česko;Rozvody;13;2012;797.0
Česko;Rozvody;13;2011;869.0
Česko;Rozvody;13;2010;960.0
Česko;Rozvody;13;2009;880.0
Česko;Rozvody;13;2008;955.0
Česko;Rozvody;13;2007;1073.0
Česko;Rozvody;13;2006;1186.0
Česko;Rozvody;13;2005;1245.0
Česko;Rozvody;13;2004;1515.0
Česko;Rozvody;13;2003;1488.0
Česko;Rozvody;13;2002;1281.0
Česko;Rozvody;13;2001;1272.0
Česko;Rozvody;14;2024;
Česko;Rozvody;14;2023;614.0
Česko;Rozvody;14;2022;723.0
Česko;Rozvody;14;2021;788.0
Česko;Rozvody;14;2020;753.0
Česko;Rozvody;14;2019;826.0
Česko;Rozvody;14;2018;733.0
Česko;Rozvody;14;2017;723.0
Česko;Rozvody;14;2016;797.0
Česko;Rozvody;14;2015;830.0
Česko;Rozvody;14;2014;806.0
Česko;Rozvody;14;2013;876.0
Česko;Rozvody;14;2012;862.0
Česko;Rozvody;14;2011;840.0
Česko;Rozvody;14;2010;877.0
Česko;Rozvody;14;2009;889.0
Česko;Rozvody;14;2008;972.0
Česko;Rozvody;14;2007;1178.0
Česko;Rozvody;14;2006;1214.0
Česko;Rozvody;14;2005;1248.0
Česko;Rozvody;14;2004;1342.0
Česko;Rozvody;14;2003;1238.0
Česko;Rozvody;14;2002;1197.0
Česko;Rozvody;14;2001;1161.0
Česko;Rozvody;15;2024;
Česko;Rozvody;15;2023;650.0
Česko;Rozvody;15;2022;687.0
Česko;Rozvody;15;2021;699.0
Česko;Rozvody;15;2020;674.0
Česko;Rozvody;15;2019;754.0
Česko;Rozvody;15;2018;713.0
Česko;Rozvody;15;2017;780.0
Česko;Rozvody;15;2016;746.0
Česko;Rozvody;15;2015;758.0
Česko;Rozvody;15;2014;801.0
Česko;Rozvody;15;2013;810.0
Česko;Rozvody;15;2012;799.0
Česko;Rozvody;15;2011;733.0
Česko;Rozvody;15;2010;885.0
Česko;Rozvody;15;2009;972.0
Česko;Rozvody;15;2008;1117.0
Česko;Rozvody;15;2007;1138.0
Česko;Rozvody;15;2006;1177.0
Česko;Rozvody;15;2005;1285.0
Česko;Rozvody;15;2004;1191.0
Česko;Rozvody;15;2003;1206.0
Česko;Rozvody;15;2002;1110.0
Česko;Rozvody;15;2001;997.0
Česko;Rozvody;16;2024;
Česko;Rozvody;16;2023;557.0
Česko;Rozvody;16;2022;619.0
Česko;Rozvody;16;2021;614.0
Česko;Rozvody;16;2020;643.0
Česko;Rozvody;16;2019;721.0
Česko;Rozvody;16;2018;710.0
Česko;Rozvody;16;2017;749.0
Česko;Rozvody;16;2016;740.0
Česko;Rozvody;16;2015;721.0
Česko;Rozvody;16;2014;754.0
Česko;Rozvody;16;2013;793.0
Česko;Rozvody;16;2012;719.0
Česko;Rozvody;16;2011;798.0
Česko;Rozvody;16;2010;979.0
Česko;Rozvody;16;2009;988.0
Česko;Rozvody;16;2008;1120.0
Česko;Rozvody;16;2007;1164.0
Česko;Rozvody;16;2006;1198.0
Česko;Rozvody;16;2005;1100.0
Česko;Rozvody;16;2004;1159.0
Česko;Rozvody;16;2003;1132.0
Česko;Rozvody;16;2002;1014.0
Česko;Rozvody;16;2001;965.0
Česko;Rozvody;17;2024;
Česko;Rozvody;17;2023;542.0
Česko;Rozvody;17;2022;523.0
Česko;Rozvody;17;2021;561.0
Česko;Rozvody;17;2020;556.0
Česko;Rozvody;17;2019;671.0
Česko;Rozvody;17;2018;678.0
Česko;Rozvody;17;2017;688.0
Česko;Rozvody;17;2016;631.0
Česko;Rozvody;17;2015;735.0
Česko;Rozvody;17;2014;712.0
Česko;Rozvody;17;2013;731.0
Česko;Rozvody;17;2012;721.0
Česko;Rozvody;17;2011;849.0
Česko;Rozvody;17;2010;1083.0
Česko;Rozvody;17;2009;970.0
Česko;Rozvody;17;2008;1155.0
Česko;Rozvody;17;2007;1104.0
Česko;Rozvody;17;2006;1086.0
Česko;Rozvody;17;2005;1091.0
Česko;Rozvody;17;2004;1108.0
Česko;Rozvody;17;2003;1052.0
Česko;Rozvody;17;2002;930.0
Česko;Rozvody;17;2001;902.0
Česko;Rozvody;18;2024;
Česko;Rozvody;18;2023;508.0
Česko;Rozvody;18;2022;539.0
Česko;Rozvody;18;2021;585.0
Česko;Rozvody;18;2020;583.0
Česko;Rozvody;18;2019;688.0
Česko;Rozvody;18;2018;626.0
Česko;Rozvody;18;2017;684.0
Česko;Rozvody;18;2016;672.0
Česko;Rozvody;18;2015;713.0
Česko;Rozvody;18;2014;703.0
Česko;Rozvody;18;2013;768.0
Česko;Rozvody;18;2012;850.0
Česko;Rozvody;18;2011;882.0
Česko;Rozvody;18;2010;1029.0
Česko;Rozvody;18;2009;1057.0
Česko;Rozvody;18;2008;1095.0
Česko;Rozvody;18;2007;1067.0
Česko;Rozvody;18;2006;1040.0
Česko;Rozvody;18;2005;1049.0
Česko;Rozvody;18;2004;1053.0
Česko;Rozvody;18;2003;920.0
Česko;Rozvody;18;2002;885.0
Česko;Rozvody;18;2001;811.0
Česko;Rozvody;19;2024;
Česko;Rozvody;19;2023;470.0
Česko;Rozvody;19;2022;485.0
Česko;Rozvody;19;2021;593.0
Česko;Rozvody;19;2020;601.0
Česko;Rozvody;19;2019;610.0
Česko;Rozvody;19;2018;616.0
Česko;Rozvody;19;2017;699.0
Česko;Rozvody;19;2016;610.0
Česko;Rozvody;19;2015;622.0
Česko;Rozvody;19;2014;712.0
Česko;Rozvody;19;2013;788.0
Česko;Rozvody;19;2012;846.0
Česko;Rozvody;19;2011;926.0
Česko;Rozvody;19;2010;1122.0
Česko;Rozvody;19;2009;946.0
Česko;Rozvody;19;2008;1006.0
Česko;Rozvody;19;2007;1007.0
Česko;Rozvody;19;2006;978.0
Česko;Rozvody;19;2005;996.0
Česko;Rozvody;19;2004;928.0
Česko;Rozvody;19;2003;878.0
Česko;Rozvody;19;2002;833.0
Česko;Rozvody;19;2001;733.0
Česko;Rozvody;20;2024;
Česko;Rozvody;20;2023;414.0
Česko;Rozvody;20;2022;461.0
Česko;Rozvody;20;2021;542.0
Česko;Rozvody;20;2020;506.0
Česko;Rozvody;20;2019;614.0
Česko;Rozvody;20;2018;622.0
Česko;Rozvody;20;2017;596.0
Česko;Rozvody;20;2016;600.0
Česko;Rozvody;20;2015;657.0
Česko;Rozvody;20;2014;711.0
Česko;Rozvody;20;2013;889.0
Česko;Rozvody;20;2012;783.0
Česko;Rozvody;20;2011;970.0
Česko;Rozvody;20;2010;945.0
Česko;Rozvody;20;2009;907.0
Česko;Rozvody;20;2008;1001.0
Česko;Rozvody;20;2007;974.0
Česko;Rozvody;20;2006;877.0
Česko;Rozvody;20;2005;897.0
Česko;Rozvody;20;2004;883.0
Česko;Rozvody;20;2003;844.0
Česko;Rozvody;20;2002;759.0
Česko;Rozvody;20;2001;680.0
Česko;Rozvody;21;2024;
Česko;Rozvody;21;2023;430.0
Česko;Rozvody;21;2022;502.0
Česko;Rozvody;21;2021;477.0
Česko;Rozvody;21;2020;489.0
Česko;Rozvody;21;2019;571.0
Česko;Rozvody;21;2018;550.0
Česko;Rozvody;21;2017;585.0
Česko;Rozvody;21;2016;573.0
Česko;Rozvody;21;2015;647.0
Česko;Rozvody;21;2014;779.0
Česko;Rozvody;21;2013;761.0
Česko;Rozvody;21;2012;812.0
Česko;Rozvody;21;2011;923.0
Česko;Rozvody;21;2010;923.0
Česko;Rozvody;21;2009;873.0
Česko;Rozvody;21;2008;926.0
Česko;Rozvody;21;2007;868.0
Česko;Rozvody;21;2006;805.0
Česko;Rozvody;21;2005;836.0
Česko;Rozvody;21;2004;843.0
Česko;Rozvody;21;2003;734.0
Česko;Rozvody;21;2002;694.0
Česko;Rozvody;21;2001;682.0
Česko;Rozvody;22;2024;
Česko;Rozvody;22;2023;397.0
Česko;Rozvody;22;2022;410.0
Česko;Rozvody;22;2021;425.0
Česko;Rozvody;22;2020;506.0
Česko;Rozvody;22;2019;522.0
Česko;Rozvody;22;2018;519.0
Česko;Rozvody;22;2017;575.0
Česko;Rozvody;22;2016;594.0
Česko;Rozvody;22;2015;683.0
Česko;Rozvody;22;2014;715.0
Česko;Rozvody;22;2013;875.0
Česko;Rozvody;22;2012;822.0
Česko;Rozvody;22;2011;809.0
Česko;Rozvody;22;2010;864.0
Česko;Rozvody;22;2009;787.0
Česko;Rozvody;22;2008;823.0
Česko;Rozvody;22;2007;810.0
Česko;Rozvody;22;2006;771.0
Česko;Rozvody;22;2005;720.0
Česko;Rozvody;22;2004;728.0
Česko;Rozvody;22;2003;643.0
Česko;Rozvody;22;2002;634.0
Česko;Rozvody;22;2001;621.0
Česko;Rozvody;23;2024;
Česko;Rozvody;23;2023;398.0
Česko;Rozvody;23;2022;401.0
Česko;Rozvody;23;2021;410.0
Česko;Rozvody;23;2020;463.0
Česko;Rozvody;23;2019;428.0
Česko;Rozvody;23;2018;524.0
Česko;Rozvody;23;2017;551.0
Česko;Rozvody;23;2016;605.0
Česko;Rozvody;23;2015;642.0
Česko;Rozvody;23;2014;783.0
Česko;Rozvody;23;2013;750.0
Česko;Rozvody;23;2012;679.0
Česko;Rozvody;23;2011;772.0
Česko;Rozvody;23;2010;746.0
Česko;Rozvody;23;2009;671.0
Česko;Rozvody;23;2008;787.0
Česko;Rozvody;23;2007;726.0
Česko;Rozvody;23;2006;650.0
Česko;Rozvody;23;2005;598.0
Česko;Rozvody;23;2004;613.0
Česko;Rozvody;23;2003;667.0
Česko;Rozvody;23;2002;573.0
Česko;Rozvody;23;2001;635.0
Česko;Rozvody;24;2024;
Česko;Rozvody;24;2023;349.0
Česko;Rozvody;24;2022;332.0
Česko;Rozvody;24;2021;372.0
Česko;Rozvody;24;2020;404.0
Česko;Rozvody;24;2019;455.0
Česko;Rozvody;24;2018;519.0
Česko;Rozvody;24;2017;596.0
Česko;Rozvody;24;2016;601.0
Česko;Rozvody;24;2015;660.0
Česko;Rozvody;24;2014;671.0
Česko;Rozvody;24;2013;646.0
Česko;Rozvody;24;2012;614.0
Česko;Rozvody;24;2011;682.0
Česko;Rozvody;24;2010;735.0
Česko;Rozvody;24;2009;661.0
Česko;Rozvody;24;2008;644.0
Česko;Rozvody;24;2007;597.0
Česko;Rozvody;24;2006;576.0
Česko;Rozvody;24;2005;498.0
Česko;Rozvody;24;2004;542.0
Česko;Rozvody;24;2003;588.0
Česko;Rozvody;24;2002;519.0
Česko;Rozvody;24;2001;534.0
Česko;Rozvody;25;2024;
Česko;Rozvody;25;2023;321.0
Česko;Rozvody;25;2022;356.0
Česko;Rozvody;25;2021;341.0
Česko;Rozvody;25;2020;414.0
Česko;Rozvody;25;2019;437.0
Česko;Rozvody;25;2018;512.0
Česko;Rozvody;25;2017;557.0
Česko;Rozvody;25;2016;585.0
Česko;Rozvody;25;2015;586.0
Česko;Rozvody;25;2014;603.0
Česko;Rozvody;25;2013;585.0
Česko;Rozvody;25;2012;532.0
Česko;Rozvody;25;2011;584.0
Česko;Rozvody;25;2010;548.0
Česko;Rozvody;25;2009;558.0
Česko;Rozvody;25;2008;525.0
Česko;Rozvody;25;2007;535.0
Česko;Rozvody;25;2006;519.0
Česko;Rozvody;25;2005;508.0
Česko;Rozvody;25;2004;518.0
Česko;Rozvody;25;2003;567.0
Česko;Rozvody;25;2002;508.0
Česko;Rozvody;25;2001;506.0
Česko;Rozvody;26;2024;
Česko;Rozvody;26;2023;309.0
Česko;Rozvody;26;2022;270.0
Česko;Rozvody;26;2021;318.0
Česko;Rozvody;26;2020;404.0
Česko;Rozvody;26;2019;469.0
Česko;Rozvody;26;2018;498.0
Česko;Rozvody;26;2017;618.0
Česko;Rozvody;26;2016;558.0
Česko;Rozvody;26;2015;465.0
Česko;Rozvody;26;2014;524.0
Česko;Rozvody;26;2013;512.0
Česko;Rozvody;26;2012;532.0
Česko;Rozvody;26;2011;516.0
Česko;Rozvody;26;2010;548.0
Česko;Rozvody;26;2009;483.0
Česko;Rozvody;26;2008;447.0
Česko;Rozvody;26;2007;435.0
Česko;Rozvody;26;2006;423.0
Česko;Rozvody;26;2005;482.0
Česko;Rozvody;26;2004;484.0
Česko;Rozvody;26;2003;474.0
Česko;Rozvody;26;2002;434.0
Česko;Rozvody;26;2001;435.0
Česko;Rozvody;27;2024;
Česko;Rozvody;27;2023;281.0
Česko;Rozvody;27;2022;297.0
Česko;Rozvody;27;2021;350.0
Česko;Rozvody;27;2020;370.0
Česko;Rozvody;27;2019;419.0
Česko;Rozvody;27;2018;492.0
Česko;Rozvody;27;2017;516.0
Česko;Rozvody;27;2016;445.0
Česko;Rozvody;27;2015;496.0
Česko;Rozvody;27;2014;439.0
Česko;Rozvody;27;2013;457.0
Česko;Rozvody;27;2012;403.0
Česko;Rozvody;27;2011;444.0
Česko;Rozvody;27;2010;475.0
Česko;Rozvody;27;2009;380.0
Česko;Rozvody;27;2008;404.0
Česko;Rozvody;27;2007;364.0
Česko;Rozvody;27;2006;404.0
Česko;Rozvody;27;2005;438.0
Česko;Rozvody;27;2004;429.0
Česko;Rozvody;27;2003;424.0
Česko;Rozvody;27;2002;378.0
Česko;Rozvody;27;2001;404.0
Česko;Rozvody;28;2024;
Česko;Rozvody;28;2023;247.0
Česko;Rozvody;28;2022;258.0
Česko;Rozvody;28;2021;316.0
Česko;Rozvody;28;2020;352.0
Česko;Rozvody;28;2019;401.0
Česko;Rozvody;28;2018;459.0
Česko;Rozvody;28;2017;399.0
Česko;Rozvody;28;2016;386.0
Česko;Rozvody;28;2015;365.0
Česko;Rozvody;28;2014;393.0
Česko;Rozvody;28;2013;443.0
Česko;Rozvody;28;2012;355.0
Česko;Rozvody;28;2011;390.0
Česko;Rozvody;28;2010;381.0
Česko;Rozvody;28;2009;371.0
Česko;Rozvody;28;2008;362.0
Česko;Rozvody;28;2007;369.0
Česko;Rozvody;28;2006;383.0
Česko;Rozvody;28;2005;388.0
Česko;Rozvody;28;2004;365.0
Česko;Rozvody;28;2003;372.0
Česko;Rozvody;28;2002;356.0
Česko;Rozvody;28;2001;322.0
