Roky;Ukazatel;Území;Typ ploch;value
2023;Plocha území (ha);Kraj Vysočina;Zahrada;11307.5427
2023;Plocha území (ha);Kraj Vysočina;Ovocný sad;580.3963
2023;Plocha území (ha);Kraj Vysočina;Trvalý travní porost;82724.4027
2023;Plocha území (ha);Kraj Vysočina;Nezemědělská půda;272555.7129
2023;Plocha území (ha);Kraj Vysočina;Lesní pozemek;207930.5606
2023;Plocha území (ha);Kraj Vysočina;Vodní plocha;12442.6358
2023;Plocha území (ha);Kraj Vysočina;Zastavěná plocha a nádvoří;9190.0291
2023;Plocha území (ha);Kraj Vysočina;Ostatní plocha;42992.4874
2023;Plocha území (ha);Jihomoravský kraj;Celková výměra;718785.8452
2023;Plocha území (ha);Jihomoravský kraj;Zemědělská půda;420948.9556
2023;Plocha území (ha);Jihomoravský kraj;Orná půda;344915.2744
2023;Plocha území (ha);Jihomoravský kraj;Chmelnice;0.1526
2023;Plocha území (ha);Jihomoravský kraj;Vinice;18841.4894
2023;Plocha území (ha);Jihomoravský kraj;Zahrada;17892.3983
2023;Plocha území (ha);Jihomoravský kraj;Ovocný sad;8133.1952
2023;Plocha území (ha);Jihomoravský kraj;Trvalý travní porost;31166.4457
2023;Plocha území (ha);Jihomoravský kraj;Nezemědělská půda;297836.8896
2023;Plocha území (ha);Jihomoravský kraj;Lesní pozemek;201880.3989
2023;Plocha území (ha);Jihomoravský kraj;Vodní plocha;15733.5619
2023;Plocha území (ha);Jihomoravský kraj;Zastavěná plocha a nádvoří;15368.6585
2023;Plocha území (ha);Jihomoravský kraj;Ostatní plocha;64854.2703
2023;Plocha území (ha);Olomoucký kraj;Celková výměra;527155.2853
2023;Plocha území (ha);Olomoucký kraj;Zemědělská půda;276187.4146
2023;Plocha území (ha);Olomoucký kraj;Orná půda;202395.2245
2023;Plocha území (ha);Olomoucký kraj;Chmelnice;1002.8495
2023;Plocha území (ha);Olomoucký kraj;Vinice;5.7955
2023;Plocha území (ha);Olomoucký kraj;Zahrada;12968.4679
2023;Plocha území (ha);Olomoucký kraj;Ovocný sad;2302.7766
2023;Plocha území (ha);Olomoucký kraj;Trvalý travní porost;57512.3006
2023;Plocha území (ha);Olomoucký kraj;Nezemědělská půda;250967.8707
2023;Plocha území (ha);Olomoucký kraj;Lesní pozemek;186617.9018
2023;Plocha území (ha);Olomoucký kraj;Vodní plocha;6489.359
2023;Plocha území (ha);Olomoucký kraj;Zastavěná plocha a nádvoří;8536.4795
2023;Plocha území (ha);Olomoucký kraj;Ostatní plocha;49324.1304
2023;Plocha území (ha);Zlínský kraj;Celková výměra;396289.8315
2023;Plocha území (ha);Zlínský kraj;Zemědělská půda;191974.6536
2023;Plocha území (ha);Zlínský kraj;Orná půda;114961.4415
2023;Plocha území (ha);Zlínský kraj;Chmelnice;0.0
2023;Plocha území (ha);Zlínský kraj;Vinice;888.9885
2023;Plocha území (ha);Zlínský kraj;Zahrada;12037.4859
2023;Plocha území (ha);Zlínský kraj;Ovocný sad;2952.8598
2023;Plocha území (ha);Zlínský kraj;Trvalý travní porost;61133.8779
2023;Plocha území (ha);Zlínský kraj;Nezemědělská půda;204315.1779
2023;Plocha území (ha);Zlínský kraj;Lesní pozemek;158995.8734
2023;Plocha území (ha);Zlínský kraj;Vodní plocha;5336.8399
2023;Plocha území (ha);Zlínský kraj;Zastavěná plocha a nádvoří;7435.1982
2023;Plocha území (ha);Zlínský kraj;Ostatní plocha;32547.2664
2023;Plocha území (ha);Moravskoslezský kraj;Celková výměra;543064.8797
2023;Plocha území (ha);Moravskoslezský kraj;Zemědělská půda;272466.5625
2023;Plocha území (ha);Moravskoslezský kraj;Orná půda;164503.5937
2023;Plocha území (ha);Moravskoslezský kraj;Chmelnice;0.0
2023;Plocha území (ha);Moravskoslezský kraj;Vinice;0.0783
2023;Plocha území (ha);Moravskoslezský kraj;Zahrada;19986.3059
2023;Plocha území (ha);Moravskoslezský kraj;Ovocný sad;809.3814
2023;Plocha území (ha);Moravskoslezský kraj;Trvalý travní porost;87167.2032
2023;Plocha území (ha);Moravskoslezský kraj;Nezemědělská půda;270598.3172
2023;Plocha území (ha);Moravskoslezský kraj;Lesní pozemek;194777.2701
2023;Plocha území (ha);Moravskoslezský kraj;Vodní plocha;11648.3726
2023;Plocha území (ha);Moravskoslezský kraj;Zastavěná plocha a nádvoří;11884.4218
2023;Plocha území (ha);Moravskoslezský kraj;Ostatní plocha;52288.2527
