Ukazatel,Území,Roky (ČR),Věk (roky),Pohlaví,value
Naděje dožití (ex),Česko,2024,64,ženy,21.6074711476
Naděje dožití (ex),Česko,2024,65,muži,16.9860297409
Naděje dožití (ex),Česko,2024,65,ženy,20.7566176611
Naděje dožití (ex),Česko,2024,66,muži,16.2660959995
Naděje dožití (ex),Česko,2024,66,ženy,19.91542614
Naděje dožití (ex),Česko,2024,67,muži,15.560830329
Naděje dožití (ex),Česko,2024,67,ženy,19.0843986679
Naděje dožití (ex),Česko,2024,68,muži,14.8702376121
Naděje dožití (ex),Česko,2024,68,ženy,18.2640384298
Naděje dožití (ex),Česko,2024,69,muži,14.1943158124
Naděje dožití (ex),Česko,2024,69,ženy,17.4548598692
Naděje dožití (ex),Česko,2024,70,muži,13.5330891965
Naděje dožití (ex),Česko,2024,70,ženy,16.6573749341
Naděje dožití (ex),Česko,2024,71,muži,12.8867677601
Naděje dožití (ex),Česko,2024,71,ženy,15.8720098769
Naděje dožití (ex),Česko,2024,72,muži,12.2558486759
Naděje dožití (ex),Česko,2024,72,ženy,15.0990480535
Naděje dožití (ex),Česko,2024,73,muži,11.6410642343
Naděje dožití (ex),Česko,2024,73,ženy,14.338701807
Naděje dožití (ex),Česko,2024,74,muži,11.0429775281
Naděje dožití (ex),Česko,2024,74,ženy,13.591534247
Naděje dožití (ex),Česko,2024,75,muži,10.4618320034
Naděje dožití (ex),Česko,2024,75,ženy,12.8586544384
Naděje dožití (ex),Česko,2024,76,muži,9.896820581
Naděje dožití (ex),Česko,2024,76,ženy,12.1416609404
Naděje dožití (ex),Česko,2024,77,muži,9.3477850092
Naděje dožití (ex),Česko,2024,77,ženy,11.44227893
Naděje dožití (ex),Česko,2024,78,muži,8.8148221379
Naděje dožití (ex),Česko,2024,78,ženy,10.762301728
Naděje dožití (ex),Česko,2024,79,muži,8.2983035208
Naděje dožití (ex),Česko,2024,79,ženy,10.1034701128
Naděje dožití (ex),Česko,2024,80,muži,7.7988887887
Naděje dožití (ex),Česko,2024,80,ženy,9.4672324464
Naděje dožití (ex),Česko,2024,81,muži,7.3175023325
Naděje dožití (ex),Česko,2024,81,ženy,8.8546297585
Naděje dožití (ex),Česko,2024,82,muži,6.8553797869
Naděje dožití (ex),Česko,2024,82,ženy,8.2671291071
Naděje dožití (ex),Česko,2024,83,muži,6.413981234
Naděje dožití (ex),Česko,2024,83,ženy,7.7055638219
Naděje dožití (ex),Česko,2024,84,muži,5.9946990323
Naděje dožití (ex),Česko,2024,84,ženy,7.1707919081
Naděje dožití (ex),Česko,2024,85,muži,5.598497537
