Rok sčítání;Pohlaví;Území;Ukazatel;value
2021;Celkem;Středočeský kraj;Místo pracoviště - v jiném kraji;186833
2021;Celkem;Středočeský kraj;Místo pracoviště - v zahraničí;3382
2021;Celkem;Středočeský kraj;Nepracující žáci a studenti;211476
2021;Celkem;Středočeský kraj;Místo školy - na jiné adrese v obci;93020
2021;Celkem;Středočeský kraj;Místo školy - mimo obec;114309
2021;Celkem;Jihočeský kraj;Zaměstnaní vč. pracujících žáků a studentů;314154
2021;Celkem;Jihočeský kraj;Místo pracoviště - na adrese obvyklého pobytu;67611
2021;Celkem;Jihočeský kraj;Místo pracoviště - na jiné adrese v obci;73895
2021;Celkem;Jihočeský kraj;Místo pracoviště - v jiné obci okresu;88006
2021;Celkem;Jihočeský kraj;Místo pracoviště - v jiném okrese kraje;24216
2021;Celkem;Jihočeský kraj;Místo pracoviště - v jiném kraji;12926
2021;Celkem;Jihočeský kraj;Místo pracoviště - v zahraničí;9255
2021;Celkem;Jihočeský kraj;Nepracující žáci a studenti;88670
2021;Celkem;Jihočeský kraj;Místo školy - na jiné adrese v obci;45849
2021;Celkem;Jihočeský kraj;Místo školy - mimo obec;41212
2021;Celkem;Plzeňský kraj;Zaměstnaní vč. pracujících žáků a studentů;295810
2021;Celkem;Plzeňský kraj;Místo pracoviště - na adrese obvyklého pobytu;54151
2021;Celkem;Plzeňský kraj;Místo pracoviště - na jiné adrese v obci;79032
2021;Celkem;Plzeňský kraj;Místo pracoviště - v jiné obci okresu;55458
2021;Celkem;Plzeňský kraj;Místo pracoviště - v jiném okrese kraje;52307
2021;Celkem;Plzeňský kraj;Místo pracoviště - v jiném kraji;10695
2021;Celkem;Plzeňský kraj;Místo pracoviště - v zahraničí;10630
2021;Celkem;Plzeňský kraj;Nepracující žáci a studenti;77980
2021;Celkem;Plzeňský kraj;Místo školy - na jiné adrese v obci;44234
2021;Celkem;Plzeňský kraj;Místo školy - mimo obec;32088
2021;Celkem;Karlovarský kraj;Zaměstnaní vč. pracujících žáků a studentů;130956
2021;Celkem;Karlovarský kraj;Místo pracoviště - na adrese obvyklého pobytu;29633
2021;Celkem;Karlovarský kraj;Místo pracoviště - na jiné adrese v obci;28077
2021;Celkem;Karlovarský kraj;Místo pracoviště - v jiné obci okresu;32258
2021;Celkem;Karlovarský kraj;Místo pracoviště - v jiném okrese kraje;9737
2021;Celkem;Karlovarský kraj;Místo pracoviště - v jiném kraji;5477
2021;Celkem;Karlovarský kraj;Místo pracoviště - v zahraničí;11108
2021;Celkem;Karlovarský kraj;Nepracující žáci a studenti;37784
2021;Celkem;Karlovarský kraj;Místo školy - na jiné adrese v obci;20623
2021;Celkem;Karlovarský kraj;Místo školy - mimo obec;14766
2021;Celkem;Ústecký kraj;Zaměstnaní vč. pracujících žáků a studentů;369950
2021;Celkem;Ústecký kraj;Místo pracoviště - na adrese obvyklého pobytu;76638
2021;Celkem;Ústecký kraj;Místo pracoviště - na jiné adrese v obci;84536
2021;Celkem;Ústecký kraj;Místo pracoviště - v jiné obci okresu;93894
2021;Celkem;Ústecký kraj;Místo pracoviště - v jiném okrese kraje;31584
2021;Celkem;Ústecký kraj;Místo pracoviště - v jiném kraji;27145
2021;Celkem;Ústecký kraj;Místo pracoviště - v zahraničí;10610
2021;Celkem;Ústecký kraj;Nepracující žáci a studenti;111319
2021;Celkem;Ústecký kraj;Místo školy - na jiné adrese v obci;66796
2021;Celkem;Ústecký kraj;Místo školy - mimo obec;40393
2021;Celkem;Liberecký kraj;Zaměstnaní vč. pracujících žáků a studentů;213877
2021;Celkem;Liberecký kraj;Místo pracoviště - na adrese obvyklého pobytu;44983
2021;Celkem;Liberecký kraj;Místo pracoviště - na jiné adrese v obci;57122
2021;Celkem;Liberecký kraj;Místo pracoviště - v jiné obci okresu;47590
2021;Celkem;Liberecký kraj;Místo pracoviště - v jiném okrese kraje;16917
2021;Celkem;Liberecký kraj;Místo pracoviště - v jiném kraji;18551
2021;Celkem;Liberecký kraj;Místo pracoviště - v zahraničí;1879
2021;Celkem;Liberecký kraj;Nepracující žáci a studenti;61204
2021;Celkem;Liberecký kraj;Místo školy - na jiné adrese v obci;36770
2021;Celkem;Liberecký kraj;Místo školy - mimo obec;23135
2021;Celkem;Královéhradecký kraj;Zaměstnaní vč. pracujících žáků a studentů;266948
2021;Celkem;Královéhradecký kraj;Místo pracoviště - na adrese obvyklého pobytu;55371
2021;Celkem;Královéhradecký kraj;Místo pracoviště - na jiné adrese v obci;64705
2021;Celkem;Královéhradecký kraj;Místo pracoviště - v jiné obci okresu;75941
2021;Celkem;Královéhradecký kraj;Místo pracoviště - v jiném okrese kraje;18925
2021;Celkem;Královéhradecký kraj;Místo pracoviště - v jiném kraji;18373
2021;Celkem;Královéhradecký kraj;Místo pracoviště - v zahraničí;1349
2021;Celkem;Královéhradecký kraj;Nepracující žáci a studenti;75596
2021;Celkem;Královéhradecký kraj;Místo školy - na jiné adrese v obci;39131
2021;Celkem;Královéhradecký kraj;Místo školy - mimo obec;33420
2021;Celkem;Pardubický kraj;Zaměstnaní vč. pracujících žáků a studentů;255984
2021;Celkem;Pardubický kraj;Místo pracoviště - na adrese obvyklého pobytu;49736
2021;Celkem;Pardubický kraj;Místo pracoviště - na jiné adrese v obci;61411
2021;Celkem;Pardubický kraj;Místo pracoviště - v jiné obci okresu;73041
2021;Celkem;Pardubický kraj;Místo pracoviště - v jiném okrese kraje;18447
2021;Celkem;Pardubický kraj;Místo pracoviště - v jiném kraji;22113
2021;Celkem;Pardubický kraj;Místo pracoviště - v zahraničí;1375
2021;Celkem;Pardubický kraj;Nepracující žáci a studenti;72210
2021;Celkem;Pardubický kraj;Místo školy - na jiné adrese v obci;37186
2021;Celkem;Pardubický kraj;Místo školy - mimo obec;33894
2021;Celkem;Kraj Vysočina;Zaměstnaní vč. pracujících žáků a studentů;246077
2021;Celkem;Kraj Vysočina;Místo pracoviště - na adrese obvyklého pobytu;48735
2021;Celkem;Kraj Vysočina;Místo pracoviště - na jiné adrese v obci;57784
2021;Celkem;Kraj Vysočina;Místo pracoviště - v jiné obci okresu;75819
2021;Celkem;Kraj Vysočina;Místo pracoviště - v jiném okrese kraje;14942
2021;Celkem;Kraj Vysočina;Místo pracoviště - v jiném kraji;18369
2021;Celkem;Kraj Vysočina;Místo pracoviště - v zahraničí;1803
2021;Celkem;Kraj Vysočina;Nepracující žáci a studenti;70161
2021;Celkem;Kraj Vysočina;Místo školy - na jiné adrese v obci;35584
2021;Celkem;Kraj Vysočina;Místo školy - mimo obec;33023
2021;Celkem;Jihomoravský kraj;Zaměstnaní vč. pracujících žáků a studentů;603968
2021;Celkem;Jihomoravský kraj;Místo pracoviště - na adrese obvyklého pobytu;106082
2021;Celkem;Jihomoravský kraj;Místo pracoviště - na jiné adrese v obci;185188
2021;Celkem;Jihomoravský kraj;Místo pracoviště - v jiné obci okresu;104127
2021;Celkem;Jihomoravský kraj;Místo pracoviště - v jiném okrese kraje;110125
2021;Celkem;Jihomoravský kraj;Místo pracoviště - v jiném kraji;18474
2021;Celkem;Jihomoravský kraj;Místo pracoviště - v zahraničí;9379
2021;Celkem;Jihomoravský kraj;Nepracující žáci a studenti;164674
2021;Celkem;Jihomoravský kraj;Místo školy - na jiné adrese v obci;100189
2021;Celkem;Jihomoravský kraj;Místo školy - mimo obec;61188
2021;Celkem;Olomoucký kraj;Zaměstnaní vč. pracujících žáků a studentů;301779
2021;Celkem;Olomoucký kraj;Místo pracoviště - na adrese obvyklého pobytu;56930
2021;Celkem;Olomoucký kraj;Místo pracoviště - na jiné adrese v obci;75863
2021;Celkem;Olomoucký kraj;Místo pracoviště - v jiné obci okresu;92602
2021;Celkem;Olomoucký kraj;Místo pracoviště - v jiném okrese kraje;21869
2021;Celkem;Olomoucký kraj;Místo pracoviště - v jiném kraji;17408
2021;Celkem;Olomoucký kraj;Místo pracoviště - v zahraničí;2029
2021;Celkem;Olomoucký kraj;Nepracující žáci a studenti;87418
2021;Celkem;Olomoucký kraj;Místo školy - na jiné adrese v obci;48500
2021;Celkem;Olomoucký kraj;Místo školy - mimo obec;37049
2021;Celkem;Zlínský kraj;Zaměstnaní vč. pracujících žáků a studentů;278753
2021;Celkem;Zlínský kraj;Místo pracoviště - na adrese obvyklého pobytu;52932
2021;Celkem;Zlínský kraj;Místo pracoviště - na jiné adrese v obci;64895
2021;Celkem;Zlínský kraj;Místo pracoviště - v jiné obci okresu;92373
2021;Celkem;Zlínský kraj;Místo pracoviště - v jiném okrese kraje;19386
2021;Celkem;Zlínský kraj;Místo pracoviště - v jiném kraji;15505
2021;Celkem;Zlínský kraj;Místo pracoviště - v zahraničí;2325
2021;Celkem;Zlínský kraj;Nepracující žáci a studenti;78238
2021;Celkem;Zlínský kraj;Místo školy - na jiné adrese v obci;43266
2021;Celkem;Zlínský kraj;Místo školy - mimo obec;33976
2021;Celkem;Moravskoslezský kraj;Zaměstnaní vč. pracujících žáků a studentů;551088
2021;Celkem;Moravskoslezský kraj;Místo pracoviště - na adrese obvyklého pobytu;97597
2021;Celkem;Moravskoslezský kraj;Místo pracoviště - na jiné adrese v obci;164154
2021;Celkem;Moravskoslezský kraj;Místo pracoviště - v jiné obci okresu;119544
2021;Celkem;Moravskoslezský kraj;Místo pracoviště - v jiném okrese kraje;87712
2021;Celkem;Moravskoslezský kraj;Místo pracoviště - v jiném kraji;15032
2021;Celkem;Moravskoslezský kraj;Místo pracoviště - v zahraničí;4998
2021;Celkem;Moravskoslezský kraj;Nepracující žáci a studenti;160970
2021;Celkem;Moravskoslezský kraj;Místo školy - na jiné adrese v obci;103731
2021;Celkem;Moravskoslezský kraj;Místo školy - mimo obec;53849
