Území,Měsíce,Ukazatel,value
Česko,červenec 2023,Podnikatelé - obchod,10.3
Česko,červenec 2023,Podnikatelé - služby,21.7
Česko,červenec 2023,Spotřebitelé,-16.5
Česko,červen 2023,Souhrnný indikátor,-2.6
Česko,červen 2023,Podnikatelé,2.2
Česko,červen 2023,Podnikatelé - průmysl,-13.7
Česko,červen 2023,Podnikatelé - stavebnictví,-14.0
Česko,červen 2023,Podnikatelé - obchod,8.3
Česko,červen 2023,Podnikatelé - služby,25.0
Česko,červen 2023,Spotřebitelé,-21.8
Česko,květen 2023,Souhrnný indikátor,1.4
Česko,květen 2023,Podnikatelé,6.9
Česko,květen 2023,Podnikatelé - průmysl,-7.0
Česko,květen 2023,Podnikatelé - stavebnictví,-15.5
Česko,květen 2023,Podnikatelé - obchod,13.3
Česko,květen 2023,Podnikatelé - služby,28.0
Česko,květen 2023,Spotřebitelé,-20.3
Česko,duben 2023,Souhrnný indikátor,4.8
Česko,duben 2023,Podnikatelé,10.1
Česko,duben 2023,Podnikatelé - průmysl,1.3
Česko,duben 2023,Podnikatelé - stavebnictví,-15.5
Česko,duben 2023,Podnikatelé - obchod,16.0
Česko,duben 2023,Podnikatelé - služby,25.0
Česko,duben 2023,Spotřebitelé,-16.3
Česko,březen 2023,Souhrnný indikátor,1.2
Česko,březen 2023,Podnikatelé,6.9
Česko,březen 2023,Podnikatelé - průmysl,-3.3
Česko,březen 2023,Podnikatelé - stavebnictví,-16.5
Česko,březen 2023,Podnikatelé - obchod,15.3
Česko,březen 2023,Podnikatelé - služby,23.0
Česko,březen 2023,Spotřebitelé,-21.5
Česko,únor 2023,Souhrnný indikátor,-1.2
Česko,únor 2023,Podnikatelé,3.8
Česko,únor 2023,Podnikatelé - průmysl,-10.1
Česko,únor 2023,Podnikatelé - stavebnictví,-11.5
Česko,únor 2023,Podnikatelé - obchod,9.3
Česko,únor 2023,Podnikatelé - služby,24.0
Česko,únor 2023,Spotřebitelé,-21.0
Česko,leden 2023,Souhrnný indikátor,-0.8
Česko,leden 2023,Podnikatelé,5.3
Česko,leden 2023,Podnikatelé - průmysl,-5.7
Česko,leden 2023,Podnikatelé - stavebnictví,-13.0
Česko,leden 2023,Podnikatelé - obchod,9.7
Česko,leden 2023,Podnikatelé - služby,22.3
Česko,leden 2023,Spotřebitelé,-25.3
Česko,prosinec 2022,Souhrnný indikátor,-3.3
Česko,prosinec 2022,Podnikatelé,3.9
Česko,prosinec 2022,Podnikatelé - průmysl,-7.7
Česko,prosinec 2022,Podnikatelé - stavebnictví,-11.0
