Území,Roky,Druh cesty ,Cílový kraj,Ukazatel,value
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jihočeský kraj,Náklady (mil. Kč),2393.0617813
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Plzeňský kraj,Počet cest (v tis.),653.18660476
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Plzeňský kraj,Počet přenocování (v tis.),1322.6236984
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Plzeňský kraj,Náklady (mil. Kč),1393.5142434
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Karlovarský kraj,Počet cest (v tis.),337.98884509
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Karlovarský kraj,Počet přenocování (v tis.),654.69392861
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Karlovarský kraj,Náklady (mil. Kč),846.88568086
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Ústecký kraj,Počet cest (v tis.),678.36211407
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Ústecký kraj,Počet přenocování (v tis.),1301.3474656
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Ústecký kraj,Náklady (mil. Kč),850.88155507
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Liberecký kraj,Počet cest (v tis.),839.91371417
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Liberecký kraj,Počet přenocování (v tis.),1805.6569003
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Liberecký kraj,Náklady (mil. Kč),1722.3352102
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Královéhradecký kraj,Počet cest (v tis.),918.5170987
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Královéhradecký kraj,Počet přenocování (v tis.),1911.6744687
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Královéhradecký kraj,Náklady (mil. Kč),2167.9236089
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Pardubický kraj,Počet cest (v tis.),576.38686123
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Pardubický kraj,Počet přenocování (v tis.),1078.7371317
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Pardubický kraj,Náklady (mil. Kč),768.95475055
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Kraj Vysočina,Počet cest (v tis.),740.40822681
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Kraj Vysočina,Počet přenocování (v tis.),1430.0079734
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Kraj Vysočina,Náklady (mil. Kč),998.54373725
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jihomoravský kraj,Počet cest (v tis.),1497.9263481
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jihomoravský kraj,Počet přenocování (v tis.),2936.1755697
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Jihomoravský kraj,Náklady (mil. Kč),3218.6506172
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Olomoucký kraj,Počet cest (v tis.),880.99100126
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Olomoucký kraj,Počet přenocování (v tis.),1728.4673537
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Olomoucký kraj,Náklady (mil. Kč),1573.3413795
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Zlínský kraj,Počet cest (v tis.),593.88299449
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Zlínský kraj,Počet přenocování (v tis.),1175.9081183
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Zlínský kraj,Náklady (mil. Kč),1207.3659272
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Moravskoslezský kraj,Počet cest (v tis.),620.10981139
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Moravskoslezský kraj,Počet přenocování (v tis.),1300.0408315
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Moravskoslezský kraj,Náklady (mil. Kč),1146.3762726
