Klasifikace CZ-CPA;Území;Ukazatel;Typ indexu;Měsíce;value
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;říjen 2024;101.9
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;listopad 2024;102.5
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;prosinec 2024;103.1
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;leden 2025;103.5
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;únor 2025;103.5
Úhrn celkem;Česko;Index vývozních cen (%);Podíl klouzavých průměrů;březen 2025;103.5
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;leden 2024;100.3
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;únor 2024;101.3
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;březen 2024;100.4
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;duben 2024;100.4
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;květen 2024;98.6
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;červen 2024;100.1
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;červenec 2024;101.8
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;srpen 2024;99.7
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;září 2024;99.4
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;říjen 2024;101.0
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;listopad 2024;100.8
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;prosinec 2024;99.8
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;leden 2025;100.6
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;únor 2025;99.7
Úhrn celkem;Česko;Index dovozních cen (%);Meziměsíční index;březen 2025;98.9
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;leden 2024;96.0
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;únor 2024;98.9
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;březen 2024;100.1
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;duben 2024;103.5
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;květen 2024;102.7
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;červen 2024;102.9
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;červenec 2024;104.7
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;srpen 2024;103.1
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;září 2024;100.4
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;říjen 2024;100.6
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;listopad 2024;102.4
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;prosinec 2024;103.5
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;leden 2025;103.9
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;únor 2025;102.2
Úhrn celkem;Česko;Index dovozních cen (%);Meziroční index;březen 2025;100.7
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);leden 2024;111.6
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);únor 2024;113.1
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);březen 2024;113.5
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);duben 2024;113.9
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);květen 2024;112.3
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);červen 2024;112.4
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);červenec 2024;114.4
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);srpen 2024;114.1
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);září 2024;113.4
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);říjen 2024;114.5
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);listopad 2024;115.4
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);prosinec 2024;115.2
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);leden 2025;115.9
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);únor 2025;115.6
Úhrn celkem;Česko;Index dovozních cen (%);Bazický index (2015 = 100);březen 2025;114.3
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;leden 2024;93.5
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;únor 2024;93.0
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;březen 2024;93.2
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;duben 2024;93.9
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;květen 2024;94.8
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;červen 2024;95.7
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;červenec 2024;97.1
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;srpen 2024;98.5
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;září 2024;99.4
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;říjen 2024;100.0
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;listopad 2024;100.7
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;prosinec 2024;101.5
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;leden 2025;102.2
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;únor 2025;102.5
Úhrn celkem;Česko;Index dovozních cen (%);Podíl klouzavých průměrů;březen 2025;102.5
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;leden 2024;100.8
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;únor 2024;100.8
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;březen 2024;99.7
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;duben 2024;100.4
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;květen 2024;100.1
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;červen 2024;99.9
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;červenec 2024;99.9
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;srpen 2024;99.8
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;září 2024;100.1
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;říjen 2024;99.9
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;listopad 2024;100.1
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;prosinec 2024;99.8
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;leden 2025;99.6
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;únor 2025;100.5
Úhrn celkem;Česko;Směnné relace (%);Meziměsíční index;březen 2025;100.0
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;leden 2024;102.9
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;únor 2024;102.8
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;březen 2024;101.7
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;duben 2024;101.4
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;květen 2024;100.5
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;červen 2024;99.9
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;červenec 2024;100.4
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;srpen 2024;100.9
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;září 2024;101.9
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;říjen 2024;102.4
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;listopad 2024;102.0
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;prosinec 2024;101.4
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;leden 2025;100.2
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;únor 2025;99.9
Úhrn celkem;Česko;Směnné relace (%);Meziroční index;březen 2025;100.1
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);leden 2024;104.8
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);únor 2024;105.7
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);březen 2024;105.4
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);duben 2024;105.8
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);květen 2024;105.9
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);červen 2024;105.8
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);červenec 2024;105.7
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);srpen 2024;105.5
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);září 2024;105.6
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);říjen 2024;105.6
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);listopad 2024;105.7
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);prosinec 2024;105.5
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);leden 2025;105.0
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);únor 2025;105.5
Úhrn celkem;Česko;Směnné relace (%);Bazický index (2015 = 100);březen 2025;105.5
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;leden 2024;105.5
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;únor 2024;105.5
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;březen 2024;105.2
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;duben 2024;104.8
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;květen 2024;104.4
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;červen 2024;103.8
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;červenec 2024;103.2
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;srpen 2024;102.5
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;září 2024;102.1
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;říjen 2024;101.9
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;listopad 2024;101.7
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;prosinec 2024;101.5
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;leden 2025;101.3
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;únor 2025;101.0
Úhrn celkem;Česko;Směnné relace (%);Podíl klouzavých průměrů;březen 2025;100.9
