Roky,Právní forma,Území,Ukazatel,value
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,Kapitalové příjmy ,452202.10234
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,Přijaté transféry,13273464.96909
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,Výdaje celkem,32081704.81828
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,Běžné výdaje ,25815281.95815
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,Kapitalové výdaje ,6266422.86013
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Liberecký kraj,Saldo příjmů a výdajů ,1297195.9111
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,Příjmy celkem,42318314.31063
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,Daňové příjmy ,20957060.71404
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,Nedaňové příjmy ,3516202.67299
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,Kapitalové příjmy ,833127.6073
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,Přijaté transféry,17011923.3163
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,Výdaje celkem,41319313.67054
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,Běžné výdaje ,31647258.99083
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,Kapitalové výdaje ,9672054.67971
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Královéhradecký kraj,Saldo příjmů a výdajů ,999000.64009
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,Příjmy celkem,39849132.00973
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,Daňové příjmy ,19349927.5953
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,Nedaňové příjmy ,3187158.1147
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,Kapitalové příjmy ,389171.39606
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,Přijaté transféry,16922874.90367
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,Výdaje celkem,38610096.13127
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,Běžné výdaje ,29834120.52459
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,Kapitalové výdaje ,8775975.60668
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Pardubický kraj,Saldo příjmů a výdajů ,1239035.87846
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,Příjmy celkem,46912831.40706
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,Daňové příjmy ,21044061.06081
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,Nedaňové příjmy ,7290262.62988
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,Kapitalové příjmy ,742526.23978
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,Přijaté transféry,17835981.47659
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,Výdaje celkem,42106415.6236
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,Běžné výdaje ,30192389.97335
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,Kapitalové výdaje ,11914025.65025
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Kraj Vysočina,Saldo příjmů a výdajů ,4806415.78346
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,Příjmy celkem,93400375.37411
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,Daňové příjmy ,47116089.58732
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,Nedaňové příjmy ,8536311.00316
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,Kapitalové příjmy ,1245169.4137
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,Přijaté transféry,36502805.36993
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,Výdaje celkem,89977259.6737
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,Běžné výdaje ,68673163.009
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,Kapitalové výdaje ,21304096.6647
2024,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihomoravský kraj,Saldo příjmů a výdajů ,3423115.70041
