Území;Náklady práce;Ukazatel;Roky;value
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - sociální požitky;2019;6099.9735334094
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - sociální požitky;2020;6016.4339395991
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - sociální požitky;2021;7138.6217154115
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - sociální požitky;2022;7179.6732738764
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - sociální požitky;2023;8128.1492341359
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2000;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2001;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2002;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2003;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2004;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2005;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2006;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2007;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2008;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2009;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2010;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2011;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2012;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2013;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2014;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2015;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2016;114988.657436836
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2017;122539.030461253
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2018;132091.183198973
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2019;142222.69050024
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2020;147592.908084869
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2021;156428.211386957
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2022;164083.791223021
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - platby zákonného pojistného;2023;175810.4806011478
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2000;
Česko;Roční (Kč/rok na 1 zaměstnance (přepočtené počty);Nepřímé náklady - ostatní sociální náklady a výdaje;2001;
