Rok sčítání,Ukazatel,Pohlaví,Území,Velikostní skupina obce,value
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihočeský kraj,10000 až 19999 obyvatel,22718
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihočeský kraj,20000 až 49999 obyvatel,105315
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihočeský kraj,50000 až 99999 obyvatel,95664
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihočeský kraj,100000 a více obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Plzeňský kraj,do 199 obyvatel,18569
2021,Počet obyvatel (obvyklý pobyt),Celkem,Plzeňský kraj,200 - 499 obyvatel,50626
2021,Počet obyvatel (obvyklý pobyt),Celkem,Plzeňský kraj,500 až 999 obyvatel,52742
2021,Počet obyvatel (obvyklý pobyt),Celkem,Plzeňský kraj,1000 až 1999 obyvatel,69645
2021,Počet obyvatel (obvyklý pobyt),Celkem,Plzeňský kraj,2000 až 4999 obyvatel,98210
2021,Počet obyvatel (obvyklý pobyt),Celkem,Plzeňský kraj,5000 až 9999 obyvatel,48369
2021,Počet obyvatel (obvyklý pobyt),Celkem,Plzeňský kraj,10000 až 19999 obyvatel,47689
2021,Počet obyvatel (obvyklý pobyt),Celkem,Plzeňský kraj,20000 až 49999 obyvatel,21579
2021,Počet obyvatel (obvyklý pobyt),Celkem,Plzeňský kraj,50000 až 99999 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Plzeňský kraj,100000 a více obyvatel,174007
2021,Počet obyvatel (obvyklý pobyt),Celkem,Karlovarský kraj,do 199 obyvatel,2104
2021,Počet obyvatel (obvyklý pobyt),Celkem,Karlovarský kraj,200 - 499 obyvatel,16824
2021,Počet obyvatel (obvyklý pobyt),Celkem,Karlovarský kraj,500 až 999 obyvatel,20739
2021,Počet obyvatel (obvyklý pobyt),Celkem,Karlovarský kraj,1000 až 1999 obyvatel,24274
2021,Počet obyvatel (obvyklý pobyt),Celkem,Karlovarský kraj,2000 až 4999 obyvatel,41146
2021,Počet obyvatel (obvyklý pobyt),Celkem,Karlovarský kraj,5000 až 9999 obyvatel,24690
2021,Počet obyvatel (obvyklý pobyt),Celkem,Karlovarský kraj,10000 až 19999 obyvatel,53358
2021,Počet obyvatel (obvyklý pobyt),Celkem,Karlovarský kraj,20000 až 49999 obyvatel,95968
2021,Počet obyvatel (obvyklý pobyt),Celkem,Karlovarský kraj,50000 až 99999 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Karlovarský kraj,100000 a více obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Ústecký kraj,do 199 obyvatel,5908
2021,Počet obyvatel (obvyklý pobyt),Celkem,Ústecký kraj,200 - 499 obyvatel,44562
2021,Počet obyvatel (obvyklý pobyt),Celkem,Ústecký kraj,500 až 999 obyvatel,59312
2021,Počet obyvatel (obvyklý pobyt),Celkem,Ústecký kraj,1000 až 1999 obyvatel,65342
2021,Počet obyvatel (obvyklý pobyt),Celkem,Ústecký kraj,2000 až 4999 obyvatel,77904
2021,Počet obyvatel (obvyklý pobyt),Celkem,Ústecký kraj,5000 až 9999 obyvatel,49932
2021,Počet obyvatel (obvyklý pobyt),Celkem,Ústecký kraj,10000 až 19999 obyvatel,148985
2021,Počet obyvatel (obvyklý pobyt),Celkem,Ústecký kraj,20000 až 49999 obyvatel,186134
2021,Počet obyvatel (obvyklý pobyt),Celkem,Ústecký kraj,50000 až 99999 obyvatel,151019
2021,Počet obyvatel (obvyklý pobyt),Celkem,Ústecký kraj,100000 a více obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Liberecký kraj,do 199 obyvatel,3866
2021,Počet obyvatel (obvyklý pobyt),Celkem,Liberecký kraj,200 - 499 obyvatel,21550
2021,Počet obyvatel (obvyklý pobyt),Celkem,Liberecký kraj,500 až 999 obyvatel,44881
2021,Počet obyvatel (obvyklý pobyt),Celkem,Liberecký kraj,1000 až 1999 obyvatel,39569
2021,Počet obyvatel (obvyklý pobyt),Celkem,Liberecký kraj,2000 až 4999 obyvatel,52509
2021,Počet obyvatel (obvyklý pobyt),Celkem,Liberecký kraj,5000 až 9999 obyvatel,62454
2021,Počet obyvatel (obvyklý pobyt),Celkem,Liberecký kraj,10000 až 19999 obyvatel,25675
2021,Počet obyvatel (obvyklý pobyt),Celkem,Liberecký kraj,20000 až 49999 obyvatel,80376
2021,Počet obyvatel (obvyklý pobyt),Celkem,Liberecký kraj,50000 až 99999 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Liberecký kraj,100000 a více obyvatel,104340
2021,Počet obyvatel (obvyklý pobyt),Celkem,Královéhradecký kraj,do 199 obyvatel,14679
2021,Počet obyvatel (obvyklý pobyt),Celkem,Královéhradecký kraj,200 - 499 obyvatel,55367
2021,Počet obyvatel (obvyklý pobyt),Celkem,Královéhradecký kraj,500 až 999 obyvatel,64264
2021,Počet obyvatel (obvyklý pobyt),Celkem,Královéhradecký kraj,1000 až 1999 obyvatel,50509
2021,Počet obyvatel (obvyklý pobyt),Celkem,Královéhradecký kraj,2000 až 4999 obyvatel,59041
2021,Počet obyvatel (obvyklý pobyt),Celkem,Královéhradecký kraj,5000 až 9999 obyvatel,88329
2021,Počet obyvatel (obvyklý pobyt),Celkem,Královéhradecký kraj,10000 až 19999 obyvatel,84411
2021,Počet obyvatel (obvyklý pobyt),Celkem,Královéhradecký kraj,20000 až 49999 obyvatel,29054
2021,Počet obyvatel (obvyklý pobyt),Celkem,Královéhradecký kraj,50000 až 99999 obyvatel,92649
2021,Počet obyvatel (obvyklý pobyt),Celkem,Královéhradecký kraj,100000 a více obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Pardubický kraj,do 199 obyvatel,13899
2021,Počet obyvatel (obvyklý pobyt),Celkem,Pardubický kraj,200 - 499 obyvatel,55195
2021,Počet obyvatel (obvyklý pobyt),Celkem,Pardubický kraj,500 až 999 obyvatel,68535
2021,Počet obyvatel (obvyklý pobyt),Celkem,Pardubický kraj,1000 až 1999 obyvatel,64801
2021,Počet obyvatel (obvyklý pobyt),Celkem,Pardubický kraj,2000 až 4999 obyvatel,49526
2021,Počet obyvatel (obvyklý pobyt),Celkem,Pardubický kraj,5000 až 9999 obyvatel,78427
2021,Počet obyvatel (obvyklý pobyt),Celkem,Pardubický kraj,10000 až 19999 obyvatel,67162
2021,Počet obyvatel (obvyklý pobyt),Celkem,Pardubický kraj,20000 až 49999 obyvatel,22873
2021,Počet obyvatel (obvyklý pobyt),Celkem,Pardubický kraj,50000 až 99999 obyvatel,89619
2021,Počet obyvatel (obvyklý pobyt),Celkem,Pardubický kraj,100000 a více obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Kraj Vysočina,do 199 obyvatel,40459
2021,Počet obyvatel (obvyklý pobyt),Celkem,Kraj Vysočina,200 - 499 obyvatel,62878
2021,Počet obyvatel (obvyklý pobyt),Celkem,Kraj Vysočina,500 až 999 obyvatel,68907
2021,Počet obyvatel (obvyklý pobyt),Celkem,Kraj Vysočina,1000 až 1999 obyvatel,49697
2021,Počet obyvatel (obvyklý pobyt),Celkem,Kraj Vysočina,2000 až 4999 obyvatel,49136
2021,Počet obyvatel (obvyklý pobyt),Celkem,Kraj Vysočina,5000 až 9999 obyvatel,60828
2021,Počet obyvatel (obvyklý pobyt),Celkem,Kraj Vysočina,10000 až 19999 obyvatel,37821
2021,Počet obyvatel (obvyklý pobyt),Celkem,Kraj Vysočina,20000 až 49999 obyvatel,77412
2021,Počet obyvatel (obvyklý pobyt),Celkem,Kraj Vysočina,50000 až 99999 obyvatel,50523
2021,Počet obyvatel (obvyklý pobyt),Celkem,Kraj Vysočina,100000 a více obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihomoravský kraj,do 199 obyvatel,14187
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihomoravský kraj,200 - 499 obyvatel,65344
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihomoravský kraj,500 až 999 obyvatel,128538
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihomoravský kraj,1000 až 1999 obyvatel,150451
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihomoravský kraj,2000 až 4999 obyvatel,173026
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihomoravský kraj,5000 až 9999 obyvatel,100476
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihomoravský kraj,10000 až 19999 obyvatel,64661
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihomoravský kraj,20000 až 49999 obyvatel,102458
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihomoravský kraj,50000 až 99999 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Jihomoravský kraj,100000 a více obyvatel,398510
2021,Počet obyvatel (obvyklý pobyt),Celkem,Olomoucký kraj,do 199 obyvatel,6944
2021,Počet obyvatel (obvyklý pobyt),Celkem,Olomoucký kraj,200 - 499 obyvatel,43999
2021,Počet obyvatel (obvyklý pobyt),Celkem,Olomoucký kraj,500 až 999 obyvatel,66752
2021,Počet obyvatel (obvyklý pobyt),Celkem,Olomoucký kraj,1000 až 1999 obyvatel,107838
2021,Počet obyvatel (obvyklý pobyt),Celkem,Olomoucký kraj,2000 až 4999 obyvatel,80862
2021,Počet obyvatel (obvyklý pobyt),Celkem,Olomoucký kraj,5000 až 9999 obyvatel,32001
2021,Počet obyvatel (obvyklý pobyt),Celkem,Olomoucký kraj,10000 až 19999 obyvatel,65462
2021,Počet obyvatel (obvyklý pobyt),Celkem,Olomoucký kraj,20000 až 49999 obyvatel,109867
2021,Počet obyvatel (obvyklý pobyt),Celkem,Olomoucký kraj,50000 až 99999 obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Olomoucký kraj,100000 a více obyvatel,106063
2021,Počet obyvatel (obvyklý pobyt),Celkem,Zlínský kraj,do 199 obyvatel,2759
2021,Počet obyvatel (obvyklý pobyt),Celkem,Zlínský kraj,200 - 499 obyvatel,30422
2021,Počet obyvatel (obvyklý pobyt),Celkem,Zlínský kraj,500 až 999 obyvatel,70680
2021,Počet obyvatel (obvyklý pobyt),Celkem,Zlínský kraj,1000 až 1999 obyvatel,74302
2021,Počet obyvatel (obvyklý pobyt),Celkem,Zlínský kraj,2000 až 4999 obyvatel,101745
2021,Počet obyvatel (obvyklý pobyt),Celkem,Zlínský kraj,5000 až 9999 obyvatel,49531
2021,Počet obyvatel (obvyklý pobyt),Celkem,Zlínský kraj,10000 až 19999 obyvatel,60748
2021,Počet obyvatel (obvyklý pobyt),Celkem,Zlínský kraj,20000 až 49999 obyvatel,99966
2021,Počet obyvatel (obvyklý pobyt),Celkem,Zlínský kraj,50000 až 99999 obyvatel,74178
2021,Počet obyvatel (obvyklý pobyt),Celkem,Zlínský kraj,100000 a více obyvatel,0
2021,Počet obyvatel (obvyklý pobyt),Celkem,Moravskoslezský kraj,do 199 obyvatel,2324
2021,Počet obyvatel (obvyklý pobyt),Celkem,Moravskoslezský kraj,200 - 499 obyvatel,19588
2021,Počet obyvatel (obvyklý pobyt),Celkem,Moravskoslezský kraj,500 až 999 obyvatel,57364
2021,Počet obyvatel (obvyklý pobyt),Celkem,Moravskoslezský kraj,1000 až 1999 obyvatel,98734
2021,Počet obyvatel (obvyklý pobyt),Celkem,Moravskoslezský kraj,2000 až 4999 obyvatel,152162
2021,Počet obyvatel (obvyklý pobyt),Celkem,Moravskoslezský kraj,5000 až 9999 obyvatel,115280
2021,Počet obyvatel (obvyklý pobyt),Celkem,Moravskoslezský kraj,10000 až 19999 obyvatel,39146
2021,Počet obyvatel (obvyklý pobyt),Celkem,Moravskoslezský kraj,20000 až 49999 obyvatel,218796
2021,Počet obyvatel (obvyklý pobyt),Celkem,Moravskoslezský kraj,50000 až 99999 obyvatel,176997
2021,Počet obyvatel (obvyklý pobyt),Celkem,Moravskoslezský kraj,100000 a více obyvatel,282450
