Kumulace čtvrtletí;ČR, kraje;Ukazatel;value
Q1-Q4 2024;Středočeský kraj;Přirozený přírůstek/úbytek;-2773
Q1-Q4 2024;Středočeský kraj;Přistěhovalí;44511
Q1-Q4 2024;Středočeský kraj;Přistěhovalí z ciziny;16312
Q1-Q4 2024;Středočeský kraj;Vystěhovalí;31463
Q1-Q4 2024;Středočeský kraj;Vystěhovalí do ciziny;10528
Q1-Q4 2024;Středočeský kraj;Přírůstek/úbytek stěhováním;13048
Q1-Q4 2024;Středočeský kraj;Přírůstek/úbytek stěhováním s cizinou;5784
Q1-Q4 2024;Středočeský kraj;Celkový přírůstek/úbytek;10275
Q1-Q4 2024;Středočeský kraj;Sňatky;5658
Q1-Q4 2024;Středočeský kraj;Rozvody;2946
Q1-Q4 2024;Jihočeský kraj;Počet obyvatel - střední stav;653120
Q1-Q4 2024;Jihočeský kraj;Počet obyvatel - stav na konci období;653227
Q1-Q4 2024;Jihočeský kraj;Živě narození;5082
Q1-Q4 2024;Jihočeský kraj;Živě narození mimo manželství;2445
Q1-Q4 2024;Jihočeský kraj;Zemřelí;6938
Q1-Q4 2024;Jihočeský kraj;Zemřelí do 1 roku;13
Q1-Q4 2024;Jihočeský kraj;Přirozený přírůstek/úbytek;-1856
Q1-Q4 2024;Jihočeský kraj;Přistěhovalí;9853
Q1-Q4 2024;Jihočeský kraj;Přistěhovalí z ciziny;4459
Q1-Q4 2024;Jihočeský kraj;Vystěhovalí;9275
Q1-Q4 2024;Jihočeský kraj;Vystěhovalí do ciziny;3954
Q1-Q4 2024;Jihočeský kraj;Přírůstek/úbytek stěhováním;578
Q1-Q4 2024;Jihočeský kraj;Přírůstek/úbytek stěhováním s cizinou;505
Q1-Q4 2024;Jihočeský kraj;Celkový přírůstek/úbytek;-1278
Q1-Q4 2024;Jihočeský kraj;Sňatky;2684
Q1-Q4 2024;Jihočeský kraj;Rozvody;1270
Q1-Q4 2024;Plzeňský kraj;Počet obyvatel - střední stav;611601
Q1-Q4 2024;Plzeňský kraj;Počet obyvatel - stav na konci období;614640
Q1-Q4 2024;Plzeňský kraj;Živě narození;4569
Q1-Q4 2024;Plzeňský kraj;Živě narození mimo manželství;2203
Q1-Q4 2024;Plzeňský kraj;Zemřelí;6256
Q1-Q4 2024;Plzeňský kraj;Zemřelí do 1 roku;10
Q1-Q4 2024;Plzeňský kraj;Přirozený přírůstek/úbytek;-1687
Q1-Q4 2024;Plzeňský kraj;Přistěhovalí;16277
Q1-Q4 2024;Plzeňský kraj;Přistěhovalí z ciziny;10250
Q1-Q4 2024;Plzeňský kraj;Vystěhovalí;13324
Q1-Q4 2024;Plzeňský kraj;Vystěhovalí do ciziny;7256
Q1-Q4 2024;Plzeňský kraj;Přírůstek/úbytek stěhováním;2953
Q1-Q4 2024;Plzeňský kraj;Přírůstek/úbytek stěhováním s cizinou;2994
Q1-Q4 2024;Plzeňský kraj;Celkový přírůstek/úbytek;1266
Q1-Q4 2024;Plzeňský kraj;Sňatky;2561
Q1-Q4 2024;Plzeňský kraj;Rozvody;1229
Q1-Q4 2024;Karlovarský kraj;Počet obyvatel - střední stav;293279
Q1-Q4 2024;Karlovarský kraj;Počet obyvatel - stav na konci období;293195
Q1-Q4 2024;Karlovarský kraj;Živě narození;1814
Q1-Q4 2024;Karlovarský kraj;Živě narození mimo manželství;1117
Q1-Q4 2024;Karlovarský kraj;Zemřelí;3401
Q1-Q4 2024;Karlovarský kraj;Zemřelí do 1 roku;2
Q1-Q4 2024;Karlovarský kraj;Přirozený přírůstek/úbytek;-1587
Q1-Q4 2024;Karlovarský kraj;Přistěhovalí;6527
Q1-Q4 2024;Karlovarský kraj;Přistěhovalí z ciziny;3691
Q1-Q4 2024;Karlovarský kraj;Vystěhovalí;6822
Q1-Q4 2024;Karlovarský kraj;Vystěhovalí do ciziny;3323
Q1-Q4 2024;Karlovarský kraj;Přírůstek/úbytek stěhováním;-295
Q1-Q4 2024;Karlovarský kraj;Přírůstek/úbytek stěhováním s cizinou;368
Q1-Q4 2024;Karlovarský kraj;Celkový přírůstek/úbytek;-1882
Q1-Q4 2024;Karlovarský kraj;Sňatky;1210
Q1-Q4 2024;Karlovarský kraj;Rozvody;632
Q1-Q4 2024;Ústecký kraj;Počet obyvatel - střední stav;809061
Q1-Q4 2024;Ústecký kraj;Počet obyvatel - stav na konci období;808356
Q1-Q4 2024;Ústecký kraj;Živě narození;6132
Q1-Q4 2024;Ústecký kraj;Živě narození mimo manželství;3854
Q1-Q4 2024;Ústecký kraj;Zemřelí;9493
Q1-Q4 2024;Ústecký kraj;Zemřelí do 1 roku;24
Q1-Q4 2024;Ústecký kraj;Přirozený přírůstek/úbytek;-3361
Q1-Q4 2024;Ústecký kraj;Přistěhovalí;11109
Q1-Q4 2024;Ústecký kraj;Přistěhovalí z ciziny;4648
Q1-Q4 2024;Ústecký kraj;Vystěhovalí;10561
Q1-Q4 2024;Ústecký kraj;Vystěhovalí do ciziny;3784
Q1-Q4 2024;Ústecký kraj;Přírůstek/úbytek stěhováním;548
Q1-Q4 2024;Ústecký kraj;Přírůstek/úbytek stěhováním s cizinou;864
Q1-Q4 2024;Ústecký kraj;Celkový přírůstek/úbytek;-2813
Q1-Q4 2024;Ústecký kraj;Sňatky;3399
Q1-Q4 2024;Ústecký kraj;Rozvody;1655
Q1-Q4 2024;Liberecký kraj;Počet obyvatel - střední stav;449377
Q1-Q4 2024;Liberecký kraj;Počet obyvatel - stav na konci období;449494
Q1-Q4 2024;Liberecký kraj;Živě narození;3253
Q1-Q4 2024;Liberecký kraj;Živě narození mimo manželství;1682
Q1-Q4 2024;Liberecký kraj;Zemřelí;4730
Q1-Q4 2024;Liberecký kraj;Zemřelí do 1 roku;3
Q1-Q4 2024;Liberecký kraj;Přirozený přírůstek/úbytek;-1477
Q1-Q4 2024;Liberecký kraj;Přistěhovalí;8414
Q1-Q4 2024;Liberecký kraj;Přistěhovalí z ciziny;4073
Q1-Q4 2024;Liberecký kraj;Vystěhovalí;8171
Q1-Q4 2024;Liberecký kraj;Vystěhovalí do ciziny;3372
Q1-Q4 2024;Liberecký kraj;Přírůstek/úbytek stěhováním;243
Q1-Q4 2024;Liberecký kraj;Přírůstek/úbytek stěhováním s cizinou;701
Q1-Q4 2024;Liberecký kraj;Celkový přírůstek/úbytek;-1234
Q1-Q4 2024;Liberecký kraj;Sňatky;1815
Q1-Q4 2024;Liberecký kraj;Rozvody;880
Q1-Q4 2024;Královéhradecký kraj;Počet obyvatel - střední stav;555467
Q1-Q4 2024;Královéhradecký kraj;Počet obyvatel - stav na konci období;555923
Q1-Q4 2024;Královéhradecký kraj;Živě narození;4142
Q1-Q4 2024;Královéhradecký kraj;Živě narození mimo manželství;2065
Q1-Q4 2024;Královéhradecký kraj;Zemřelí;5882
Q1-Q4 2024;Královéhradecký kraj;Zemřelí do 1 roku;10
Q1-Q4 2024;Královéhradecký kraj;Přirozený přírůstek/úbytek;-1740
Q1-Q4 2024;Královéhradecký kraj;Přistěhovalí;10151
Q1-Q4 2024;Královéhradecký kraj;Přistěhovalí z ciziny;4769
Q1-Q4 2024;Královéhradecký kraj;Vystěhovalí;9437
Q1-Q4 2024;Královéhradecký kraj;Vystěhovalí do ciziny;3479
Q1-Q4 2024;Královéhradecký kraj;Přírůstek/úbytek stěhováním;714
Q1-Q4 2024;Královéhradecký kraj;Přírůstek/úbytek stěhováním s cizinou;1290
Q1-Q4 2024;Královéhradecký kraj;Celkový přírůstek/úbytek;-1026
Q1-Q4 2024;Královéhradecký kraj;Sňatky;2270
Q1-Q4 2024;Královéhradecký kraj;Rozvody;1078
Q1-Q4 2024;Pardubický kraj;Počet obyvatel - střední stav;529503
Q1-Q4 2024;Pardubický kraj;Počet obyvatel - stav na konci období;530469
Q1-Q4 2024;Pardubický kraj;Živě narození;4201
Q1-Q4 2024;Pardubický kraj;Živě narození mimo manželství;2017
Q1-Q4 2024;Pardubický kraj;Zemřelí;5442
Q1-Q4 2024;Pardubický kraj;Zemřelí do 1 roku;9
Q1-Q4 2024;Pardubický kraj;Přirozený přírůstek/úbytek;-1241
Q1-Q4 2024;Pardubický kraj;Přistěhovalí;10479
Q1-Q4 2024;Pardubický kraj;Přistěhovalí z ciziny;4784
Q1-Q4 2024;Pardubický kraj;Vystěhovalí;9329
Q1-Q4 2024;Pardubický kraj;Vystěhovalí do ciziny;3464
Q1-Q4 2024;Pardubický kraj;Přírůstek/úbytek stěhováním;1150
Q1-Q4 2024;Pardubický kraj;Přírůstek/úbytek stěhováním s cizinou;1320
Q1-Q4 2024;Pardubický kraj;Celkový přírůstek/úbytek;-91
Q1-Q4 2024;Pardubický kraj;Sňatky;2107
Q1-Q4 2024;Pardubický kraj;Rozvody;1024
Q1-Q4 2024;Kraj Vysočina;Počet obyvatel - střední stav;516973
Q1-Q4 2024;Kraj Vysočina;Počet obyvatel - stav na konci období;517647
Q1-Q4 2024;Kraj Vysočina;Živě narození;4184
Q1-Q4 2024;Kraj Vysočina;Živě narození mimo manželství;1864
Q1-Q4 2024;Kraj Vysočina;Zemřelí;5408
Q1-Q4 2024;Kraj Vysočina;Zemřelí do 1 roku;8
Q1-Q4 2024;Kraj Vysočina;Přirozený přírůstek/úbytek;-1224
Q1-Q4 2024;Kraj Vysočina;Přistěhovalí;10043
Q1-Q4 2024;Kraj Vysočina;Přistěhovalí z ciziny;4821
Q1-Q4 2024;Kraj Vysočina;Vystěhovalí;9132
Q1-Q4 2024;Kraj Vysočina;Vystěhovalí do ciziny;3451
Q1-Q4 2024;Kraj Vysočina;Přírůstek/úbytek stěhováním;911
Q1-Q4 2024;Kraj Vysočina;Přírůstek/úbytek stěhováním s cizinou;1370
Q1-Q4 2024;Kraj Vysočina;Celkový přírůstek/úbytek;-313
Q1-Q4 2024;Kraj Vysočina;Sňatky;1985
Q1-Q4 2024;Kraj Vysočina;Rozvody;888
Q1-Q4 2024;Jihomoravský kraj;Počet obyvatel - střední stav;1225888
Q1-Q4 2024;Jihomoravský kraj;Počet obyvatel - stav na konci období;1229343
Q1-Q4 2024;Jihomoravský kraj;Živě narození;9868
Q1-Q4 2024;Jihomoravský kraj;Živě narození mimo manželství;4118
Q1-Q4 2024;Jihomoravský kraj;Zemřelí;12239
Q1-Q4 2024;Jihomoravský kraj;Zemřelí do 1 roku;20
Q1-Q4 2024;Jihomoravský kraj;Přirozený přírůstek/úbytek;-2371
Q1-Q4 2024;Jihomoravský kraj;Přistěhovalí;25138
Q1-Q4 2024;Jihomoravský kraj;Přistěhovalí z ciziny;15541
Q1-Q4 2024;Jihomoravský kraj;Vystěhovalí;20173
Q1-Q4 2024;Jihomoravský kraj;Vystěhovalí do ciziny;10126
Q1-Q4 2024;Jihomoravský kraj;Přírůstek/úbytek stěhováním;4965
Q1-Q4 2024;Jihomoravský kraj;Přírůstek/úbytek stěhováním s cizinou;5415
Q1-Q4 2024;Jihomoravský kraj;Celkový přírůstek/úbytek;2594
Q1-Q4 2024;Jihomoravský kraj;Sňatky;5044
Q1-Q4 2024;Jihomoravský kraj;Rozvody;2288
Q1-Q4 2024;Olomoucký kraj;Počet obyvatel - střední stav;631453
Q1-Q4 2024;Olomoucký kraj;Počet obyvatel - stav na konci období;631500
Q1-Q4 2024;Olomoucký kraj;Živě narození;4943
Q1-Q4 2024;Olomoucký kraj;Živě narození mimo manželství;2415
Q1-Q4 2024;Olomoucký kraj;Zemřelí;6967
Q1-Q4 2024;Olomoucký kraj;Zemřelí do 1 roku;17
Q1-Q4 2024;Olomoucký kraj;Přirozený přírůstek/úbytek;-2024
Q1-Q4 2024;Olomoucký kraj;Přistěhovalí;8923
Q1-Q4 2024;Olomoucký kraj;Přistěhovalí z ciziny;3753
Q1-Q4 2024;Olomoucký kraj;Vystěhovalí;8263
Q1-Q4 2024;Olomoucký kraj;Vystěhovalí do ciziny;2830
Q1-Q4 2024;Olomoucký kraj;Přírůstek/úbytek stěhováním;660
Q1-Q4 2024;Olomoucký kraj;Přírůstek/úbytek stěhováním s cizinou;923
Q1-Q4 2024;Olomoucký kraj;Celkový přírůstek/úbytek;-1364
Q1-Q4 2024;Olomoucký kraj;Sňatky;2419
Q1-Q4 2024;Olomoucký kraj;Rozvody;1236
Q1-Q4 2024;Zlínský kraj;Počet obyvatel - střední stav;579168
Q1-Q4 2024;Zlínský kraj;Počet obyvatel - stav na konci období;578998
Q1-Q4 2024;Zlínský kraj;Živě narození;4447
Q1-Q4 2024;Zlínský kraj;Živě narození mimo manželství;1825
Q1-Q4 2024;Zlínský kraj;Zemřelí;6306
Q1-Q4 2024;Zlínský kraj;Zemřelí do 1 roku;13
Q1-Q4 2024;Zlínský kraj;Přirozený přírůstek/úbytek;-1859
Q1-Q4 2024;Zlínský kraj;Přistěhovalí;7102
Q1-Q4 2024;Zlínský kraj;Přistěhovalí z ciziny;3078
Q1-Q4 2024;Zlínský kraj;Vystěhovalí;6989
Q1-Q4 2024;Zlínský kraj;Vystěhovalí do ciziny;2272
Q1-Q4 2024;Zlínský kraj;Přírůstek/úbytek stěhováním;113
Q1-Q4 2024;Zlínský kraj;Přírůstek/úbytek stěhováním s cizinou;806
Q1-Q4 2024;Zlínský kraj;Celkový přírůstek/úbytek;-1746
Q1-Q4 2024;Zlínský kraj;Sňatky;2229
Q1-Q4 2024;Zlínský kraj;Rozvody;1062
Q1-Q4 2024;Moravskoslezský kraj;Počet obyvatel - střední stav;1184662
Q1-Q4 2024;Moravskoslezský kraj;Počet obyvatel - stav na konci období;1182613
Q1-Q4 2024;Moravskoslezský kraj;Živě narození;8610
Q1-Q4 2024;Moravskoslezský kraj;Živě narození mimo manželství;4292
Q1-Q4 2024;Moravskoslezský kraj;Zemřelí;13603
Q1-Q4 2024;Moravskoslezský kraj;Zemřelí do 1 roku;31
Q1-Q4 2024;Moravskoslezský kraj;Přirozený přírůstek/úbytek;-4993
Q1-Q4 2024;Moravskoslezský kraj;Přistěhovalí;11033
Q1-Q4 2024;Moravskoslezský kraj;Přistěhovalí z ciziny;6264
Q1-Q4 2024;Moravskoslezský kraj;Vystěhovalí;12631
Q1-Q4 2024;Moravskoslezský kraj;Vystěhovalí do ciziny;5563
Q1-Q4 2024;Moravskoslezský kraj;Přírůstek/úbytek stěhováním;-1598
Q1-Q4 2024;Moravskoslezský kraj;Přírůstek/úbytek stěhováním s cizinou;701
Q1-Q4 2024;Moravskoslezský kraj;Celkový přírůstek/úbytek;-6591
Q1-Q4 2024;Moravskoslezský kraj;Sňatky;4916
Q1-Q4 2024;Moravskoslezský kraj;Rozvody;2228
