Ukazatel,Roky,Území,Druh nemovitosti,Počet obyvatel obce,value
Průměrná jednotková kupní cena nemovitosti,2023,Ústecký kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,53122.0
Průměrná jednotková kupní cena nemovitosti,2023,Ústecký kraj,Byty [Kč/m2],Celkem,33679.0
Průměrná jednotková kupní cena nemovitosti,2023,Ústecký kraj,Byty [Kč/m2],do 1 999 obyv.,30416.0
Průměrná jednotková kupní cena nemovitosti,2023,Ústecký kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,31469.0
Průměrná jednotková kupní cena nemovitosti,2023,Ústecký kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,32315.0
Průměrná jednotková kupní cena nemovitosti,2023,Ústecký kraj,Byty [Kč/m2],50 000 obyv. a více,39385.0
Průměrná jednotková kupní cena nemovitosti,2023,Liberecký kraj,Rodinné domy [Kč/m2],Celkem,46566.0
Průměrná jednotková kupní cena nemovitosti,2023,Liberecký kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,36239.0
Průměrná jednotková kupní cena nemovitosti,2023,Liberecký kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,43150.0
Průměrná jednotková kupní cena nemovitosti,2023,Liberecký kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,45451.0
Průměrná jednotková kupní cena nemovitosti,2023,Liberecký kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,68438.0
Průměrná jednotková kupní cena nemovitosti,2023,Liberecký kraj,Byty [Kč/m2],Celkem,45561.0
Průměrná jednotková kupní cena nemovitosti,2023,Liberecký kraj,Byty [Kč/m2],do 1 999 obyv.,35190.0
Průměrná jednotková kupní cena nemovitosti,2023,Liberecký kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,38014.0
Průměrná jednotková kupní cena nemovitosti,2023,Liberecký kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,42634.0
Průměrná jednotková kupní cena nemovitosti,2023,Liberecký kraj,Byty [Kč/m2],50 000 obyv. a více,57298.0
Průměrná jednotková kupní cena nemovitosti,2023,Královéhradecký kraj,Rodinné domy [Kč/m2],Celkem,46624.0
Průměrná jednotková kupní cena nemovitosti,2023,Královéhradecký kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,42213.0
Průměrná jednotková kupní cena nemovitosti,2023,Královéhradecký kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,40588.0
Průměrná jednotková kupní cena nemovitosti,2023,Královéhradecký kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,44463.0
Průměrná jednotková kupní cena nemovitosti,2023,Královéhradecký kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,73972.0
Průměrná jednotková kupní cena nemovitosti,2023,Královéhradecký kraj,Byty [Kč/m2],Celkem,46442.0
Průměrná jednotková kupní cena nemovitosti,2023,Královéhradecký kraj,Byty [Kč/m2],do 1 999 obyv.,36427.0
Průměrná jednotková kupní cena nemovitosti,2023,Královéhradecký kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,39663.0
Průměrná jednotková kupní cena nemovitosti,2023,Královéhradecký kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,45848.0
Průměrná jednotková kupní cena nemovitosti,2023,Královéhradecký kraj,Byty [Kč/m2],50 000 obyv. a více,63128.0
Průměrná jednotková kupní cena nemovitosti,2023,Pardubický kraj,Rodinné domy [Kč/m2],Celkem,40448.0
Průměrná jednotková kupní cena nemovitosti,2023,Pardubický kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,36284.0
Průměrná jednotková kupní cena nemovitosti,2023,Pardubický kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,40408.0
Průměrná jednotková kupní cena nemovitosti,2023,Pardubický kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,41763.0
Průměrná jednotková kupní cena nemovitosti,2023,Pardubický kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,78809.0
Průměrná jednotková kupní cena nemovitosti,2023,Pardubický kraj,Byty [Kč/m2],Celkem,49255.0
Průměrná jednotková kupní cena nemovitosti,2023,Pardubický kraj,Byty [Kč/m2],do 1 999 obyv.,34530.0
Průměrná jednotková kupní cena nemovitosti,2023,Pardubický kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,42155.0
Průměrná jednotková kupní cena nemovitosti,2023,Pardubický kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,43025.0
Průměrná jednotková kupní cena nemovitosti,2023,Pardubický kraj,Byty [Kč/m2],50 000 obyv. a více,60918.0
Průměrná jednotková kupní cena nemovitosti,2023,Kraj Vysočina,Rodinné domy [Kč/m2],Celkem,40933.0
Průměrná jednotková kupní cena nemovitosti,2023,Kraj Vysočina,Rodinné domy [Kč/m2],do 1 999 obyv.,38411.0
Průměrná jednotková kupní cena nemovitosti,2023,Kraj Vysočina,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,39632.0
Průměrná jednotková kupní cena nemovitosti,2023,Kraj Vysočina,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,44185.0
Průměrná jednotková kupní cena nemovitosti,2023,Kraj Vysočina,Rodinné domy [Kč/m2],50 000 obyv. a více,59232.0
Průměrná jednotková kupní cena nemovitosti,2023,Kraj Vysočina,Byty [Kč/m2],Celkem,46665.0
Průměrná jednotková kupní cena nemovitosti,2023,Kraj Vysočina,Byty [Kč/m2],do 1 999 obyv.,34693.0
Průměrná jednotková kupní cena nemovitosti,2023,Kraj Vysočina,Byty [Kč/m2],2 000 - 9 999 obyv.,42979.0
Průměrná jednotková kupní cena nemovitosti,2023,Kraj Vysočina,Byty [Kč/m2],10 000 - 49 999 obyv.,47041.0
Průměrná jednotková kupní cena nemovitosti,2023,Kraj Vysočina,Byty [Kč/m2],50 000 obyv. a více,53916.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihomoravský kraj,Rodinné domy [Kč/m2],Celkem,49904.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihomoravský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,41926.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihomoravský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,44329.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihomoravský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,47358.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihomoravský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,78210.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihomoravský kraj,Byty [Kč/m2],Celkem,65525.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihomoravský kraj,Byty [Kč/m2],do 1 999 obyv.,38661.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihomoravský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,50762.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihomoravský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,48576.0
Průměrná jednotková kupní cena nemovitosti,2023,Jihomoravský kraj,Byty [Kč/m2],50 000 obyv. a více,77827.0
Průměrná jednotková kupní cena nemovitosti,2023,Olomoucký kraj,Rodinné domy [Kč/m2],Celkem,38418.0
Průměrná jednotková kupní cena nemovitosti,2023,Olomoucký kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,35271.0
Průměrná jednotková kupní cena nemovitosti,2023,Olomoucký kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,38884.0
Průměrná jednotková kupní cena nemovitosti,2023,Olomoucký kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,41379.0
Průměrná jednotková kupní cena nemovitosti,2023,Olomoucký kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,78184.0
Průměrná jednotková kupní cena nemovitosti,2023,Olomoucký kraj,Byty [Kč/m2],Celkem,45595.0
Průměrná jednotková kupní cena nemovitosti,2023,Olomoucký kraj,Byty [Kč/m2],do 1 999 obyv.,32694.0
Průměrná jednotková kupní cena nemovitosti,2023,Olomoucký kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,39684.0
Průměrná jednotková kupní cena nemovitosti,2023,Olomoucký kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,40950.0
Průměrná jednotková kupní cena nemovitosti,2023,Olomoucký kraj,Byty [Kč/m2],50 000 obyv. a více,60548.0
Průměrná jednotková kupní cena nemovitosti,2023,Zlínský kraj,Rodinné domy [Kč/m2],Celkem,37219.0
Průměrná jednotková kupní cena nemovitosti,2023,Zlínský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,33989.0
Průměrná jednotková kupní cena nemovitosti,2023,Zlínský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,34811.0
Průměrná jednotková kupní cena nemovitosti,2023,Zlínský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,39195.0
Průměrná jednotková kupní cena nemovitosti,2023,Zlínský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,59869.0
Průměrná jednotková kupní cena nemovitosti,2023,Zlínský kraj,Byty [Kč/m2],Celkem,45163.0
Průměrná jednotková kupní cena nemovitosti,2023,Zlínský kraj,Byty [Kč/m2],do 1 999 obyv.,29643.0
Průměrná jednotková kupní cena nemovitosti,2023,Zlínský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,41279.0
Průměrná jednotková kupní cena nemovitosti,2023,Zlínský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,46663.0
Průměrná jednotková kupní cena nemovitosti,2023,Zlínský kraj,Byty [Kč/m2],50 000 obyv. a více,54570.0
Průměrná jednotková kupní cena nemovitosti,2023,Moravskoslezský kraj,Rodinné domy [Kč/m2],Celkem,41462.0
Průměrná jednotková kupní cena nemovitosti,2023,Moravskoslezský kraj,Rodinné domy [Kč/m2],do 1 999 obyv.,35082.0
Průměrná jednotková kupní cena nemovitosti,2023,Moravskoslezský kraj,Rodinné domy [Kč/m2],2 000 - 9 999 obyv.,40828.0
Průměrná jednotková kupní cena nemovitosti,2023,Moravskoslezský kraj,Rodinné domy [Kč/m2],10 000 - 49 999 obyv.,39984.0
Průměrná jednotková kupní cena nemovitosti,2023,Moravskoslezský kraj,Rodinné domy [Kč/m2],50 000 obyv. a více,56644.0
Průměrná jednotková kupní cena nemovitosti,2023,Moravskoslezský kraj,Byty [Kč/m2],Celkem,38362.0
Průměrná jednotková kupní cena nemovitosti,2023,Moravskoslezský kraj,Byty [Kč/m2],do 1 999 obyv.,29383.0
Průměrná jednotková kupní cena nemovitosti,2023,Moravskoslezský kraj,Byty [Kč/m2],2 000 - 9 999 obyv.,35749.0
Průměrná jednotková kupní cena nemovitosti,2023,Moravskoslezský kraj,Byty [Kč/m2],10 000 - 49 999 obyv.,32372.0
Průměrná jednotková kupní cena nemovitosti,2023,Moravskoslezský kraj,Byty [Kč/m2],50 000 obyv. a více,43128.0
