Území;Ukazatel;Týdny;Věkové skupiny (roky);value
Česko;Zemřelí - absolutní údaje; 07. týden 2025;celkem;2471
Česko;Zemřelí - absolutní údaje; 07. týden 2025;0-14;9
Česko;Zemřelí - absolutní údaje; 07. týden 2025;15-44;61
Česko;Zemřelí - absolutní údaje; 07. týden 2025;45-64;310
Česko;Zemřelí - absolutní údaje; 07. týden 2025;65-74;499
Česko;Zemřelí - absolutní údaje; 07. týden 2025;75-84;838
Česko;Zemřelí - absolutní údaje; 07. týden 2025;85 a více;754
Česko;Zemřelí - absolutní údaje; 06. týden 2025;celkem;2417
Česko;Zemřelí - absolutní údaje; 06. týden 2025;0-14;8
Česko;Zemřelí - absolutní údaje; 06. týden 2025;15-44;43
Česko;Zemřelí - absolutní údaje; 06. týden 2025;45-64;298
Česko;Zemřelí - absolutní údaje; 06. týden 2025;65-74;508
Česko;Zemřelí - absolutní údaje; 06. týden 2025;75-84;875
Česko;Zemřelí - absolutní údaje; 06. týden 2025;85 a více;685
Česko;Zemřelí - absolutní údaje; 05. týden 2025;celkem;2539
Česko;Zemřelí - absolutní údaje; 05. týden 2025;0-14;6
Česko;Zemřelí - absolutní údaje; 05. týden 2025;15-44;54
Česko;Zemřelí - absolutní údaje; 05. týden 2025;45-64;304
Česko;Zemřelí - absolutní údaje; 05. týden 2025;65-74;523
Česko;Zemřelí - absolutní údaje; 05. týden 2025;75-84;880
Česko;Zemřelí - absolutní údaje; 05. týden 2025;85 a více;772
Česko;Zemřelí - absolutní údaje; 04. týden 2025;celkem;2437
Česko;Zemřelí - absolutní údaje; 04. týden 2025;0-14;7
Česko;Zemřelí - absolutní údaje; 04. týden 2025;15-44;47
Česko;Zemřelí - absolutní údaje; 04. týden 2025;45-64;305
Česko;Zemřelí - absolutní údaje; 04. týden 2025;65-74;471
Česko;Zemřelí - absolutní údaje; 04. týden 2025;75-84;850
Česko;Zemřelí - absolutní údaje; 04. týden 2025;85 a více;757
Česko;Zemřelí - absolutní údaje; 03. týden 2025;celkem;2340
Česko;Zemřelí - absolutní údaje; 03. týden 2025;0-14;12
Česko;Zemřelí - absolutní údaje; 03. týden 2025;15-44;59
Česko;Zemřelí - absolutní údaje; 03. týden 2025;45-64;280
Česko;Zemřelí - absolutní údaje; 03. týden 2025;65-74;481
Česko;Zemřelí - absolutní údaje; 03. týden 2025;75-84;800
Česko;Zemřelí - absolutní údaje; 03. týden 2025;85 a více;708
Česko;Zemřelí - absolutní údaje; 02. týden 2025;celkem;2548
Česko;Zemřelí - absolutní údaje; 02. týden 2025;0-14;7
Česko;Zemřelí - absolutní údaje; 02. týden 2025;15-44;64
Česko;Zemřelí - absolutní údaje; 02. týden 2025;45-64;314
Česko;Zemřelí - absolutní údaje; 02. týden 2025;65-74;544
Česko;Zemřelí - absolutní údaje; 02. týden 2025;75-84;864
Česko;Zemřelí - absolutní údaje; 02. týden 2025;85 a více;755
Česko;Zemřelí - absolutní údaje; 01. týden 2025;celkem;2464
Česko;Zemřelí - absolutní údaje; 01. týden 2025;0-14;7
Česko;Zemřelí - absolutní údaje; 01. týden 2025;15-44;65
Česko;Zemřelí - absolutní údaje; 01. týden 2025;45-64;282
Česko;Zemřelí - absolutní údaje; 01. týden 2025;65-74;507
Česko;Zemřelí - absolutní údaje; 01. týden 2025;75-84;832
Česko;Zemřelí - absolutní údaje; 01. týden 2025;85 a více;771
Česko;Zemřelí - absolutní údaje; 52. týden 2024;celkem;2324
Česko;Zemřelí - absolutní údaje; 52. týden 2024;0-14;10
Česko;Zemřelí - absolutní údaje; 52. týden 2024;15-44;46
Česko;Zemřelí - absolutní údaje; 52. týden 2024;45-64;284
Česko;Zemřelí - absolutní údaje; 52. týden 2024;65-74;451
Česko;Zemřelí - absolutní údaje; 52. týden 2024;75-84;813
Česko;Zemřelí - absolutní údaje; 52. týden 2024;85 a více;720
Česko;Zemřelí - absolutní údaje; 51. týden 2024;celkem;2312
Česko;Zemřelí - absolutní údaje; 51. týden 2024;0-14;9
Česko;Zemřelí - absolutní údaje; 51. týden 2024;15-44;61
Česko;Zemřelí - absolutní údaje; 51. týden 2024;45-64;308
Česko;Zemřelí - absolutní údaje; 51. týden 2024;65-74;479
Česko;Zemřelí - absolutní údaje; 51. týden 2024;75-84;789
Česko;Zemřelí - absolutní údaje; 51. týden 2024;85 a více;666
Česko;Zemřelí - absolutní údaje; 50. týden 2024;celkem;2301
Česko;Zemřelí - absolutní údaje; 50. týden 2024;0-14;11
Česko;Zemřelí - absolutní údaje; 50. týden 2024;15-44;65
Česko;Zemřelí - absolutní údaje; 50. týden 2024;45-64;301
Česko;Zemřelí - absolutní údaje; 50. týden 2024;65-74;483
Česko;Zemřelí - absolutní údaje; 50. týden 2024;75-84;768
Česko;Zemřelí - absolutní údaje; 50. týden 2024;85 a více;673
Česko;Zemřelí - absolutní údaje; 49. týden 2024;celkem;2215
Česko;Zemřelí - absolutní údaje; 49. týden 2024;0-14;7
Česko;Zemřelí - absolutní údaje; 49. týden 2024;15-44;56
Česko;Zemřelí - absolutní údaje; 49. týden 2024;45-64;278
Česko;Zemřelí - absolutní údaje; 49. týden 2024;65-74;484
Česko;Zemřelí - absolutní údaje; 49. týden 2024;75-84;731
Česko;Zemřelí - absolutní údaje; 49. týden 2024;85 a více;659
Česko;Zemřelí - absolutní údaje; 48. týden 2024;celkem;2224
Česko;Zemřelí - absolutní údaje; 48. týden 2024;0-14;13
Česko;Zemřelí - absolutní údaje; 48. týden 2024;15-44;51
Česko;Zemřelí - absolutní údaje; 48. týden 2024;45-64;264
Česko;Zemřelí - absolutní údaje; 48. týden 2024;65-74;438
Česko;Zemřelí - absolutní údaje; 48. týden 2024;75-84;781
Česko;Zemřelí - absolutní údaje; 48. týden 2024;85 a více;677
Česko;Zemřelí - absolutní údaje; 47. týden 2024;celkem;2125
Česko;Zemřelí - absolutní údaje; 47. týden 2024;0-14;8
Česko;Zemřelí - absolutní údaje; 47. týden 2024;15-44;52
Česko;Zemřelí - absolutní údaje; 47. týden 2024;45-64;288
Česko;Zemřelí - absolutní údaje; 47. týden 2024;65-74;439
Česko;Zemřelí - absolutní údaje; 47. týden 2024;75-84;735
Česko;Zemřelí - absolutní údaje; 47. týden 2024;85 a více;603
Česko;Zemřelí - absolutní údaje; 46. týden 2024;celkem;2124
Česko;Zemřelí - absolutní údaje; 46. týden 2024;0-14;5
Česko;Zemřelí - absolutní údaje; 46. týden 2024;15-44;59
Česko;Zemřelí - absolutní údaje; 46. týden 2024;45-64;301
Česko;Zemřelí - absolutní údaje; 46. týden 2024;65-74;419
Česko;Zemřelí - absolutní údaje; 46. týden 2024;75-84;731
Česko;Zemřelí - absolutní údaje; 46. týden 2024;85 a více;609
Česko;Zemřelí - absolutní údaje; 45. týden 2024;celkem;2108
Česko;Zemřelí - absolutní údaje; 45. týden 2024;0-14;6
Česko;Zemřelí - absolutní údaje; 45. týden 2024;15-44;58
Česko;Zemřelí - absolutní údaje; 45. týden 2024;45-64;255
Česko;Zemřelí - absolutní údaje; 45. týden 2024;65-74;441
Česko;Zemřelí - absolutní údaje; 45. týden 2024;75-84;696
Česko;Zemřelí - absolutní údaje; 45. týden 2024;85 a více;652
Česko;Zemřelí - absolutní údaje; 44. týden 2024;celkem;2216
Česko;Zemřelí - absolutní údaje; 44. týden 2024;0-14;6
Česko;Zemřelí - absolutní údaje; 44. týden 2024;15-44;64
Česko;Zemřelí - absolutní údaje; 44. týden 2024;45-64;263
Česko;Zemřelí - absolutní údaje; 44. týden 2024;65-74;470
Česko;Zemřelí - absolutní údaje; 44. týden 2024;75-84;741
Česko;Zemřelí - absolutní údaje; 44. týden 2024;85 a více;672
Česko;Zemřelí - absolutní údaje; 43. týden 2024;celkem;2163
Česko;Zemřelí - absolutní údaje; 43. týden 2024;0-14;9
Česko;Zemřelí - absolutní údaje; 43. týden 2024;15-44;47
Česko;Zemřelí - absolutní údaje; 43. týden 2024;45-64;262
Česko;Zemřelí - absolutní údaje; 43. týden 2024;65-74;460
Česko;Zemřelí - absolutní údaje; 43. týden 2024;75-84;742
Česko;Zemřelí - absolutní údaje; 43. týden 2024;85 a více;643
Česko;Zemřelí - absolutní údaje; 42. týden 2024;celkem;2253
Česko;Zemřelí - absolutní údaje; 42. týden 2024;0-14;5
Česko;Zemřelí - absolutní údaje; 42. týden 2024;15-44;49
Česko;Zemřelí - absolutní údaje; 42. týden 2024;45-64;296
Česko;Zemřelí - absolutní údaje; 42. týden 2024;65-74;458
Česko;Zemřelí - absolutní údaje; 42. týden 2024;75-84;767
Česko;Zemřelí - absolutní údaje; 42. týden 2024;85 a více;678
Česko;Zemřelí - absolutní údaje; 41. týden 2024;celkem;2317
Česko;Zemřelí - absolutní údaje; 41. týden 2024;0-14;4
Česko;Zemřelí - absolutní údaje; 41. týden 2024;15-44;56
Česko;Zemřelí - absolutní údaje; 41. týden 2024;45-64;252
Česko;Zemřelí - absolutní údaje; 41. týden 2024;65-74;494
Česko;Zemřelí - absolutní údaje; 41. týden 2024;75-84;809
Česko;Zemřelí - absolutní údaje; 41. týden 2024;85 a více;702
Česko;Zemřelí - absolutní údaje; 40. týden 2024;celkem;2224
Česko;Zemřelí - absolutní údaje; 40. týden 2024;0-14;4
Česko;Zemřelí - absolutní údaje; 40. týden 2024;15-44;62
Česko;Zemřelí - absolutní údaje; 40. týden 2024;45-64;298
Česko;Zemřelí - absolutní údaje; 40. týden 2024;65-74;449
Česko;Zemřelí - absolutní údaje; 40. týden 2024;75-84;763
Česko;Zemřelí - absolutní údaje; 40. týden 2024;85 a více;648
Česko;Zemřelí - absolutní údaje; 39. týden 2024;celkem;2164
Česko;Zemřelí - absolutní údaje; 39. týden 2024;0-14;7
Česko;Zemřelí - absolutní údaje; 39. týden 2024;15-44;61
Česko;Zemřelí - absolutní údaje; 39. týden 2024;45-64;278
Česko;Zemřelí - absolutní údaje; 39. týden 2024;65-74;459
Česko;Zemřelí - absolutní údaje; 39. týden 2024;75-84;717
Česko;Zemřelí - absolutní údaje; 39. týden 2024;85 a více;642
Česko;Zemřelí - absolutní údaje; 38. týden 2024;celkem;2124
Česko;Zemřelí - absolutní údaje; 38. týden 2024;0-14;7
Česko;Zemřelí - absolutní údaje; 38. týden 2024;15-44;64
Česko;Zemřelí - absolutní údaje; 38. týden 2024;45-64;280
Česko;Zemřelí - absolutní údaje; 38. týden 2024;65-74;432
Česko;Zemřelí - absolutní údaje; 38. týden 2024;75-84;724
Česko;Zemřelí - absolutní údaje; 38. týden 2024;85 a více;617
Česko;Zemřelí - absolutní údaje; 37. týden 2024;celkem;2050
Česko;Zemřelí - absolutní údaje; 37. týden 2024;0-14;3
Česko;Zemřelí - absolutní údaje; 37. týden 2024;15-44;62
Česko;Zemřelí - absolutní údaje; 37. týden 2024;45-64;266
Česko;Zemřelí - absolutní údaje; 37. týden 2024;65-74;445
Česko;Zemřelí - absolutní údaje; 37. týden 2024;75-84;691
Česko;Zemřelí - absolutní údaje; 37. týden 2024;85 a více;583
Česko;Zemřelí - absolutní údaje; 36. týden 2024;celkem;2124
Česko;Zemřelí - absolutní údaje; 36. týden 2024;0-14;6
Česko;Zemřelí - absolutní údaje; 36. týden 2024;15-44;51
Česko;Zemřelí - absolutní údaje; 36. týden 2024;45-64;236
Česko;Zemřelí - absolutní údaje; 36. týden 2024;65-74;458
Česko;Zemřelí - absolutní údaje; 36. týden 2024;75-84;715
Česko;Zemřelí - absolutní údaje; 36. týden 2024;85 a více;658
Česko;Zemřelí - absolutní údaje; 35. týden 2024;celkem;2086
Česko;Zemřelí - absolutní údaje; 35. týden 2024;0-14;4
Česko;Zemřelí - absolutní údaje; 35. týden 2024;15-44;56
Česko;Zemřelí - absolutní údaje; 35. týden 2024;45-64;260
Česko;Zemřelí - absolutní údaje; 35. týden 2024;65-74;431
Česko;Zemřelí - absolutní údaje; 35. týden 2024;75-84;747
Česko;Zemřelí - absolutní údaje; 35. týden 2024;85 a více;588
Česko;Zemřelí - absolutní údaje; 34. týden 2024;celkem;1965
Česko;Zemřelí - absolutní údaje; 34. týden 2024;0-14;3
Česko;Zemřelí - absolutní údaje; 34. týden 2024;15-44;54
Česko;Zemřelí - absolutní údaje; 34. týden 2024;45-64;257
Česko;Zemřelí - absolutní údaje; 34. týden 2024;65-74;412
Česko;Zemřelí - absolutní údaje; 34. týden 2024;75-84;676
Česko;Zemřelí - absolutní údaje; 34. týden 2024;85 a více;563
Česko;Zemřelí - absolutní údaje; 33. týden 2024;celkem;2114
Česko;Zemřelí - absolutní údaje; 33. týden 2024;0-14;5
Česko;Zemřelí - absolutní údaje; 33. týden 2024;15-44;76
Česko;Zemřelí - absolutní údaje; 33. týden 2024;45-64;253
Česko;Zemřelí - absolutní údaje; 33. týden 2024;65-74;430
Česko;Zemřelí - absolutní údaje; 33. týden 2024;75-84;719
Česko;Zemřelí - absolutní údaje; 33. týden 2024;85 a více;631
Česko;Zemřelí - absolutní údaje; 32. týden 2024;celkem;2000
Česko;Zemřelí - absolutní údaje; 32. týden 2024;0-14;7
Česko;Zemřelí - absolutní údaje; 32. týden 2024;15-44;65
Česko;Zemřelí - absolutní údaje; 32. týden 2024;45-64;272
Česko;Zemřelí - absolutní údaje; 32. týden 2024;65-74;417
Česko;Zemřelí - absolutní údaje; 32. týden 2024;75-84;663
Česko;Zemřelí - absolutní údaje; 32. týden 2024;85 a více;576
Česko;Zemřelí - absolutní údaje; 31. týden 2024;celkem;2095
Česko;Zemřelí - absolutní údaje; 31. týden 2024;0-14;8
Česko;Zemřelí - absolutní údaje; 31. týden 2024;15-44;70
Česko;Zemřelí - absolutní údaje; 31. týden 2024;45-64;275
Česko;Zemřelí - absolutní údaje; 31. týden 2024;65-74;448
Česko;Zemřelí - absolutní údaje; 31. týden 2024;75-84;704
Česko;Zemřelí - absolutní údaje; 31. týden 2024;85 a více;590
Česko;Zemřelí - absolutní údaje; 30. týden 2024;celkem;2083
Česko;Zemřelí - absolutní údaje; 30. týden 2024;0-14;7
Česko;Zemřelí - absolutní údaje; 30. týden 2024;15-44;49
Česko;Zemřelí - absolutní údaje; 30. týden 2024;45-64;265
Česko;Zemřelí - absolutní údaje; 30. týden 2024;65-74;449
Česko;Zemřelí - absolutní údaje; 30. týden 2024;75-84;720
Česko;Zemřelí - absolutní údaje; 30. týden 2024;85 a více;593
Česko;Zemřelí - absolutní údaje; 29. týden 2024;celkem;1973
Česko;Zemřelí - absolutní údaje; 29. týden 2024;0-14;9
Česko;Zemřelí - absolutní údaje; 29. týden 2024;15-44;54
Česko;Zemřelí - absolutní údaje; 29. týden 2024;45-64;235
Česko;Zemřelí - absolutní údaje; 29. týden 2024;65-74;439
Česko;Zemřelí - absolutní údaje; 29. týden 2024;75-84;678
Česko;Zemřelí - absolutní údaje; 29. týden 2024;85 a více;558
Česko;Zemřelí - absolutní údaje; 28. týden 2024;celkem;2113
Česko;Zemřelí - absolutní údaje; 28. týden 2024;0-14;7
Česko;Zemřelí - absolutní údaje; 28. týden 2024;15-44;67
Česko;Zemřelí - absolutní údaje; 28. týden 2024;45-64;261
Česko;Zemřelí - absolutní údaje; 28. týden 2024;65-74;458
Česko;Zemřelí - absolutní údaje; 28. týden 2024;75-84;697
Česko;Zemřelí - absolutní údaje; 28. týden 2024;85 a více;623
Česko;Zemřelí - absolutní údaje; 27. týden 2024;celkem;1919
Česko;Zemřelí - absolutní údaje; 27. týden 2024;0-14;8
Česko;Zemřelí - absolutní údaje; 27. týden 2024;15-44;72
Česko;Zemřelí - absolutní údaje; 27. týden 2024;45-64;254
Česko;Zemřelí - absolutní údaje; 27. týden 2024;65-74;427
Česko;Zemřelí - absolutní údaje; 27. týden 2024;75-84;624
Česko;Zemřelí - absolutní údaje; 27. týden 2024;85 a více;534
Česko;Zemřelí - absolutní údaje; 26. týden 2024;celkem;2074
Česko;Zemřelí - absolutní údaje; 26. týden 2024;0-14;6
Česko;Zemřelí - absolutní údaje; 26. týden 2024;15-44;58
Česko;Zemřelí - absolutní údaje; 26. týden 2024;45-64;273
Česko;Zemřelí - absolutní údaje; 26. týden 2024;65-74;431
Česko;Zemřelí - absolutní údaje; 26. týden 2024;75-84;728
Česko;Zemřelí - absolutní údaje; 26. týden 2024;85 a více;578
Česko;Zemřelí - absolutní údaje; 25. týden 2024;celkem;2144
Česko;Zemřelí - absolutní údaje; 25. týden 2024;0-14;11
Česko;Zemřelí - absolutní údaje; 25. týden 2024;15-44;75
Česko;Zemřelí - absolutní údaje; 25. týden 2024;45-64;291
Česko;Zemřelí - absolutní údaje; 25. týden 2024;65-74;436
Česko;Zemřelí - absolutní údaje; 25. týden 2024;75-84;715
Česko;Zemřelí - absolutní údaje; 25. týden 2024;85 a více;616
Česko;Zemřelí - absolutní údaje; 24. týden 2024;celkem;1923
Česko;Zemřelí - absolutní údaje; 24. týden 2024;0-14;7
Česko;Zemřelí - absolutní údaje; 24. týden 2024;15-44;61
Česko;Zemřelí - absolutní údaje; 24. týden 2024;45-64;266
Česko;Zemřelí - absolutní údaje; 24. týden 2024;65-74;400
Česko;Zemřelí - absolutní údaje; 24. týden 2024;75-84;643
Česko;Zemřelí - absolutní údaje; 24. týden 2024;85 a více;546
Česko;Zemřelí - absolutní údaje; 23. týden 2024;celkem;1979
Česko;Zemřelí - absolutní údaje; 23. týden 2024;0-14;7
Česko;Zemřelí - absolutní údaje; 23. týden 2024;15-44;61
Česko;Zemřelí - absolutní údaje; 23. týden 2024;45-64;247
Česko;Zemřelí - absolutní údaje; 23. týden 2024;65-74;436
Česko;Zemřelí - absolutní údaje; 23. týden 2024;75-84;684
Česko;Zemřelí - absolutní údaje; 23. týden 2024;85 a více;544
Česko;Zemřelí - absolutní údaje; 22. týden 2024;celkem;1955
Česko;Zemřelí - absolutní údaje; 22. týden 2024;0-14;4
Česko;Zemřelí - absolutní údaje; 22. týden 2024;15-44;53
Česko;Zemřelí - absolutní údaje; 22. týden 2024;45-64;261
Česko;Zemřelí - absolutní údaje; 22. týden 2024;65-74;411
Česko;Zemřelí - absolutní údaje; 22. týden 2024;75-84;652
Česko;Zemřelí - absolutní údaje; 22. týden 2024;85 a více;574
Česko;Zemřelí - absolutní údaje; 21. týden 2024;celkem;2000
Česko;Zemřelí - absolutní údaje; 21. týden 2024;0-14;2
Česko;Zemřelí - absolutní údaje; 21. týden 2024;15-44;63
Česko;Zemřelí - absolutní údaje; 21. týden 2024;45-64;271
Česko;Zemřelí - absolutní údaje; 21. týden 2024;65-74;445
Česko;Zemřelí - absolutní údaje; 21. týden 2024;75-84;661
Česko;Zemřelí - absolutní údaje; 21. týden 2024;85 a více;558
Česko;Zemřelí - absolutní údaje; 20. týden 2024;celkem;1971
Česko;Zemřelí - absolutní údaje; 20. týden 2024;0-14;7
Česko;Zemřelí - absolutní údaje; 20. týden 2024;15-44;59
Česko;Zemřelí - absolutní údaje; 20. týden 2024;45-64;248
Česko;Zemřelí - absolutní údaje; 20. týden 2024;65-74;409
Česko;Zemřelí - absolutní údaje; 20. týden 2024;75-84;671
Česko;Zemřelí - absolutní údaje; 20. týden 2024;85 a více;577
Česko;Zemřelí - absolutní údaje; 19. týden 2024;celkem;1920
Česko;Zemřelí - absolutní údaje; 19. týden 2024;0-14;5
Česko;Zemřelí - absolutní údaje; 19. týden 2024;15-44;39
Česko;Zemřelí - absolutní údaje; 19. týden 2024;45-64;264
Česko;Zemřelí - absolutní údaje; 19. týden 2024;65-74;435
Česko;Zemřelí - absolutní údaje; 19. týden 2024;75-84;664
Česko;Zemřelí - absolutní údaje; 19. týden 2024;85 a více;513
Česko;Zemřelí - absolutní údaje; 18. týden 2024;celkem;2031
Česko;Zemřelí - absolutní údaje; 18. týden 2024;0-14;10
Česko;Zemřelí - absolutní údaje; 18. týden 2024;15-44;51
Česko;Zemřelí - absolutní údaje; 18. týden 2024;45-64;265
Česko;Zemřelí - absolutní údaje; 18. týden 2024;65-74;438
Česko;Zemřelí - absolutní údaje; 18. týden 2024;75-84;696
Česko;Zemřelí - absolutní údaje; 18. týden 2024;85 a více;571
Česko;Zemřelí - absolutní údaje; 17. týden 2024;celkem;1932
Česko;Zemřelí - absolutní údaje; 17. týden 2024;0-14;5
Česko;Zemřelí - absolutní údaje; 17. týden 2024;15-44;55
Česko;Zemřelí - absolutní údaje; 17. týden 2024;45-64;223
Česko;Zemřelí - absolutní údaje; 17. týden 2024;65-74;452
Česko;Zemřelí - absolutní údaje; 17. týden 2024;75-84;630
Česko;Zemřelí - absolutní údaje; 17. týden 2024;85 a více;567
Česko;Zemřelí - absolutní údaje; 16. týden 2024;celkem;2018
Česko;Zemřelí - absolutní údaje; 16. týden 2024;0-14;7
Česko;Zemřelí - absolutní údaje; 16. týden 2024;15-44;71
Česko;Zemřelí - absolutní údaje; 16. týden 2024;45-64;283
Česko;Zemřelí - absolutní údaje; 16. týden 2024;65-74;399
Česko;Zemřelí - absolutní údaje; 16. týden 2024;75-84;681
Česko;Zemřelí - absolutní údaje; 16. týden 2024;85 a více;577
Česko;Zemřelí - absolutní údaje; 15. týden 2024;celkem;2019
Česko;Zemřelí - absolutní údaje; 15. týden 2024;0-14;9
Česko;Zemřelí - absolutní údaje; 15. týden 2024;15-44;51
Česko;Zemřelí - absolutní údaje; 15. týden 2024;45-64;227
Česko;Zemřelí - absolutní údaje; 15. týden 2024;65-74;408
Česko;Zemřelí - absolutní údaje; 15. týden 2024;75-84;715
Česko;Zemřelí - absolutní údaje; 15. týden 2024;85 a více;609
Česko;Zemřelí - absolutní údaje; 14. týden 2024;celkem;2115
Česko;Zemřelí - absolutní údaje; 14. týden 2024;0-14;5
Česko;Zemřelí - absolutní údaje; 14. týden 2024;15-44;50
Česko;Zemřelí - absolutní údaje; 14. týden 2024;45-64;281
Česko;Zemřelí - absolutní údaje; 14. týden 2024;65-74;441
Česko;Zemřelí - absolutní údaje; 14. týden 2024;75-84;728
Česko;Zemřelí - absolutní údaje; 14. týden 2024;85 a více;610
Česko;Zemřelí - absolutní údaje; 13. týden 2024;celkem;2099
Česko;Zemřelí - absolutní údaje; 13. týden 2024;0-14;9
Česko;Zemřelí - absolutní údaje; 13. týden 2024;15-44;70
Česko;Zemřelí - absolutní údaje; 13. týden 2024;45-64;275
Česko;Zemřelí - absolutní údaje; 13. týden 2024;65-74;405
Česko;Zemřelí - absolutní údaje; 13. týden 2024;75-84;751
Česko;Zemřelí - absolutní údaje; 13. týden 2024;85 a více;589
Česko;Zemřelí - absolutní údaje; 12. týden 2024;celkem;2034
Česko;Zemřelí - absolutní údaje; 12. týden 2024;0-14;4
Česko;Zemřelí - absolutní údaje; 12. týden 2024;15-44;54
Česko;Zemřelí - absolutní údaje; 12. týden 2024;45-64;293
Česko;Zemřelí - absolutní údaje; 12. týden 2024;65-74;414
Česko;Zemřelí - absolutní údaje; 12. týden 2024;75-84;687
Česko;Zemřelí - absolutní údaje; 12. týden 2024;85 a více;582
Česko;Zemřelí - absolutní údaje; 11. týden 2024;celkem;2093
Česko;Zemřelí - absolutní údaje; 11. týden 2024;0-14;6
Česko;Zemřelí - absolutní údaje; 11. týden 2024;15-44;45
Česko;Zemřelí - absolutní údaje; 11. týden 2024;45-64;270
Česko;Zemřelí - absolutní údaje; 11. týden 2024;65-74;458
Česko;Zemřelí - absolutní údaje; 11. týden 2024;75-84;737
Česko;Zemřelí - absolutní údaje; 11. týden 2024;85 a více;577
Česko;Zemřelí - absolutní údaje; 10. týden 2024;celkem;2104
Česko;Zemřelí - absolutní údaje; 10. týden 2024;0-14;5
Česko;Zemřelí - absolutní údaje; 10. týden 2024;15-44;43
Česko;Zemřelí - absolutní údaje; 10. týden 2024;45-64;300
Česko;Zemřelí - absolutní údaje; 10. týden 2024;65-74;475
Česko;Zemřelí - absolutní údaje; 10. týden 2024;75-84;685
Česko;Zemřelí - absolutní údaje; 10. týden 2024;85 a více;596
Česko;Zemřelí - absolutní údaje; 09. týden 2024;celkem;2137
Česko;Zemřelí - absolutní údaje; 09. týden 2024;0-14;6
Česko;Zemřelí - absolutní údaje; 09. týden 2024;15-44;57
Česko;Zemřelí - absolutní údaje; 09. týden 2024;45-64;244
Česko;Zemřelí - absolutní údaje; 09. týden 2024;65-74;486
Česko;Zemřelí - absolutní údaje; 09. týden 2024;75-84;709
Česko;Zemřelí - absolutní údaje; 09. týden 2024;85 a více;635
