Ukazatel;Typ indexu;Území;Klasifikace CZ-CPA;Roky;value
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Pozemní a potrubní doprava;2023;117.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Pozemní a potrubní doprava;2024;118.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vodní doprava;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vodní doprava;2016;99.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vodní doprava;2017;99.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vodní doprava;2018;91.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vodní doprava;2019;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vodní doprava;2020;105.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vodní doprava;2021;108.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vodní doprava;2022;123.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vodní doprava;2023;135.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vodní doprava;2024;137.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Skladování a podpůrné služby v dopravě;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Skladování a podpůrné služby v dopravě;2016;99.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Skladování a podpůrné služby v dopravě;2017;100.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Skladování a podpůrné služby v dopravě;2018;97.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Skladování a podpůrné služby v dopravě;2019;96.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Skladování a podpůrné služby v dopravě;2020;101.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Skladování a podpůrné služby v dopravě;2021;102.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Skladování a podpůrné služby v dopravě;2022;118.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Skladování a podpůrné služby v dopravě;2023;122.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Skladování a podpůrné služby v dopravě;2024;121.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Poštovní a kurýrní služby;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Poštovní a kurýrní služby;2016;104.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Poštovní a kurýrní služby;2017;109.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Poštovní a kurýrní služby;2018;114.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Poštovní a kurýrní služby;2019;118.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Poštovní a kurýrní služby;2020;121.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Poštovní a kurýrní služby;2021;122.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Poštovní a kurýrní služby;2022;125.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Poštovní a kurýrní služby;2023;138.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Poštovní a kurýrní služby;2024;146.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vydavatelské služby;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vydavatelské služby;2016;100.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vydavatelské služby;2017;102.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vydavatelské služby;2018;105.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vydavatelské služby;2019;107.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vydavatelské služby;2020;108.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vydavatelské služby;2021;110.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vydavatelské služby;2022;116.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vydavatelské služby;2023;123.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vydavatelské služby;2024;128.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Činnosti v oblasti filmů, videozáznamů a televizních programů, pořizování zvukových nahrávek a hudební vydavatelské činnosti;2024;117.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tvorba programů a vysílání;2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tvorba programů a vysílání;2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tvorba programů a vysílání;2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tvorba programů a vysílání;2018;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tvorba programů a vysílání;2019;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tvorba programů a vysílání;2020;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tvorba programů a vysílání;2021;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tvorba programů a vysílání;2022;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tvorba programů a vysílání;2023;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Tvorba programů a vysílání;2024;125.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Telekomunikační služby;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Telekomunikační služby;2016;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Telekomunikační služby;2017;99.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Telekomunikační služby;2018;98.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Telekomunikační služby;2019;98.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Telekomunikační služby;2020;98.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Telekomunikační služby;2021;98.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Telekomunikační služby;2022;97.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Telekomunikační služby;2023;98.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Telekomunikační služby;2024;99.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti programování a poradenství a související služby;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti programování a poradenství a související služby;2016;101.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti programování a poradenství a související služby;2017;102.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti programování a poradenství a související služby;2018;103.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti programování a poradenství a související služby;2019;107.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti programování a poradenství a související služby;2020;111.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti programování a poradenství a související služby;2021;114.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti programování a poradenství a související služby;2022;120.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti programování a poradenství a související služby;2023;130.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti programování a poradenství a související služby;2024;135.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Informační služby;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Informační služby;2016;99.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Informační služby;2017;99.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Informační služby;2018;100.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Informační služby;2019;103.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Informační služby;2020;104.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Informační služby;2021;101.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Informační služby;2022;109.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Informační služby;2023;122.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Informační služby;2024;124.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Pojištění, zajištění a penzijní financování, kromě povinného 
sociálního zabezpečení";2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Pojištění, zajištění a penzijní financování, kromě povinného 
sociálního zabezpečení";2016;97.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Pojištění, zajištění a penzijní financování, kromě povinného 
sociálního zabezpečení";2017;101.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Pojištění, zajištění a penzijní financování, kromě povinného 
sociálního zabezpečení";2018;105.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Pojištění, zajištění a penzijní financování, kromě povinného 
sociálního zabezpečení";2019;112.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Pojištění, zajištění a penzijní financování, kromě povinného 
sociálního zabezpečení";2020;115.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Pojištění, zajištění a penzijní financování, kromě povinného 
sociálního zabezpečení";2021;116.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Pojištění, zajištění a penzijní financování, kromě povinného 
sociálního zabezpečení";2022;117.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Pojištění, zajištění a penzijní financování, kromě povinného 
sociálního zabezpečení";2023;120.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Pojištění, zajištění a penzijní financování, kromě povinného 
sociálního zabezpečení";2024;122.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti nemovitostí;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti nemovitostí;2016;99.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti nemovitostí;2017;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti nemovitostí;2018;102.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti nemovitostí;2019;104.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti nemovitostí;2020;107.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti nemovitostí;2021;109.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti nemovitostí;2022;112.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti nemovitostí;2023;119.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti nemovitostí;2024;129.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Právní a účetnické služby;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Právní a účetnické služby;2016;100.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Právní a účetnické služby;2017;101.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Právní a účetnické služby;2018;103.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Právní a účetnické služby;2019;104.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Právní a účetnické služby;2020;105.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Právní a účetnické služby;2021;107.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Právní a účetnické služby;2022;113.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Právní a účetnické služby;2023;119.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Právní a účetnické služby;2024;125.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vedení podniků, poradenství v oblasti řízení;2015;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vedení podniků, poradenství v oblasti řízení;2016;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vedení podniků, poradenství v oblasti řízení;2017;
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vedení podniků, poradenství v oblasti řízení;2018;101.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vedení podniků, poradenství v oblasti řízení;2019;107.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vedení podniků, poradenství v oblasti řízení;2020;110.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vedení podniků, poradenství v oblasti řízení;2021;114.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vedení podniků, poradenství v oblasti řízení;2022;116.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vedení podniků, poradenství v oblasti řízení;2023;121.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Vedení podniků, poradenství v oblasti řízení;2024;124.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Architektonické a inženýrské služby; technické zkoušky a analýzy";2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Architektonické a inženýrské služby; technické zkoušky a analýzy";2016;101.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Architektonické a inženýrské služby; technické zkoušky a analýzy";2017;102.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Architektonické a inženýrské služby; technické zkoušky a analýzy";2018;105.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Architektonické a inženýrské služby; technické zkoušky a analýzy";2019;106.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Architektonické a inženýrské služby; technické zkoušky a analýzy";2020;108.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Architektonické a inženýrské služby; technické zkoušky a analýzy";2021;108.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Architektonické a inženýrské služby; technické zkoušky a analýzy";2022;112.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Architektonické a inženýrské služby; technické zkoušky a analýzy";2023;117.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;"Architektonické a inženýrské služby; technické zkoušky a analýzy";2024;120.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Reklamní služby a průzkum trhu;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Reklamní služby a průzkum trhu;2016;101.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Reklamní služby a průzkum trhu;2017;104.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Reklamní služby a průzkum trhu;2018;106.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Reklamní služby a průzkum trhu;2019;111.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Reklamní služby a průzkum trhu;2020;111.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Reklamní služby a průzkum trhu;2021;113.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Reklamní služby a průzkum trhu;2022;132.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Reklamní služby a průzkum trhu;2023;137.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Reklamní služby a průzkum trhu;2024;151.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Ostatní odborné, vědecké a technické služby ;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Ostatní odborné, vědecké a technické služby ;2016;100.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Ostatní odborné, vědecké a technické služby ;2017;101.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Ostatní odborné, vědecké a technické služby ;2018;102.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Ostatní odborné, vědecké a technické služby ;2019;103.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Ostatní odborné, vědecké a technické služby ;2020;104.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Ostatní odborné, vědecké a technické služby ;2021;104.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Ostatní odborné, vědecké a technické služby ;2022;106.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Ostatní odborné, vědecké a technické služby ;2023;114.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Ostatní odborné, vědecké a technické služby ;2024;116.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti pronájmu a operativního leasingu;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti pronájmu a operativního leasingu;2016;97.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti pronájmu a operativního leasingu;2017;96.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti pronájmu a operativního leasingu;2018;96.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti pronájmu a operativního leasingu;2019;100.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti pronájmu a operativního leasingu;2020;101.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti pronájmu a operativního leasingu;2021;102.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti pronájmu a operativního leasingu;2022;111.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti pronájmu a operativního leasingu;2023;116.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti pronájmu a operativního leasingu;2024;117.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti zaměstnání;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti zaměstnání;2016;101.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti zaměstnání;2017;103.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti zaměstnání;2018;113.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti zaměstnání;2019;124.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti zaměstnání;2020;130.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti zaměstnání;2021;138.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti zaměstnání;2022;159.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti zaměstnání;2023;194.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby v oblasti zaměstnání;2024;214.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Bezpečnostní a pátrací služby;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Bezpečnostní a pátrací služby;2016;102.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Bezpečnostní a pátrací služby;2017;108.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Bezpečnostní a pátrací služby;2018;117.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Bezpečnostní a pátrací služby;2019;123.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Bezpečnostní a pátrací služby;2020;128.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Bezpečnostní a pátrací služby;2021;132.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Bezpečnostní a pátrací služby;2022;139.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Bezpečnostní a pátrací služby;2023;152.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Bezpečnostní a pátrací služby;2024;166.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby související se stavbami a úpravou krajiny;2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby související se stavbami a úpravou krajiny;2016;100.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby související se stavbami a úpravou krajiny;2017;104.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby související se stavbami a úpravou krajiny;2018;111.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby související se stavbami a úpravou krajiny;2019;116.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Služby související se stavbami a úpravou krajiny;2020;121.1
