ČR, kraje, okresy;Ukazatel;Odvětví ekonomické činnosti CZ-NACE;Čtvrtletí;value
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;3. čtvrtletí 2024;84613.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2. čtvrtletí 2024;83504.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;1. čtvrtletí 2024;82462.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;4. čtvrtletí 2023;81657.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;3. čtvrtletí 2023;81481.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2. čtvrtletí 2023;80505.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;1. čtvrtletí 2023;80618.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;4. čtvrtletí 2022;81712.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;3. čtvrtletí 2022;81408.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2. čtvrtletí 2022;81023.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;1. čtvrtletí 2022;80483.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;4. čtvrtletí 2021;80218.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;3. čtvrtletí 2021;79766.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;2. čtvrtletí 2021;79323.0
Česko;Počet ekonomických subjektů celkem;R Kulturní, zábavní a rekreační činnosti;1. čtvrtletí 2021;78823.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;1. čtvrtletí 2025;252391.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;4. čtvrtletí 2024;250610.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;3. čtvrtletí 2024;249191.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2. čtvrtletí 2024;247058.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;1. čtvrtletí 2024;245439.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;4. čtvrtletí 2023;243971.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;3. čtvrtletí 2023;243979.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2. čtvrtletí 2023;242884.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;1. čtvrtletí 2023;244697.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;4. čtvrtletí 2022;252997.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;3. čtvrtletí 2022;253488.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2. čtvrtletí 2022;252185.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;1. čtvrtletí 2022;251123.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;4. čtvrtletí 2021;250245.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;3. čtvrtletí 2021;249529.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;2. čtvrtletí 2021;248536.0
Česko;Počet ekonomických subjektů celkem;S Ostatní činnosti;1. čtvrtletí 2021;247106.0
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;1. čtvrtletí 2025;0.0
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;4. čtvrtletí 2024;0.0
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;3. čtvrtletí 2024;0.0
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2. čtvrtletí 2024;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;1. čtvrtletí 2024;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;4. čtvrtletí 2023;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;3. čtvrtletí 2023;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2. čtvrtletí 2023;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;1. čtvrtletí 2023;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;4. čtvrtletí 2022;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;3. čtvrtletí 2022;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2. čtvrtletí 2022;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;1. čtvrtletí 2022;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;4. čtvrtletí 2021;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;3. čtvrtletí 2021;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;2. čtvrtletí 2021;
Česko;Počet ekonomických subjektů celkem;T Činnosti domácností jako zaměstnavatelů;1. čtvrtletí 2021;
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;1. čtvrtletí 2025;62.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;4. čtvrtletí 2024;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;3. čtvrtletí 2024;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2. čtvrtletí 2024;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;1. čtvrtletí 2024;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;4. čtvrtletí 2023;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;3. čtvrtletí 2023;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2. čtvrtletí 2023;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;1. čtvrtletí 2023;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;4. čtvrtletí 2022;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;3. čtvrtletí 2022;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2. čtvrtletí 2022;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;1. čtvrtletí 2022;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;4. čtvrtletí 2021;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;3. čtvrtletí 2021;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;2. čtvrtletí 2021;61.0
Česko;Počet ekonomických subjektů celkem;U Činnosti exteritoriálních organizací a orgánů;1. čtvrtletí 2021;61.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;1. čtvrtletí 2025;107391.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;4. čtvrtletí 2024;103363.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;3. čtvrtletí 2024;99919.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2. čtvrtletí 2024;96315.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;1. čtvrtletí 2024;102722.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;4. čtvrtletí 2023;99412.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;3. čtvrtletí 2023;101537.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2. čtvrtletí 2023;105960.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;1. čtvrtletí 2023;105559.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;4. čtvrtletí 2022;111911.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;3. čtvrtletí 2022;112174.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2. čtvrtletí 2022;108024.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;1. čtvrtletí 2022;113817.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;4. čtvrtletí 2021;110983.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;3. čtvrtletí 2021;111037.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;2. čtvrtletí 2021;111165.0
Česko;Počet ekonomických subjektů celkem;X Nezjištěno;1. čtvrtletí 2021;115700.0
