Ukazatel,Typ indexu,Území,Klasifikace CZ-CPA,Čtvrtletí,value
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",1. čtvrtletí 2025,104.5
Index vývozních cen (%),Mezičtvrtletní index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",2. čtvrtletí 2025,99.5
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,4. čtvrtletí 2021,148.2
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,1. čtvrtletí 2022,143.2
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,2. čtvrtletí 2022,142.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,3. čtvrtletí 2022,103.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,4. čtvrtletí 2022,110.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,1. čtvrtletí 2023,101.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,2. čtvrtletí 2023,94.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,3. čtvrtletí 2023,92.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,4. čtvrtletí 2023,98.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,1. čtvrtletí 2024,103.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,2. čtvrtletí 2024,90.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,3. čtvrtletí 2024,98.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,4. čtvrtletí 2024,95.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,1. čtvrtletí 2025,99.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,TĚŽBA A DOBÝVÁNÍ,2. čtvrtletí 2025,97.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,4. čtvrtletí 2021,101.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,1. čtvrtletí 2022,100.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,2. čtvrtletí 2022,105.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,3. čtvrtletí 2022,101.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,4. čtvrtletí 2022,99.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,1. čtvrtletí 2023,98.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,2. čtvrtletí 2023,98.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,3. čtvrtletí 2023,101.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,4. čtvrtletí 2023,100.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,1. čtvrtletí 2024,102.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,2. čtvrtletí 2024,100.5
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,3. čtvrtletí 2024,100.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,4. čtvrtletí 2024,100.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,1. čtvrtletí 2025,99.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,2. čtvrtletí 2025,98.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",4. čtvrtletí 2021,170.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",1. čtvrtletí 2022,111.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2. čtvrtletí 2022,101.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",3. čtvrtletí 2022,164.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",4. čtvrtletí 2022,84.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",1. čtvrtletí 2023,108.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2. čtvrtletí 2023,83.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",3. čtvrtletí 2023,101.2
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",4. čtvrtletí 2023,94.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",1. čtvrtletí 2024,88.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2. čtvrtletí 2024,105.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",3. čtvrtletí 2024,109.2
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",4. čtvrtletí 2024,124.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",1. čtvrtletí 2025,96.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2. čtvrtletí 2025,78.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",4. čtvrtletí 2021,98.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",1. čtvrtletí 2022,111.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",2. čtvrtletí 2022,108.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",3. čtvrtletí 2022,76.2
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",4. čtvrtletí 2022,90.2
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",1. čtvrtletí 2023,102.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",2. čtvrtletí 2023,97.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",3. čtvrtletí 2023,92.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",4. čtvrtletí 2023,104.2
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",1. čtvrtletí 2024,110.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",2. čtvrtletí 2024,102.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",3. čtvrtletí 2024,99.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",4. čtvrtletí 2024,91.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",1. čtvrtletí 2025,99.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",2. čtvrtletí 2025,103.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,4. čtvrtletí 2021,95.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,1. čtvrtletí 2022,106.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,2. čtvrtletí 2022,106.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,3. čtvrtletí 2022,104.5
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,4. čtvrtletí 2022,92.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,1. čtvrtletí 2023,110.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,2. čtvrtletí 2023,104.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,3. čtvrtletí 2023,101.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,4. čtvrtletí 2023,99.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,1. čtvrtletí 2024,98.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,2. čtvrtletí 2024,99.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,3. čtvrtletí 2024,100.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,4. čtvrtletí 2024,99.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,1. čtvrtletí 2025,104.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,2. čtvrtletí 2025,100.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,4. čtvrtletí 2021,114.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,1. čtvrtletí 2022,113.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,2. čtvrtletí 2022,119.5
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,3. čtvrtletí 2022,90.4
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,4. čtvrtletí 2022,97.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,1. čtvrtletí 2023,88.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,2. čtvrtletí 2023,89.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,3. čtvrtletí 2023,98.4
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,4. čtvrtletí 2023,98.4
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,1. čtvrtletí 2024,98.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,2. čtvrtletí 2024,100.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,3. čtvrtletí 2024,101.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,4. čtvrtletí 2024,103.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,1. čtvrtletí 2025,105.3
Index vývozních cen (%),Mezičtvrtletní index,Česko,Produkty zemědělství a myslivosti a související služby,2. čtvrtletí 2025,99.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",4. čtvrtletí 2021,97.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",1. čtvrtletí 2022,109.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",2. čtvrtletí 2022,113.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",3. čtvrtletí 2022,92.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",4. čtvrtletí 2022,96.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",1. čtvrtletí 2023,111.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",2. čtvrtletí 2023,92.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",3. čtvrtletí 2023,78.2
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",4. čtvrtletí 2023,107.5
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",1. čtvrtletí 2024,108.2
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",2. čtvrtletí 2024,102.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",3. čtvrtletí 2024,95.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",4. čtvrtletí 2024,105.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",1. čtvrtletí 2025,103.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,"Produkty lesnictví, těžby dřeva a související služby",2. čtvrtletí 2025,99.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,4. čtvrtletí 2021,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,1. čtvrtletí 2022,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,2. čtvrtletí 2022,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,3. čtvrtletí 2022,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,4. čtvrtletí 2022,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,1. čtvrtletí 2023,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,2. čtvrtletí 2023,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,3. čtvrtletí 2023,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,4. čtvrtletí 2023,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,1. čtvrtletí 2024,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,2. čtvrtletí 2024,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,3. čtvrtletí 2024,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,4. čtvrtletí 2024,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,1. čtvrtletí 2025,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Černé a hnědé uhlí a lignit,2. čtvrtletí 2025,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,4. čtvrtletí 2021,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,1. čtvrtletí 2022,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,2. čtvrtletí 2022,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,3. čtvrtletí 2022,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,4. čtvrtletí 2022,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,1. čtvrtletí 2023,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,2. čtvrtletí 2023,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,3. čtvrtletí 2023,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,4. čtvrtletí 2023,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,1. čtvrtletí 2024,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,2. čtvrtletí 2024,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,3. čtvrtletí 2024,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,4. čtvrtletí 2024,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,1. čtvrtletí 2025,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ropa a zemní plyn,2. čtvrtletí 2025,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,4. čtvrtletí 2021,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,1. čtvrtletí 2022,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,2. čtvrtletí 2022,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,3. čtvrtletí 2022,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,4. čtvrtletí 2022,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,1. čtvrtletí 2023,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,2. čtvrtletí 2023,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,3. čtvrtletí 2023,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,4. čtvrtletí 2023,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,1. čtvrtletí 2024,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,2. čtvrtletí 2024,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,3. čtvrtletí 2024,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,4. čtvrtletí 2024,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,1. čtvrtletí 2025,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Rudy,2. čtvrtletí 2025,
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,4. čtvrtletí 2021,101.5
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,1. čtvrtletí 2022,102.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,2. čtvrtletí 2022,104.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,3. čtvrtletí 2022,108.4
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,4. čtvrtletí 2022,111.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,1. čtvrtletí 2023,109.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,2. čtvrtletí 2023,96.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,3. čtvrtletí 2023,100.7
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,4. čtvrtletí 2023,100.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,1. čtvrtletí 2024,102.5
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,2. čtvrtletí 2024,98.2
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,3. čtvrtletí 2024,101.0
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,4. čtvrtletí 2024,99.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,1. čtvrtletí 2025,99.5
Index vývozních cen (%),Mezičtvrtletní index,Česko,Ostatní těžba a dobývání nerostných surovin,2. čtvrtletí 2025,98.5
Index vývozních cen (%),Mezičtvrtletní index,Česko,Potravinářské výrobky,4. čtvrtletí 2021,101.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,Potravinářské výrobky,1. čtvrtletí 2022,101.5
Index vývozních cen (%),Mezičtvrtletní index,Česko,Potravinářské výrobky,2. čtvrtletí 2022,108.8
Index vývozních cen (%),Mezičtvrtletní index,Česko,Potravinářské výrobky,3. čtvrtletí 2022,104.6
Index vývozních cen (%),Mezičtvrtletní index,Česko,Potravinářské výrobky,4. čtvrtletí 2022,104.4
Index vývozních cen (%),Mezičtvrtletní index,Česko,Potravinářské výrobky,1. čtvrtletí 2023,102.1
Index vývozních cen (%),Mezičtvrtletní index,Česko,Potravinářské výrobky,2. čtvrtletí 2023,97.9
Index vývozních cen (%),Mezičtvrtletní index,Česko,Potravinářské výrobky,3. čtvrtletí 2023,100.0
