Rok sčítání,Ukazatel,Území,Poloha bytu v domě,value
2021,Počet  obydlených bytů,Liberecký kraj,4. poschodí,7366
2021,Počet  obydlených bytů,Liberecký kraj,5. poschodí,5621
2021,Počet  obydlených bytů,Liberecký kraj,6. poschodí,4464
2021,Počet  obydlených bytů,Liberecký kraj,7. poschodí,4115
2021,Počet  obydlených bytů,Liberecký kraj,8. a vyšší poschodí,4324
2021,Počet  obydlených bytů,Liberecký kraj,Nezjištěno,17104
2021,Počet  obydlených bytů,Královéhradecký kraj,Obydlené byty celkem,228569
2021,Počet  obydlených bytů,Královéhradecký kraj,"Suterén, sklep",1333
2021,Počet  obydlených bytů,Královéhradecký kraj,Přízemí,108601
2021,Počet  obydlených bytů,Královéhradecký kraj,1. poschodí,47639
2021,Počet  obydlených bytů,Královéhradecký kraj,2. poschodí,19638
2021,Počet  obydlených bytů,Královéhradecký kraj,3. poschodí,14185
2021,Počet  obydlených bytů,Královéhradecký kraj,4. poschodí,6893
2021,Počet  obydlených bytů,Královéhradecký kraj,5. poschodí,4789
2021,Počet  obydlených bytů,Královéhradecký kraj,6. poschodí,2941
2021,Počet  obydlených bytů,Královéhradecký kraj,7. poschodí,2783
2021,Počet  obydlených bytů,Královéhradecký kraj,8. a vyšší poschodí,3416
2021,Počet  obydlených bytů,Královéhradecký kraj,Nezjištěno,16351
2021,Počet  obydlených bytů,Pardubický kraj,Obydlené byty celkem,209133
2021,Počet  obydlených bytů,Pardubický kraj,"Suterén, sklep",1044
2021,Počet  obydlených bytů,Pardubický kraj,Přízemí,106139
2021,Počet  obydlených bytů,Pardubický kraj,1. poschodí,41020
2021,Počet  obydlených bytů,Pardubický kraj,2. poschodí,16954
2021,Počet  obydlených bytů,Pardubický kraj,3. poschodí,11726
2021,Počet  obydlených bytů,Pardubický kraj,4. poschodí,6100
2021,Počet  obydlených bytů,Pardubický kraj,5. poschodí,4413
2021,Počet  obydlených bytů,Pardubický kraj,6. poschodí,2825
2021,Počet  obydlených bytů,Pardubický kraj,7. poschodí,2600
2021,Počet  obydlených bytů,Pardubický kraj,8. a vyšší poschodí,3271
2021,Počet  obydlených bytů,Pardubický kraj,Nezjištěno,13041
2021,Počet  obydlených bytů,Kraj Vysočina,Obydlené byty celkem,195098
2021,Počet  obydlených bytů,Kraj Vysočina,"Suterén, sklep",1325
2021,Počet  obydlených bytů,Kraj Vysočina,Přízemí,100161
2021,Počet  obydlených bytů,Kraj Vysočina,1. poschodí,40846
2021,Počet  obydlených bytů,Kraj Vysočina,2. poschodí,16593
2021,Počet  obydlených bytů,Kraj Vysočina,3. poschodí,11605
2021,Počet  obydlených bytů,Kraj Vysočina,4. poschodí,6464
2021,Počet  obydlených bytů,Kraj Vysočina,5. poschodí,3080
2021,Počet  obydlených bytů,Kraj Vysočina,6. poschodí,1978
2021,Počet  obydlených bytů,Kraj Vysočina,7. poschodí,1616
2021,Počet  obydlených bytů,Kraj Vysočina,8. a vyšší poschodí,872
2021,Počet  obydlených bytů,Kraj Vysočina,Nezjištěno,10558
2021,Počet  obydlených bytů,Jihomoravský kraj,Obydlené byty celkem,490005
2021,Počet  obydlených bytů,Jihomoravský kraj,"Suterén, sklep",4235
2021,Počet  obydlených bytů,Jihomoravský kraj,Přízemí,225497
2021,Počet  obydlených bytů,Jihomoravský kraj,1. poschodí,86793
2021,Počet  obydlených bytů,Jihomoravský kraj,2. poschodí,45742
2021,Počet  obydlených bytů,Jihomoravský kraj,3. poschodí,36774
2021,Počet  obydlených bytů,Jihomoravský kraj,4. poschodí,21127
2021,Počet  obydlených bytů,Jihomoravský kraj,5. poschodí,13775
2021,Počet  obydlených bytů,Jihomoravský kraj,6. poschodí,9693
2021,Počet  obydlených bytů,Jihomoravský kraj,7. poschodí,8520
2021,Počet  obydlených bytů,Jihomoravský kraj,8. a vyšší poschodí,7278
2021,Počet  obydlených bytů,Jihomoravský kraj,Nezjištěno,30571
2021,Počet  obydlených bytů,Olomoucký kraj,Obydlené byty celkem,259885
2021,Počet  obydlených bytů,Olomoucký kraj,"Suterén, sklep",1317
2021,Počet  obydlených bytů,Olomoucký kraj,Přízemí,120634
2021,Počet  obydlených bytů,Olomoucký kraj,1. poschodí,52097
2021,Počet  obydlených bytů,Olomoucký kraj,2. poschodí,23226
2021,Počet  obydlených bytů,Olomoucký kraj,3. poschodí,18116
2021,Počet  obydlených bytů,Olomoucký kraj,4. poschodí,10704
2021,Počet  obydlených bytů,Olomoucký kraj,5. poschodí,6207
2021,Počet  obydlených bytů,Olomoucký kraj,6. poschodí,5124
2021,Počet  obydlených bytů,Olomoucký kraj,7. poschodí,5209
2021,Počet  obydlených bytů,Olomoucký kraj,8. a vyšší poschodí,1873
2021,Počet  obydlených bytů,Olomoucký kraj,Nezjištěno,15378
2021,Počet  obydlených bytů,Zlínský kraj,Obydlené byty celkem,226219
2021,Počet  obydlených bytů,Zlínský kraj,"Suterén, sklep",1630
2021,Počet  obydlených bytů,Zlínský kraj,Přízemí,113335
2021,Počet  obydlených bytů,Zlínský kraj,1. poschodí,44435
2021,Počet  obydlených bytů,Zlínský kraj,2. poschodí,18767
2021,Počet  obydlených bytů,Zlínský kraj,3. poschodí,14538
2021,Počet  obydlených bytů,Zlínský kraj,4. poschodí,7385
2021,Počet  obydlených bytů,Zlínský kraj,5. poschodí,4480
2021,Počet  obydlených bytů,Zlínský kraj,6. poschodí,3393
2021,Počet  obydlených bytů,Zlínský kraj,7. poschodí,3562
2021,Počet  obydlených bytů,Zlínský kraj,8. a vyšší poschodí,2344
2021,Počet  obydlených bytů,Zlínský kraj,Nezjištěno,12350
2021,Počet  obydlených bytů,Moravskoslezský kraj,Obydlené byty celkem,503041
2021,Počet  obydlených bytů,Moravskoslezský kraj,"Suterén, sklep",2370
2021,Počet  obydlených bytů,Moravskoslezský kraj,Přízemí,187716
2021,Počet  obydlených bytů,Moravskoslezský kraj,1. poschodí,100009
2021,Počet  obydlených bytů,Moravskoslezský kraj,2. poschodí,50460
2021,Počet  obydlených bytů,Moravskoslezský kraj,3. poschodí,43103
2021,Počet  obydlených bytů,Moravskoslezský kraj,4. poschodí,23783
2021,Počet  obydlených bytů,Moravskoslezský kraj,5. poschodí,18765
2021,Počet  obydlených bytů,Moravskoslezský kraj,6. poschodí,12490
2021,Počet  obydlených bytů,Moravskoslezský kraj,7. poschodí,12885
2021,Počet  obydlených bytů,Moravskoslezský kraj,8. a vyšší poschodí,16410
2021,Počet  obydlených bytů,Moravskoslezský kraj,Nezjištěno,35050
