Kraje,Dvouleté období (kraje),Pohlaví,Věk (roky),Ukazatel,value
Hlavní město Praha,2023-2024,muži,12,Tabulkový počet dožívajících (lx),99739.8855355104
Hlavní město Praha,2023-2024,muži,12,Tabulkový počet zemřelých (dx),8.3140641954
Hlavní město Praha,2023-2024,muži,12,Tabulkový počet žijících (Lx),99735.7285034127
Hlavní město Praha,2023-2024,muži,12,Pomocný ukazatel (Tx),6685460.42348556
Hlavní město Praha,2023-2024,muži,12,Naděje dožití (ex),67.0289562454
Hlavní město Praha,2023-2024,muži,13,Počet zemřelých (Dx),3.0
Hlavní město Praha,2023-2024,muži,13,Počet obyvatel (Px),15038.0
Hlavní město Praha,2023-2024,muži,13,Míra úmrtnosti (mx),0.0001046079
Hlavní město Praha,2023-2024,muži,13,Pravděpodobnost úmrtí (qx),0.0001046024
Hlavní město Praha,2023-2024,muži,13,Tabulkový počet dožívajících (lx),99731.571471315
Hlavní město Praha,2023-2024,muži,13,Tabulkový počet zemřelých (dx),10.4321631112
Hlavní město Praha,2023-2024,muži,13,Tabulkový počet žijících (Lx),99726.3553897594
Hlavní město Praha,2023-2024,muži,13,Pomocný ukazatel (Tx),6585724.69498215
Hlavní město Praha,2023-2024,muži,13,Naděje dožití (ex),66.034502393
Hlavní město Praha,2023-2024,muži,14,Počet zemřelých (Dx),1.0
Hlavní město Praha,2023-2024,muži,14,Počet obyvatel (Px),14996.0
Hlavní město Praha,2023-2024,muži,14,Míra úmrtnosti (mx),0.0001348379
Hlavní město Praha,2023-2024,muži,14,Pravděpodobnost úmrtí (qx),0.0001348288
Hlavní město Praha,2023-2024,muži,14,Tabulkový počet dožívajících (lx),99721.1393082037
Hlavní město Praha,2023-2024,muži,14,Tabulkový počet zemřelých (dx),13.4452845826
Hlavní město Praha,2023-2024,muži,14,Tabulkový počet žijících (Lx),99714.4166659124
Hlavní město Praha,2023-2024,muži,14,Pomocný ukazatel (Tx),6485998.33959239
Hlavní město Praha,2023-2024,muži,14,Naděje dožití (ex),65.0413581773
Hlavní město Praha,2023-2024,muži,15,Počet zemřelých (Dx),1.0
