Rok sčítání;Území;Ukazatel;value
2011;Karlovarský kraj;Vyjíždějící do zaměstnání do jiné obce okresu;18720
2011;Karlovarský kraj;Vyjíždějící do zaměstnání do jiného okresu kraje;5490
2011;Karlovarský kraj;Vyjíždějící do zaměstnání do jiného kraje;3331
2011;Karlovarský kraj;Vyjíždějící do zaměstnání do zahraničí;1976
2011;Karlovarský kraj;Vyjíždějící do škol;17029
2011;Karlovarský kraj;Vyjíždějící do škol v rámci obce;6191
2011;Karlovarský kraj;Vyjíždějící do škol mimo obec;10838
2011;Ústecký kraj;Vyjíždějící celkem;184832
2011;Ústecký kraj;Vyjíždějící do zaměstnání;135055
2011;Ústecký kraj;Vyjíždějící do zaměstnání v rámci obce;53888
2011;Ústecký kraj;Vyjíždějící do zaměstnání do jiné obce okresu;48328
2011;Ústecký kraj;Vyjíždějící do zaměstnání do jiného okresu kraje;14813
2011;Ústecký kraj;Vyjíždějící do zaměstnání do jiného kraje;15214
2011;Ústecký kraj;Vyjíždějící do zaměstnání do zahraničí;2812
2011;Ústecký kraj;Vyjíždějící do škol;49777
2011;Ústecký kraj;Vyjíždějící do škol v rámci obce;22106
2011;Ústecký kraj;Vyjíždějící do škol mimo obec;27671
2011;Liberecký kraj;Vyjíždějící celkem;102415
2011;Liberecký kraj;Vyjíždějící do zaměstnání;73294
2011;Liberecký kraj;Vyjíždějící do zaměstnání v rámci obce;31989
2011;Liberecký kraj;Vyjíždějící do zaměstnání do jiné obce okresu;23150
2011;Liberecký kraj;Vyjíždějící do zaměstnání do jiného okresu kraje;7953
2011;Liberecký kraj;Vyjíždějící do zaměstnání do jiného kraje;9130
2011;Liberecký kraj;Vyjíždějící do zaměstnání do zahraničí;1072
2011;Liberecký kraj;Vyjíždějící do škol;29121
2011;Liberecký kraj;Vyjíždějící do škol v rámci obce;12300
2011;Liberecký kraj;Vyjíždějící do škol mimo obec;16821
2011;Královéhradecký kraj;Vyjíždějící celkem;134112
2011;Královéhradecký kraj;Vyjíždějící do zaměstnání;95349
2011;Královéhradecký kraj;Vyjíždějící do zaměstnání v rámci obce;36927
2011;Královéhradecký kraj;Vyjíždějící do zaměstnání do jiné obce okresu;37726
2011;Královéhradecký kraj;Vyjíždějící do zaměstnání do jiného okresu kraje;9181
2011;Královéhradecký kraj;Vyjíždějící do zaměstnání do jiného kraje;10414
2011;Královéhradecký kraj;Vyjíždějící do zaměstnání do zahraničí;1101
2011;Královéhradecký kraj;Vyjíždějící do škol;38763
2011;Královéhradecký kraj;Vyjíždějící do škol v rámci obce;13654
2011;Královéhradecký kraj;Vyjíždějící do škol mimo obec;25109
2011;Pardubický kraj;Vyjíždějící celkem;137937
2011;Pardubický kraj;Vyjíždějící do zaměstnání;98031
2011;Pardubický kraj;Vyjíždějící do zaměstnání v rámci obce;37028
2011;Pardubický kraj;Vyjíždějící do zaměstnání do jiné obce okresu;37653
2011;Pardubický kraj;Vyjíždějící do zaměstnání do jiného okresu kraje;9555
2011;Pardubický kraj;Vyjíždějící do zaměstnání do jiného kraje;12587
2011;Pardubický kraj;Vyjíždějící do zaměstnání do zahraničí;1208
2011;Pardubický kraj;Vyjíždějící do škol;39906
2011;Pardubický kraj;Vyjíždějící do škol v rámci obce;13506
2011;Pardubický kraj;Vyjíždějící do škol mimo obec;26400
2011;Kraj Vysočina;Vyjíždějící celkem;151821
2011;Kraj Vysočina;Vyjíždějící do zaměstnání;105648
2011;Kraj Vysočina;Vyjíždějící do zaměstnání v rámci obce;40241
2011;Kraj Vysočina;Vyjíždějící do zaměstnání do jiné obce okresu;43678
2011;Kraj Vysočina;Vyjíždějící do zaměstnání do jiného okresu kraje;8121
2011;Kraj Vysočina;Vyjíždějící do zaměstnání do jiného kraje;12327
2011;Kraj Vysočina;Vyjíždějící do zaměstnání do zahraničí;1281
2011;Kraj Vysočina;Vyjíždějící do škol;46173
2011;Kraj Vysočina;Vyjíždějící do škol v rámci obce;15240
2011;Kraj Vysočina;Vyjíždějící do škol mimo obec;30933
2011;Jihomoravský kraj;Vyjíždějící celkem;339529
2011;Jihomoravský kraj;Vyjíždějící do zaměstnání;245209
2011;Jihomoravský kraj;Vyjíždějící do zaměstnání v rámci obce;108957
2011;Jihomoravský kraj;Vyjíždějící do zaměstnání do jiné obce okresu;56226
2011;Jihomoravský kraj;Vyjíždějící do zaměstnání do jiného okresu kraje;62276
2011;Jihomoravský kraj;Vyjíždějící do zaměstnání do jiného kraje;12339
2011;Jihomoravský kraj;Vyjíždějící do zaměstnání do zahraničí;5411
2011;Jihomoravský kraj;Vyjíždějící do škol;94320
2011;Jihomoravský kraj;Vyjíždějící do škol v rámci obce;45321
2011;Jihomoravský kraj;Vyjíždějící do škol mimo obec;48999
2011;Olomoucký kraj;Vyjíždějící celkem;176756
2011;Olomoucký kraj;Vyjíždějící do zaměstnání;124706
2011;Olomoucký kraj;Vyjíždějící do zaměstnání v rámci obce;49699
2011;Olomoucký kraj;Vyjíždějící do zaměstnání do jiné obce okresu;51255
2011;Olomoucký kraj;Vyjíždějící do zaměstnání do jiného okresu kraje;11046
2011;Olomoucký kraj;Vyjíždějící do zaměstnání do jiného kraje;10885
2011;Olomoucký kraj;Vyjíždějící do zaměstnání do zahraničí;1821
2011;Olomoucký kraj;Vyjíždějící do škol;52050
2011;Olomoucký kraj;Vyjíždějící do škol v rámci obce;20239
2011;Olomoucký kraj;Vyjíždějící do škol mimo obec;31811
2011;Zlínský kraj;Vyjíždějící celkem;170968
2011;Zlínský kraj;Vyjíždějící do zaměstnání;120695
2011;Zlínský kraj;Vyjíždějící do zaměstnání v rámci obce;42407
2011;Zlínský kraj;Vyjíždějící do zaměstnání do jiné obce okresu;54634
2011;Zlínský kraj;Vyjíždějící do zaměstnání do jiného okresu kraje;10966
2011;Zlínský kraj;Vyjíždějící do zaměstnání do jiného kraje;10504
2011;Zlínský kraj;Vyjíždějící do zaměstnání do zahraničí;2184
2011;Zlínský kraj;Vyjíždějící do škol;50273
2011;Zlínský kraj;Vyjíždějící do škol v rámci obce;17565
2011;Zlínský kraj;Vyjíždějící do škol mimo obec;32708
2011;Moravskoslezský kraj;Vyjíždějící celkem;321691
2011;Moravskoslezský kraj;Vyjíždějící do zaměstnání;230694
2011;Moravskoslezský kraj;Vyjíždějící do zaměstnání v rámci obce;101547
2011;Moravskoslezský kraj;Vyjíždějící do zaměstnání do jiné obce okresu;67612
2011;Moravskoslezský kraj;Vyjíždějící do zaměstnání do jiného okresu kraje;48101
2011;Moravskoslezský kraj;Vyjíždějící do zaměstnání do jiného kraje;9114
2011;Moravskoslezský kraj;Vyjíždějící do zaměstnání do zahraničí;4320
2011;Moravskoslezský kraj;Vyjíždějící do škol;90997
2011;Moravskoslezský kraj;Vyjíždějící do škol v rámci obce;44359
2011;Moravskoslezský kraj;Vyjíždějící do škol mimo obec;46638
