Území,Ukazatel,Kategorie ubytovacího zařízení,Roky,value
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Ostatní HUZ,2014,118878
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Ostatní HUZ,2015,119524
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Ostatní HUZ,2016,118807
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Ostatní HUZ,2017,114549
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Ostatní HUZ,2018,114111
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Ostatní HUZ,2019,114771
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Ostatní HUZ,2020,103396
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Ostatní HUZ,2021,101836
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Ostatní HUZ,2022,98924
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Ostatní HUZ,2023,100246
Česko,Počet lůžek v hromadných ubytovacích zařízeních,Ostatní HUZ,2024,98153
