Ukazatel,Rok sčítání,Území,Hlavní dopravní prostředek,value
Vyjíždějící do zaměstnání,2021,Plzeňský kraj,Jízdní kolo,5142
Vyjíždějící do zaměstnání,2021,Plzeňský kraj,Jiný dopravní prostředek,939
Vyjíždějící do zaměstnání,2021,Plzeňský kraj,Žádný dopravní prostředek (pouze pěšky),18756
Vyjíždějící do zaměstnání,2021,Plzeňský kraj,Nezjištěno,13296
Vyjíždějící do zaměstnání,2021,Karlovarský kraj,Vyjíždějící celkem,86657
Vyjíždějící do zaměstnání,2021,Karlovarský kraj,Automobil-řidič,51544
Vyjíždějící do zaměstnání,2021,Karlovarský kraj,Automobil-spolucestující,5756
Vyjíždějící do zaměstnání,2021,Karlovarský kraj,Městská hromadná doprava (MHD),4585
Vyjíždějící do zaměstnání,2021,Karlovarský kraj,Autobus (kromě MHD),5137
Vyjíždějící do zaměstnání,2021,Karlovarský kraj,Vlak,1653
Vyjíždějící do zaměstnání,2021,Karlovarský kraj,Motocykl,131
Vyjíždějící do zaměstnání,2021,Karlovarský kraj,Jízdní kolo,1284
Vyjíždějící do zaměstnání,2021,Karlovarský kraj,Jiný dopravní prostředek,373
Vyjíždějící do zaměstnání,2021,Karlovarský kraj,Žádný dopravní prostředek (pouze pěšky),10660
Vyjíždějící do zaměstnání,2021,Karlovarský kraj,Nezjištěno,5534
Vyjíždějící do zaměstnání,2021,Ústecký kraj,Vyjíždějící celkem,247769
Vyjíždějící do zaměstnání,2021,Ústecký kraj,Automobil-řidič,141140
Vyjíždějící do zaměstnání,2021,Ústecký kraj,Automobil-spolucestující,17420
Vyjíždějící do zaměstnání,2021,Ústecký kraj,Městská hromadná doprava (MHD),22147
Vyjíždějící do zaměstnání,2021,Ústecký kraj,Autobus (kromě MHD),14944
Vyjíždějící do zaměstnání,2021,Ústecký kraj,Vlak,7240
Vyjíždějící do zaměstnání,2021,Ústecký kraj,Motocykl,367
Vyjíždějící do zaměstnání,2021,Ústecký kraj,Jízdní kolo,4066
Vyjíždějící do zaměstnání,2021,Ústecký kraj,Jiný dopravní prostředek,960
Vyjíždějící do zaměstnání,2021,Ústecký kraj,Žádný dopravní prostředek (pouze pěšky),23684
Vyjíždějící do zaměstnání,2021,Ústecký kraj,Nezjištěno,15801
Vyjíždějící do zaměstnání,2021,Liberecký kraj,Vyjíždějící celkem,142059
Vyjíždějící do zaměstnání,2021,Liberecký kraj,Automobil-řidič,75871
Vyjíždějící do zaměstnání,2021,Liberecký kraj,Automobil-spolucestující,9706
Vyjíždějící do zaměstnání,2021,Liberecký kraj,Městská hromadná doprava (MHD),12141
Vyjíždějící do zaměstnání,2021,Liberecký kraj,Autobus (kromě MHD),9705
Vyjíždějící do zaměstnání,2021,Liberecký kraj,Vlak,2998
Vyjíždějící do zaměstnání,2021,Liberecký kraj,Motocykl,313
Vyjíždějící do zaměstnání,2021,Liberecký kraj,Jízdní kolo,2982
Vyjíždějící do zaměstnání,2021,Liberecký kraj,Jiný dopravní prostředek,609
Vyjíždějící do zaměstnání,2021,Liberecký kraj,Žádný dopravní prostředek (pouze pěšky),18238
Vyjíždějící do zaměstnání,2021,Liberecký kraj,Nezjištěno,9496
Vyjíždějící do zaměstnání,2021,Královéhradecký kraj,Vyjíždějící celkem,179293
Vyjíždějící do zaměstnání,2021,Královéhradecký kraj,Automobil-řidič,100903
Vyjíždějící do zaměstnání,2021,Královéhradecký kraj,Automobil-spolucestující,9522
Vyjíždějící do zaměstnání,2021,Královéhradecký kraj,Městská hromadná doprava (MHD),7474
Vyjíždějící do zaměstnání,2021,Královéhradecký kraj,Autobus (kromě MHD),10054
Vyjíždějící do zaměstnání,2021,Královéhradecký kraj,Vlak,5361
Vyjíždějící do zaměstnání,2021,Královéhradecký kraj,Motocykl,502
Vyjíždějící do zaměstnání,2021,Královéhradecký kraj,Jízdní kolo,12787
Vyjíždějící do zaměstnání,2021,Královéhradecký kraj,Jiný dopravní prostředek,743
Vyjíždějící do zaměstnání,2021,Královéhradecký kraj,Žádný dopravní prostředek (pouze pěšky),21209
Vyjíždějící do zaměstnání,2021,Královéhradecký kraj,Nezjištěno,10738
Vyjíždějící do zaměstnání,2021,Pardubický kraj,Vyjíždějící celkem,176387
Vyjíždějící do zaměstnání,2021,Pardubický kraj,Automobil-řidič,96102
Vyjíždějící do zaměstnání,2021,Pardubický kraj,Automobil-spolucestující,9132
Vyjíždějící do zaměstnání,2021,Pardubický kraj,Městská hromadná doprava (MHD),7283
Vyjíždějící do zaměstnání,2021,Pardubický kraj,Autobus (kromě MHD),9397
Vyjíždějící do zaměstnání,2021,Pardubický kraj,Vlak,7451
Vyjíždějící do zaměstnání,2021,Pardubický kraj,Motocykl,520
Vyjíždějící do zaměstnání,2021,Pardubický kraj,Jízdní kolo,14260
Vyjíždějící do zaměstnání,2021,Pardubický kraj,Jiný dopravní prostředek,771
Vyjíždějící do zaměstnání,2021,Pardubický kraj,Žádný dopravní prostředek (pouze pěšky),20874
Vyjíždějící do zaměstnání,2021,Pardubický kraj,Nezjištěno,10597
Vyjíždějící do zaměstnání,2021,Kraj Vysočina,Vyjíždějící celkem,168717
Vyjíždějící do zaměstnání,2021,Kraj Vysočina,Automobil-řidič,99370
Vyjíždějící do zaměstnání,2021,Kraj Vysočina,Automobil-spolucestující,10960
Vyjíždějící do zaměstnání,2021,Kraj Vysočina,Městská hromadná doprava (MHD),6702
Vyjíždějící do zaměstnání,2021,Kraj Vysočina,Autobus (kromě MHD),10614
Vyjíždějící do zaměstnání,2021,Kraj Vysočina,Vlak,3583
Vyjíždějící do zaměstnání,2021,Kraj Vysočina,Motocykl,390
Vyjíždějící do zaměstnání,2021,Kraj Vysočina,Jízdní kolo,4844
Vyjíždějící do zaměstnání,2021,Kraj Vysočina,Jiný dopravní prostředek,593
Vyjíždějící do zaměstnání,2021,Kraj Vysočina,Žádný dopravní prostředek (pouze pěšky),22345
Vyjíždějící do zaměstnání,2021,Kraj Vysočina,Nezjištěno,9316
Vyjíždějící do zaměstnání,2021,Jihomoravský kraj,Vyjíždějící celkem,427293
Vyjíždějící do zaměstnání,2021,Jihomoravský kraj,Automobil-řidič,209228
Vyjíždějící do zaměstnání,2021,Jihomoravský kraj,Automobil-spolucestující,20211
Vyjíždějící do zaměstnání,2021,Jihomoravský kraj,Městská hromadná doprava (MHD),73406
Vyjíždějící do zaměstnání,2021,Jihomoravský kraj,Autobus (kromě MHD),26883
Vyjíždějící do zaměstnání,2021,Jihomoravský kraj,Vlak,17785
Vyjíždějící do zaměstnání,2021,Jihomoravský kraj,Motocykl,1067
Vyjíždějící do zaměstnání,2021,Jihomoravský kraj,Jízdní kolo,15555
Vyjíždějící do zaměstnání,2021,Jihomoravský kraj,Jiný dopravní prostředek,1950
Vyjíždějící do zaměstnání,2021,Jihomoravský kraj,Žádný dopravní prostředek (pouze pěšky),38133
Vyjíždějící do zaměstnání,2021,Jihomoravský kraj,Nezjištěno,23075
Vyjíždějící do zaměstnání,2021,Olomoucký kraj,Vyjíždějící celkem,209771
Vyjíždějící do zaměstnání,2021,Olomoucký kraj,Automobil-řidič,108866
Vyjíždějící do zaměstnání,2021,Olomoucký kraj,Automobil-spolucestující,11105
Vyjíždějící do zaměstnání,2021,Olomoucký kraj,Městská hromadná doprava (MHD),12445
Vyjíždějící do zaměstnání,2021,Olomoucký kraj,Autobus (kromě MHD),13716
Vyjíždějící do zaměstnání,2021,Olomoucký kraj,Vlak,8595
Vyjíždějící do zaměstnání,2021,Olomoucký kraj,Motocykl,458
Vyjíždějící do zaměstnání,2021,Olomoucký kraj,Jízdní kolo,16604
Vyjíždějící do zaměstnání,2021,Olomoucký kraj,Jiný dopravní prostředek,992
Vyjíždějící do zaměstnání,2021,Olomoucký kraj,Žádný dopravní prostředek (pouze pěšky),25769
Vyjíždějící do zaměstnání,2021,Olomoucký kraj,Nezjištěno,11221
Vyjíždějící do zaměstnání,2021,Zlínský kraj,Vyjíždějící celkem,194484
Vyjíždějící do zaměstnání,2021,Zlínský kraj,Automobil-řidič,106826
Vyjíždějící do zaměstnání,2021,Zlínský kraj,Automobil-spolucestující,11415
Vyjíždějící do zaměstnání,2021,Zlínský kraj,Městská hromadná doprava (MHD),12060
Vyjíždějící do zaměstnání,2021,Zlínský kraj,Autobus (kromě MHD),14561
Vyjíždějící do zaměstnání,2021,Zlínský kraj,Vlak,4615
Vyjíždějící do zaměstnání,2021,Zlínský kraj,Motocykl,372
Vyjíždějící do zaměstnání,2021,Zlínský kraj,Jízdní kolo,11753
Vyjíždějící do zaměstnání,2021,Zlínský kraj,Jiný dopravní prostředek,786
Vyjíždějící do zaměstnání,2021,Zlínský kraj,Žádný dopravní prostředek (pouze pěšky),21353
Vyjíždějící do zaměstnání,2021,Zlínský kraj,Nezjištěno,10743
Vyjíždějící do zaměstnání,2021,Moravskoslezský kraj,Vyjíždějící celkem,391440
Vyjíždějící do zaměstnání,2021,Moravskoslezský kraj,Automobil-řidič,205308
Vyjíždějící do zaměstnání,2021,Moravskoslezský kraj,Automobil-spolucestující,22515
Vyjíždějící do zaměstnání,2021,Moravskoslezský kraj,Městská hromadná doprava (MHD),52527
Vyjíždějící do zaměstnání,2021,Moravskoslezský kraj,Autobus (kromě MHD),25824
Vyjíždějící do zaměstnání,2021,Moravskoslezský kraj,Vlak,9785
Vyjíždějící do zaměstnání,2021,Moravskoslezský kraj,Motocykl,702
Vyjíždějící do zaměstnání,2021,Moravskoslezský kraj,Jízdní kolo,14196
Vyjíždějící do zaměstnání,2021,Moravskoslezský kraj,Jiný dopravní prostředek,1555
Vyjíždějící do zaměstnání,2021,Moravskoslezský kraj,Žádný dopravní prostředek (pouze pěšky),38458
Vyjíždějící do zaměstnání,2021,Moravskoslezský kraj,Nezjištěno,20570
