Kategorie;Čtvrtletí;Oblasti destinačního managementu nečleněné;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brdy a Podbrdsko;Počet hostů;Rezidenti;25521.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brdy a Podbrdsko;Počet hostů;Nerezidenti;5359.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brdy a Podbrdsko;Počet přenocování;Celkem;54785.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brdy a Podbrdsko;Počet přenocování;Rezidenti;43964.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brdy a Podbrdsko;Počet přenocování;Nerezidenti;10821.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brdy a Podbrdsko;Průměrný počet přenocování ;Celkem;1.7741256477
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brdy a Podbrdsko;Průměrný počet přenocování ;Rezidenti;1.7226597704
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Brdy a Podbrdsko;Průměrný počet přenocování ;Nerezidenti;2.0192200037
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladensko - Slánsko;Počet hostů;Celkem;17423.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladensko - Slánsko;Počet hostů;Rezidenti;12841.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladensko - Slánsko;Počet hostů;Nerezidenti;4582.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladensko - Slánsko;Počet přenocování;Celkem;33432.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladensko - Slánsko;Počet přenocování;Rezidenti;21574.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladensko - Slánsko;Počet přenocování;Nerezidenti;11858.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladensko - Slánsko;Průměrný počet přenocování ;Celkem;1.9188429088
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladensko - Slánsko;Průměrný počet přenocování ;Rezidenti;1.6800872206
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kladensko - Slánsko;Průměrný počet přenocování ;Nerezidenti;2.587952859
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kutnohorsko a Kolínsko;Počet hostů;Celkem;25539.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kutnohorsko a Kolínsko;Počet hostů;Rezidenti;19344.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kutnohorsko a Kolínsko;Počet hostů;Nerezidenti;6195.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kutnohorsko a Kolínsko;Počet přenocování;Celkem;46289.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kutnohorsko a Kolínsko;Počet přenocování;Rezidenti;33314.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kutnohorsko a Kolínsko;Počet přenocování;Nerezidenti;12975.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kutnohorsko a Kolínsko;Průměrný počet přenocování ;Celkem;1.8124828693
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kutnohorsko a Kolínsko;Průměrný počet přenocování ;Rezidenti;1.7221877585
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kutnohorsko a Kolínsko;Průměrný počet přenocování ;Nerezidenti;2.0944309927
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kraj blanických rytířů;Počet hostů;Celkem;8740.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kraj blanických rytířů;Počet hostů;Rezidenti;7040.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kraj blanických rytířů;Počet hostů;Nerezidenti;1700.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kraj blanických rytířů;Počet přenocování;Celkem;17412.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kraj blanických rytířů;Počet přenocování;Rezidenti;11567.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kraj blanických rytířů;Počet přenocování;Nerezidenti;5845.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kraj blanických rytířů;Průměrný počet přenocování ;Celkem;1.9922196796
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kraj blanických rytířů;Průměrný počet přenocování ;Rezidenti;1.6430397727
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Kraj blanických rytířů;Průměrný počet přenocování ;Nerezidenti;3.4382352941
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Mělnicko - Kokořínsko;Počet hostů;Celkem;17178.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Mělnicko - Kokořínsko;Počet hostů;Rezidenti;13374.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Mělnicko - Kokořínsko;Počet hostů;Nerezidenti;3804.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Mělnicko - Kokořínsko;Počet přenocování;Celkem;30069.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Mělnicko - Kokořínsko;Počet přenocování;Rezidenti;21803.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Mělnicko - Kokořínsko;Počet přenocování;Nerezidenti;8266.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Mělnicko - Kokořínsko;Průměrný počet přenocování ;Celkem;1.750436605
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Mělnicko - Kokořínsko;Průměrný počet přenocování ;Rezidenti;1.6302527292
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Mělnicko - Kokořínsko;Průměrný počet přenocování ;Nerezidenti;2.1729758149
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pojizeří a Polabí;Počet hostů;Celkem;48059.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pojizeří a Polabí;Počet hostů;Rezidenti;37838.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pojizeří a Polabí;Počet hostů;Nerezidenti;10221.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pojizeří a Polabí;Počet přenocování;Celkem;127091.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pojizeří a Polabí;Počet přenocování;Rezidenti;104164.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pojizeří a Polabí;Počet přenocování;Nerezidenti;22927.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pojizeří a Polabí;Průměrný počet přenocování ;Celkem;2.6444786616
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pojizeří a Polabí;Průměrný počet přenocování ;Rezidenti;2.7528939162
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pojizeří a Polabí;Průměrný počet přenocování ;Nerezidenti;2.2431268956
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Posázaví;Počet hostů;Celkem;76219.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Posázaví;Počet hostů;Rezidenti;50897.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Posázaví;Počet hostů;Nerezidenti;25322.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Posázaví;Počet přenocování;Celkem;143178.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Posázaví;Počet přenocování;Rezidenti;88171.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Posázaví;Počet přenocování;Nerezidenti;55007.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Posázaví;Průměrný počet přenocování ;Celkem;1.8785079836
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Posázaví;Průměrný počet přenocování ;Rezidenti;1.7323417883
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Posázaví;Průměrný počet přenocování ;Nerezidenti;2.1723007661
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Rakovnicko;Počet hostů;Celkem;6726.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Rakovnicko;Počet hostů;Rezidenti;5804.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Rakovnicko;Počet hostů;Nerezidenti;922.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Rakovnicko;Počet přenocování;Celkem;12470.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Rakovnicko;Počet přenocování;Rezidenti;10621.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Rakovnicko;Počet přenocování;Nerezidenti;1849.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Rakovnicko;Průměrný počet přenocování ;Celkem;1.8539994053
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Rakovnicko;Průměrný počet přenocování ;Rezidenti;1.8299448656
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Rakovnicko;Průměrný počet přenocování ;Nerezidenti;2.0054229935
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Česká Kanada;Počet hostů;Celkem;11889.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Česká Kanada;Počet hostů;Rezidenti;9889.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Česká Kanada;Počet hostů;Nerezidenti;2000.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Česká Kanada;Počet přenocování;Celkem;23709.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Česká Kanada;Počet přenocování;Rezidenti;19936.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Česká Kanada;Počet přenocování;Nerezidenti;3773.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Česká Kanada;Průměrný počet přenocování ;Celkem;1.9941963159
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Česká Kanada;Průměrný počet přenocování ;Rezidenti;2.0159773486
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Česká Kanada;Průměrný počet přenocování ;Nerezidenti;1.8865
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Budějovicko;Počet hostů;Celkem;73549.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Budějovicko;Počet hostů;Rezidenti;37959.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Budějovicko;Počet hostů;Nerezidenti;35590.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Budějovicko;Počet přenocování;Celkem;120299.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Budějovicko;Počet přenocování;Rezidenti;60624.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Budějovicko;Počet přenocování;Nerezidenti;59675.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Budějovicko;Průměrný počet přenocování ;Celkem;1.635630668
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Budějovicko;Průměrný počet přenocování ;Rezidenti;1.5970915988
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Budějovicko;Průměrný počet přenocování ;Nerezidenti;1.6767350379
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český Krumlov a okolí;Počet hostů;Celkem;49416.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český Krumlov a okolí;Počet hostů;Rezidenti;15077.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český Krumlov a okolí;Počet hostů;Nerezidenti;34339.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český Krumlov a okolí;Počet přenocování;Celkem;72515.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český Krumlov a okolí;Počet přenocování;Rezidenti;25455.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český Krumlov a okolí;Počet přenocování;Nerezidenti;47060.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český Krumlov a okolí;Průměrný počet přenocování ;Celkem;1.4674396956
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český Krumlov a okolí;Průměrný počet přenocování ;Rezidenti;1.6883332228
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český Krumlov a okolí;Průměrný počet přenocování ;Nerezidenti;1.3704534203
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lipensko;Počet hostů;Celkem;37333.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lipensko;Počet hostů;Rezidenti;25395.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lipensko;Počet hostů;Nerezidenti;11938.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lipensko;Počet přenocování;Celkem;97291.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lipensko;Počet přenocování;Rezidenti;63911.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lipensko;Počet přenocování;Nerezidenti;33380.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lipensko;Průměrný počet přenocování ;Celkem;2.6060321967
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lipensko;Průměrný počet přenocování ;Rezidenti;2.5166765111
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Lipensko;Průměrný počet přenocování ;Nerezidenti;2.7961132518
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Novohradsko-Doudlebsko;Počet hostů;Celkem;10885.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Novohradsko-Doudlebsko;Počet hostů;Rezidenti;8539.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Novohradsko-Doudlebsko;Počet hostů;Nerezidenti;2346.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Novohradsko-Doudlebsko;Počet přenocování;Celkem;23399.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Novohradsko-Doudlebsko;Počet přenocování;Rezidenti;19098.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Novohradsko-Doudlebsko;Počet přenocování;Nerezidenti;4301.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Novohradsko-Doudlebsko;Průměrný počet přenocování ;Celkem;2.1496554892
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Novohradsko-Doudlebsko;Průměrný počet přenocování ;Rezidenti;2.2365616583
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Novohradsko-Doudlebsko;Průměrný počet přenocování ;Nerezidenti;1.8333333333
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Písecko, Blatensko, Strakonicko, Vodňansko;Počet hostů;Celkem;20175.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Písecko, Blatensko, Strakonicko, Vodňansko;Počet hostů;Rezidenti;15361.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Písecko, Blatensko, Strakonicko, Vodňansko;Počet hostů;Nerezidenti;4814.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Písecko, Blatensko, Strakonicko, Vodňansko;Počet přenocování;Celkem;48331.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Písecko, Blatensko, Strakonicko, Vodňansko;Počet přenocování;Rezidenti;37469.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Písecko, Blatensko, Strakonicko, Vodňansko;Počet přenocování;Nerezidenti;10862.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Písecko, Blatensko, Strakonicko, Vodňansko;Průměrný počet přenocování ;Celkem;2.3955885998
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Písecko, Blatensko, Strakonicko, Vodňansko;Průměrný počet přenocování ;Rezidenti;2.4392292168
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Písecko, Blatensko, Strakonicko, Vodňansko;Průměrný počet přenocování ;Nerezidenti;2.2563356876
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumavsko;Počet hostů;Celkem;19479.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumavsko;Počet hostů;Rezidenti;16806.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumavsko;Počet hostů;Nerezidenti;2673.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumavsko;Počet přenocování;Celkem;45663.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumavsko;Počet přenocování;Rezidenti;40737.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumavsko;Počet přenocování;Nerezidenti;4926.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumavsko;Průměrný počet přenocování ;Celkem;2.3442168489
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumavsko;Průměrný počet přenocování ;Rezidenti;2.4239557301
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumavsko;Průměrný počet přenocování ;Nerezidenti;1.8428731762
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Toulava;Počet hostů;Celkem;35596.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Toulava;Počet hostů;Rezidenti;31243.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Toulava;Počet hostů;Nerezidenti;4353.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Toulava;Počet přenocování;Celkem;96818.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Toulava;Počet přenocování;Rezidenti;88814.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Toulava;Počet přenocování;Nerezidenti;8004.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Toulava;Průměrný počet přenocování ;Celkem;2.7199123497
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Toulava;Průměrný počet přenocování ;Rezidenti;2.8426847614
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Toulava;Průměrný počet přenocování ;Nerezidenti;1.838731909
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třeboňsko;Počet hostů;Celkem;24486.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třeboňsko;Počet hostů;Rezidenti;21298.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třeboňsko;Počet hostů;Nerezidenti;3188.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třeboňsko;Počet přenocování;Celkem;111311.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třeboňsko;Počet přenocování;Rezidenti;105398.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třeboňsko;Počet přenocování;Nerezidenti;5913.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třeboňsko;Průměrný počet přenocování ;Celkem;4.5459037818
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třeboňsko;Průměrný počet přenocování ;Rezidenti;4.9487275801
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Třeboňsko;Průměrný počet přenocování ;Nerezidenti;1.8547678795
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český les;Počet hostů;Celkem;36272.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český les;Počet hostů;Rezidenti;12690.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český les;Počet hostů;Nerezidenti;23582.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český les;Počet přenocování;Celkem;88935.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český les;Počet přenocování;Rezidenti;34777.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český les;Počet přenocování;Nerezidenti;54158.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český les;Průměrný počet přenocování ;Celkem;2.451891266
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český les;Průměrný počet přenocování ;Rezidenti;2.7405043341
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Český les;Průměrný počet přenocování ;Nerezidenti;2.2965821389
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pošumaví;Počet hostů;Celkem;5553.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pošumaví;Počet hostů;Rezidenti;5034.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pošumaví;Počet hostů;Nerezidenti;519.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pošumaví;Počet přenocování;Celkem;14148.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pošumaví;Počet přenocování;Rezidenti;12858.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pošumaví;Počet přenocování;Nerezidenti;1290.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pošumaví;Průměrný počet přenocování ;Celkem;2.5478119935
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pošumaví;Průměrný počet přenocování ;Rezidenti;2.5542312277
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Pošumaví;Průměrný počet přenocování ;Nerezidenti;2.4855491329
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Plzeň a okolí;Počet hostů;Celkem;81881.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Plzeň a okolí;Počet hostů;Rezidenti;41679.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Plzeň a okolí;Počet hostů;Nerezidenti;40202.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Plzeň a okolí;Počet přenocování;Celkem;139072.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Plzeň a okolí;Počet přenocování;Rezidenti;64023.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Plzeň a okolí;Počet přenocování;Nerezidenti;75049.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Plzeň a okolí;Průměrný počet přenocování ;Celkem;1.6984648453
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Plzeň a okolí;Průměrný počet přenocování ;Rezidenti;1.5360973152
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Plzeň a okolí;Průměrný počet přenocování ;Nerezidenti;1.8667976718
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Postřelí;Počet hostů;Celkem;5850.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Postřelí;Počet hostů;Rezidenti;4496.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Postřelí;Počet hostů;Nerezidenti;1354.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Postřelí;Počet přenocování;Celkem;12007.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Postřelí;Počet přenocování;Rezidenti;8944.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Postřelí;Počet přenocování;Nerezidenti;3063.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Postřelí;Průměrný počet přenocování ;Celkem;2.0524786325
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Postřelí;Průměrný počet přenocování ;Rezidenti;1.9893238434
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Postřelí;Průměrný počet přenocování ;Nerezidenti;2.2621861152
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumava západ;Počet hostů;Celkem;36627.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumava západ;Počet hostů;Rezidenti;32114.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumava západ;Počet hostů;Nerezidenti;4513.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumava západ;Počet přenocování;Celkem;90339.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumava západ;Počet přenocování;Rezidenti;79271.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumava západ;Počet přenocování;Nerezidenti;11068.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumava západ;Průměrný počet přenocování ;Celkem;2.4664591695
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumava západ;Průměrný počet přenocování ;Rezidenti;2.468424986
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Šumava západ;Průměrný počet přenocování ;Nerezidenti;2.4524706404
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krušnohoří;Počet hostů;Celkem;79808.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krušnohoří;Počet hostů;Rezidenti;50745.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krušnohoří;Počet hostů;Nerezidenti;29063.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krušnohoří;Počet přenocování;Celkem;269692.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krušnohoří;Počet přenocování;Rezidenti;181653.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krušnohoří;Počet přenocování;Nerezidenti;88039.0
Hromadná ubytovací zařízení celkem;4. čtvrtletí 2024;Krušnohoří;Průměrný počet přenocování ;Celkem;3.3792602245
