Ukazatel;Kraje;Pohlaví;Věk (roky);Dvouleté období (kraje);value
Naděje dožití (ex);Hlavní město Praha;muži;4;2018-2019;74.5676636676
Naděje dožití (ex);Hlavní město Praha;muži;4;2019-2020;74.318203008
Naděje dožití (ex);Hlavní město Praha;muži;4;2020-2021;73.2434953732
Naděje dožití (ex);Hlavní město Praha;muži;4;2021-2022;73.2769447199
Naděje dožití (ex);Hlavní město Praha;muži;4;2022-2023;74.39988654
Naděje dožití (ex);Hlavní město Praha;muži;5;2001-2002;69.06950753
Naděje dožití (ex);Hlavní město Praha;muži;5;2002-2003;69.04826808
Naděje dožití (ex);Hlavní město Praha;muži;5;2003-2004;69.42628529
Naděje dožití (ex);Hlavní město Praha;muži;5;2004-2005;70.03112486
Naděje dožití (ex);Hlavní město Praha;muži;5;2005-2006;70.47310725
Naděje dožití (ex);Hlavní město Praha;muži;5;2006-2007;70.84180854
Naděje dožití (ex);Hlavní město Praha;muži;5;2007-2008;71.12620529
Naděje dožití (ex);Hlavní město Praha;muži;5;2008-2009;71.42777882
Naděje dožití (ex);Hlavní město Praha;muži;5;2009-2010;71.52027828
Naděje dožití (ex);Hlavní město Praha;muži;5;2010-2011;71.76114756
Naděje dožití (ex);Hlavní město Praha;muži;5;2011-2012;72.09699566
Naděje dožití (ex);Hlavní město Praha;muži;5;2012-2013;72.37983223
Naděje dožití (ex);Hlavní město Praha;muži;5;2013-2014;72.61945927
Naděje dožití (ex);Hlavní město Praha;muži;5;2014-2015;72.74334804
Naděje dožití (ex);Hlavní město Praha;muži;5;2015-2016;72.93198369
Naděje dožití (ex);Hlavní město Praha;muži;5;2016-2017;73.24666065
Naděje dožití (ex);Hlavní město Praha;muži;5;2017-2018;73.4465438235
Naděje dožití (ex);Hlavní město Praha;muži;5;2018-2019;73.5769412632
Naděje dožití (ex);Hlavní město Praha;muži;5;2019-2020;73.3232497371
Naděje dožití (ex);Hlavní město Praha;muži;5;2020-2021;72.2483447782
Naděje dožití (ex);Hlavní město Praha;muži;5;2021-2022;72.2877246649
Naděje dožití (ex);Hlavní město Praha;muži;5;2022-2023;73.40818158
Naděje dožití (ex);Hlavní město Praha;muži;6;2001-2002;68.07519491
Naděje dožití (ex);Hlavní město Praha;muži;6;2002-2003;68.05386589
Naděje dožití (ex);Hlavní město Praha;muži;6;2003-2004;68.43135906
Naděje dožití (ex);Hlavní město Praha;muži;6;2004-2005;69.03574261
Naděje dožití (ex);Hlavní město Praha;muži;6;2005-2006;69.48607896
Naděje dožití (ex);Hlavní město Praha;muži;6;2006-2007;69.85477749
Naděje dožití (ex);Hlavní město Praha;muži;6;2007-2008;70.13312039
Naděje dožití (ex);Hlavní město Praha;muži;6;2008-2009;70.43305069
Naděje dožití (ex);Hlavní město Praha;muži;6;2009-2010;70.52593549
Naděje dožití (ex);Hlavní město Praha;muži;6;2010-2011;70.77198989
Naděje dožití (ex);Hlavní město Praha;muži;6;2011-2012;71.10474561
Naděje dožití (ex);Hlavní město Praha;muži;6;2012-2013;71.38116671
Naděje dožití (ex);Hlavní město Praha;muži;6;2013-2014;71.6230688
Naděje dožití (ex);Hlavní město Praha;muži;6;2014-2015;71.74870325
Naděje dožití (ex);Hlavní město Praha;muži;6;2015-2016;71.93719039
Naděje dožití (ex);Hlavní město Praha;muži;6;2016-2017;72.25337818
Naděje dožití (ex);Hlavní město Praha;muži;6;2017-2018;72.4548599349
Naděje dožití (ex);Hlavní město Praha;muži;6;2018-2019;72.5821858974
Naděje dožití (ex);Hlavní město Praha;muži;6;2019-2020;72.3256396583
Naděje dožití (ex);Hlavní město Praha;muži;6;2020-2021;71.2503211612
Naděje dožití (ex);Hlavní město Praha;muži;6;2021-2022;71.2918202406
Naděje dožití (ex);Hlavní město Praha;muži;6;2022-2023;72.41390767
Naděje dožití (ex);Hlavní město Praha;muži;7;2001-2002;67.0809576
Naděje dožití (ex);Hlavní město Praha;muži;7;2002-2003;67.0596054
Naděje dožití (ex);Hlavní město Praha;muži;7;2003-2004;67.43566965
Naděje dožití (ex);Hlavní město Praha;muži;7;2004-2005;68.03947968
Naděje dožití (ex);Hlavní město Praha;muži;7;2005-2006;68.49787421
Naděje dožití (ex);Hlavní město Praha;muži;7;2006-2007;68.86557977
Naděje dožití (ex);Hlavní město Praha;muži;7;2007-2008;69.13937897
Naděje dožití (ex);Hlavní město Praha;muži;7;2008-2009;69.43869015
Naděje dožití (ex);Hlavní město Praha;muži;7;2009-2010;69.53102157
Naděje dožití (ex);Hlavní město Praha;muži;7;2010-2011;69.77940831
Naděje dožití (ex);Hlavní město Praha;muži;7;2011-2012;70.11110388
Naděje dožití (ex);Hlavní město Praha;muži;7;2012-2013;70.38251026
Naděje dožití (ex);Hlavní město Praha;muži;7;2013-2014;70.62626495
Naděje dožití (ex);Hlavní město Praha;muži;7;2014-2015;70.75428802
Naděje dožití (ex);Hlavní město Praha;muži;7;2015-2016;70.94236711
Naděje dožití (ex);Hlavní město Praha;muži;7;2016-2017;71.26014097
Naděje dožití (ex);Hlavní město Praha;muži;7;2017-2018;71.4612271254
Naděje dožití (ex);Hlavní město Praha;muži;7;2018-2019;71.5861856698
Naděje dožití (ex);Hlavní město Praha;muži;7;2019-2020;71.3273111466
Naděje dožití (ex);Hlavní město Praha;muži;7;2020-2021;70.2511865518
Naděje dožití (ex);Hlavní město Praha;muži;7;2021-2022;70.2937270415
Naděje dožití (ex);Hlavní město Praha;muži;7;2022-2023;71.41829179
Naděje dožití (ex);Hlavní město Praha;muži;8;2001-2002;66.08726755
Naděje dožití (ex);Hlavní město Praha;muži;8;2002-2003;66.06556433
Naděje dožití (ex);Hlavní město Praha;muži;8;2003-2004;66.43983024
Naděje dožití (ex);Hlavní město Praha;muži;8;2004-2005;67.04279978
Naděje dožití (ex);Hlavní město Praha;muži;8;2005-2006;67.5081796
Naděje dožití (ex);Hlavní město Praha;muži;8;2006-2007;67.87539395
Naděje dožití (ex);Hlavní město Praha;muži;8;2007-2008;68.14575257
Naděje dožití (ex);Hlavní město Praha;muži;8;2008-2009;68.4447786
Naděje dožití (ex);Hlavní město Praha;muži;8;2009-2010;68.53564497
Naděje dožití (ex);Hlavní město Praha;muži;8;2010-2011;68.78506225
Naděje dožití (ex);Hlavní město Praha;muži;8;2011-2012;69.11679906
Naděje dožití (ex);Hlavní město Praha;muži;8;2012-2013;69.38412345
Naděje dožití (ex);Hlavní město Praha;muži;8;2013-2014;69.62945399
Naděje dožití (ex);Hlavní město Praha;muži;8;2014-2015;69.76039385
Naděje dožití (ex);Hlavní město Praha;muži;8;2015-2016;69.94792373
Naděje dožití (ex);Hlavní město Praha;muži;8;2016-2017;70.26621405
Naděje dožití (ex);Hlavní město Praha;muži;8;2017-2018;70.4663445882
Naděje dožití (ex);Hlavní město Praha;muži;8;2018-2019;70.5909808572
Naděje dožití (ex);Hlavní město Praha;muži;8;2019-2020;70.329496634
Naděje dožití (ex);Hlavní město Praha;muži;8;2020-2021;69.2518401739
Naděje dožití (ex);Hlavní město Praha;muži;8;2021-2022;69.2952075422
Naděje dožití (ex);Hlavní město Praha;muži;8;2022-2023;70.4220223
Naděje dožití (ex);Hlavní město Praha;muži;9;2001-2002;65.09442297
Naděje dožití (ex);Hlavní město Praha;muži;9;2002-2003;65.07184094
Naděje dožití (ex);Hlavní město Praha;muži;9;2003-2004;65.44426833
Naděje dožití (ex);Hlavní město Praha;muži;9;2004-2005;66.0460318
Naděje dožití (ex);Hlavní město Praha;muži;9;2005-2006;66.51723436
Naděje dožití (ex);Hlavní město Praha;muži;9;2006-2007;66.88474163
Naděje dožití (ex);Hlavní město Praha;muži;9;2007-2008;67.15273315
Naděje dožití (ex);Hlavní město Praha;muži;9;2008-2009;67.45141501
Naděje dožití (ex);Hlavní město Praha;muži;9;2009-2010;67.54004165
Naděje dožití (ex);Hlavní město Praha;muži;9;2010-2011;67.78985489
Naděje dožití (ex);Hlavní město Praha;muži;9;2011-2012;68.12229967
Naděje dožití (ex);Hlavní město Praha;muži;9;2012-2013;68.38628414
Naděje dožití (ex);Hlavní město Praha;muži;9;2013-2014;68.63292582
Naděje dožití (ex);Hlavní město Praha;muži;9;2014-2015;68.76701971
Naděje dožití (ex);Hlavní město Praha;muži;9;2015-2016;68.95402719
Naděje dožití (ex);Hlavní město Praha;muži;9;2016-2017;69.27145703
Naděje dožití (ex);Hlavní město Praha;muži;9;2017-2018;69.4706870677
Naděje dožití (ex);Hlavní město Praha;muži;9;2018-2019;69.5978406555
Naděje dožití (ex);Hlavní město Praha;muži;9;2019-2020;69.3332466874
Naděje dožití (ex);Hlavní město Praha;muži;9;2020-2021;68.2525883966
Naděje dožití (ex);Hlavní město Praha;muži;9;2021-2022;68.2968740426
Naděje dožití (ex);Hlavní město Praha;muži;9;2022-2023;69.42554962
Naděje dožití (ex);Hlavní město Praha;muži;10;2001-2002;64.10250634
Naděje dožití (ex);Hlavní město Praha;muži;10;2002-2003;64.07859512
Naděje dožití (ex);Hlavní město Praha;muži;10;2003-2004;64.44936099
Naděje dožití (ex);Hlavní město Praha;muži;10;2004-2005;65.04947757
Naděje dožití (ex);Hlavní město Praha;muži;10;2005-2006;65.52558467
Naděje dožití (ex);Hlavní město Praha;muži;10;2006-2007;65.89367065
Naděje dožití (ex);Hlavní město Praha;muži;10;2007-2008;66.1605814
Naděje dožití (ex);Hlavní město Praha;muži;10;2008-2009;66.45874953
Naděje dožití (ex);Hlavní město Praha;muži;10;2009-2010;66.54455351
Naděje dožití (ex);Hlavní město Praha;muži;10;2010-2011;66.7943224
Naděje dožití (ex);Hlavní město Praha;muži;10;2011-2012;67.12793188
Naděje dožití (ex);Hlavní město Praha;muži;10;2012-2013;67.38930942
Naděje dožití (ex);Hlavní město Praha;muži;10;2013-2014;67.6369234
Naděje dožití (ex);Hlavní město Praha;muži;10;2014-2015;67.7738113
Naděje dožití (ex);Hlavní město Praha;muži;10;2015-2016;67.96055209
Naděje dožití (ex);Hlavní město Praha;muži;10;2016-2017;68.27617615
Naděje dožití (ex);Hlavní město Praha;muži;10;2017-2018;68.4745796864
Naděje dožití (ex);Hlavní město Praha;muži;10;2018-2019;68.6066051742
Naděje dožití (ex);Hlavní město Praha;muži;10;2019-2020;68.3390439626
Naděje dožití (ex);Hlavní město Praha;muži;10;2020-2021;67.2536886485
Naděje dožití (ex);Hlavní město Praha;muži;10;2021-2022;67.2991795256
Naděje dožití (ex);Hlavní město Praha;muži;10;2022-2023;68.42925072
Naděje dožití (ex);Hlavní město Praha;muži;11;2001-2002;63.11145685
Naděje dožití (ex);Hlavní město Praha;muži;11;2002-2003;63.0860483
Naděje dožití (ex);Hlavní město Praha;muži;11;2003-2004;63.45550704
Naděje dožití (ex);Hlavní město Praha;muži;11;2004-2005;64.05347045
Naděje dožití (ex);Hlavní město Praha;muži;11;2005-2006;64.5338358
Naděje dožití (ex);Hlavní město Praha;muži;11;2006-2007;64.90223057
Naděje dožití (ex);Hlavní město Praha;muži;11;2007-2008;65.1694321
Naděje dožití (ex);Hlavní město Praha;muži;11;2008-2009;65.46696037
Naděje dožití (ex);Hlavní město Praha;muži;11;2009-2010;65.54957093
Naděje dožití (ex);Hlavní město Praha;muži;11;2010-2011;65.79885998
Naděje dožití (ex);Hlavní město Praha;muži;11;2011-2012;66.13396003
Naděje dožití (ex);Hlavní město Praha;muži;11;2012-2013;66.39356385
Naděje dožití (ex);Hlavní město Praha;muži;11;2013-2014;66.64171125
Naděje dožití (ex);Hlavní město Praha;muži;11;2014-2015;66.78043581
Naděje dožití (ex);Hlavní město Praha;muži;11;2015-2016;66.96727591
Naděje dožití (ex);Hlavní město Praha;muži;11;2016-2017;67.28072883
Naděje dožití (ex);Hlavní město Praha;muži;11;2017-2018;67.4782667855
Naděje dožití (ex);Hlavní město Praha;muži;11;2018-2019;67.6158299657
Naděje dožití (ex);Hlavní město Praha;muži;11;2019-2020;67.3460837824
Naděje dožití (ex);Hlavní město Praha;muži;11;2020-2021;66.2554931414
Naděje dožití (ex);Hlavní město Praha;muži;11;2021-2022;66.3026573754
Naděje dožití (ex);Hlavní město Praha;muži;11;2022-2023;67.43348214
Naděje dožití (ex);Hlavní město Praha;muži;12;2001-2002;62.12119385
Naděje dožití (ex);Hlavní město Praha;muži;12;2002-2003;62.09449171
Naděje dožití (ex);Hlavní město Praha;muži;12;2003-2004;62.46316146
Naděje dožití (ex);Hlavní město Praha;muži;12;2004-2005;63.05843228
Naděje dožití (ex);Hlavní město Praha;muži;12;2005-2006;63.5425934
Naděje dožití (ex);Hlavní město Praha;muži;12;2006-2007;63.91078395
Naděje dožití (ex);Hlavní město Praha;muži;12;2007-2008;64.17940518
Naděje dožití (ex);Hlavní město Praha;muži;12;2008-2009;64.47622151
Naděje dožití (ex);Hlavní město Praha;muži;12;2009-2010;64.5555101
Naděje dožití (ex);Hlavní město Praha;muži;12;2010-2011;64.80384413
Naděje dožití (ex);Hlavní město Praha;muži;12;2011-2012;65.14062549
Naděje dožití (ex);Hlavní město Praha;muži;12;2012-2013;65.39945751
Naděje dožití (ex);Hlavní město Praha;muži;12;2013-2014;65.6476479
Naděje dožití (ex);Hlavní město Praha;muži;12;2014-2015;65.78692777
Naděje dožití (ex);Hlavní město Praha;muži;12;2015-2016;65.97411486
Naděje dožití (ex);Hlavní město Praha;muži;12;2016-2017;66.28536008
Naděje dožití (ex);Hlavní město Praha;muži;12;2017-2018;66.4819572434
Naděje dožití (ex);Hlavní město Praha;muži;12;2018-2019;66.6245916379
Naděje dožití (ex);Hlavní město Praha;muži;12;2019-2020;66.3532115319
Naděje dožití (ex);Hlavní město Praha;muži;12;2020-2021;65.2584165553
Naděje dožití (ex);Hlavní město Praha;muži;12;2021-2022;65.3079267307
Naděje dožití (ex);Hlavní město Praha;muži;12;2022-2023;66.4385861
Naděje dožití (ex);Hlavní město Praha;muži;13;2001-2002;61.13165363
Naděje dožití (ex);Hlavní město Praha;muži;13;2002-2003;61.10431871
Naděje dožití (ex);Hlavní město Praha;muži;13;2003-2004;61.47282328
Naděje dožití (ex);Hlavní město Praha;muži;13;2004-2005;62.06495518
Naděje dožití (ex);Hlavní město Praha;muži;13;2005-2006;62.55257889
Naděje dožití (ex);Hlavní město Praha;muži;13;2006-2007;62.92000786
Naděje dožití (ex);Hlavní město Praha;muži;13;2007-2008;63.1906039
Naděje dožití (ex);Hlavní město Praha;muži;13;2008-2009;63.48669196
Naděje dožití (ex);Hlavní město Praha;muži;13;2009-2010;63.56285512
Naděje dožití (ex);Hlavní město Praha;muži;13;2010-2011;63.80971596
Naděje dožití (ex);Hlavní město Praha;muži;13;2011-2012;64.14815399
Naděje dožití (ex);Hlavní město Praha;muži;13;2012-2013;64.40736043
Naděje dožití (ex);Hlavní město Praha;muži;13;2013-2014;64.65523019
Naděje dožití (ex);Hlavní město Praha;muži;13;2014-2015;64.7936568
Naděje dožití (ex);Hlavní město Praha;muži;13;2015-2016;64.98114969
Naděje dožití (ex);Hlavní město Praha;muži;13;2016-2017;65.29025118
Naděje dožití (ex);Hlavní město Praha;muži;13;2017-2018;65.4858601457
Naděje dožití (ex);Hlavní město Praha;muži;13;2018-2019;65.6328234909
Naděje dožití (ex);Hlavní město Praha;muži;13;2019-2020;65.3596633636
Naděje dožití (ex);Hlavní město Praha;muži;13;2020-2021;64.2626178277
Naděje dožití (ex);Hlavní město Praha;muži;13;2021-2022;64.315373771
Naděje dožití (ex);Hlavní město Praha;muži;13;2022-2023;65.44488358
Naděje dožití (ex);Hlavní město Praha;muži;14;2001-2002;60.14302974
Naděje dožití (ex);Hlavní město Praha;muži;14;2002-2003;60.11604444
Naděje dožití (ex);Hlavní město Praha;muži;14;2003-2004;60.48505566
Naděje dožití (ex);Hlavní město Praha;muži;14;2004-2005;61.07390427
Naděje dožití (ex);Hlavní město Praha;muži;14;2005-2006;61.56460558
Naděje dožití (ex);Hlavní město Praha;muži;14;2006-2007;61.93070081
Naděje dožití (ex);Hlavní město Praha;muži;14;2007-2008;62.20317415
Naděje dožití (ex);Hlavní město Praha;muži;14;2008-2009;62.49853168
Naděje dožití (ex);Hlavní město Praha;muži;14;2009-2010;62.57216094
Naděje dožití (ex);Hlavní město Praha;muži;14;2010-2011;62.81701674
Naděje dožití (ex);Hlavní město Praha;muži;14;2011-2012;63.15677162
Naděje dožití (ex);Hlavní město Praha;muži;14;2012-2013;63.41756201
Naděje dožití (ex);Hlavní město Praha;muži;14;2013-2014;63.66508904
Naděje dožití (ex);Hlavní město Praha;muži;14;2014-2015;63.80111612
Naděje dožití (ex);Hlavní město Praha;muži;14;2015-2016;63.98862244
Naděje dožití (ex);Hlavní město Praha;muži;14;2016-2017;64.29563643
Naděje dožití (ex);Hlavní město Praha;muži;14;2017-2018;64.4902162106
Naděje dožití (ex);Hlavní město Praha;muži;14;2018-2019;64.6408693648
Naděje dožití (ex);Hlavní město Praha;muži;14;2019-2020;64.3654860982
Naděje dožití (ex);Hlavní město Praha;muži;14;2020-2021;63.2680570039
Naděje dožití (ex);Hlavní město Praha;muži;14;2021-2022;63.3251139639
Naděje dožití (ex);Hlavní město Praha;muži;14;2022-2023;64.45271561
Naděje dožití (ex);Hlavní město Praha;muži;15;2001-2002;59.15601319
Naděje dožití (ex);Hlavní město Praha;muži;15;2002-2003;59.13033663
Naděje dožití (ex);Hlavní město Praha;muži;15;2003-2004;59.50049174
Naděje dožití (ex);Hlavní město Praha;muži;15;2004-2005;60.08654462
Naděje dožití (ex);Hlavní město Praha;muži;15;2005-2006;60.57951302
Naděje dožití (ex);Hlavní město Praha;muži;15;2006-2007;60.94369849
Naděje dožití (ex);Hlavní město Praha;muži;15;2007-2008;61.21736675
Naděje dožití (ex);Hlavní město Praha;muži;15;2008-2009;61.51191432
Naděje dožití (ex);Hlavní město Praha;muži;15;2009-2010;61.58399834
Naděje dožití (ex);Hlavní město Praha;muži;15;2010-2011;61.82640394
Naděje dožití (ex);Hlavní město Praha;muži;15;2011-2012;62.16670821
Naděje dožití (ex);Hlavní město Praha;muži;15;2012-2013;62.4302524
Naděje dožití (ex);Hlavní město Praha;muži;15;2013-2014;62.67794089
Naděje dožití (ex);Hlavní město Praha;muži;15;2014-2015;62.80986485
Naděje dožití (ex);Hlavní město Praha;muži;15;2015-2016;62.99697722
Naděje dožití (ex);Hlavní město Praha;muži;15;2016-2017;63.30191053
Naděje dožití (ex);Hlavní město Praha;muži;15;2017-2018;63.4953381181
Naděje dožití (ex);Hlavní město Praha;muži;15;2018-2019;63.6492821166
Naděje dožití (ex);Hlavní město Praha;muži;15;2019-2020;63.3714554896
Naděje dožití (ex);Hlavní město Praha;muži;15;2020-2021;62.2749440647
Naděje dožití (ex);Hlavní město Praha;muži;15;2021-2022;62.3372381733
Naděje dožití (ex);Hlavní město Praha;muži;15;2022-2023;63.46247573
Naděje dožití (ex);Hlavní město Praha;muži;16;2001-2002;58.17198839
Naděje dožití (ex);Hlavní město Praha;muži;16;2002-2003;58.1480409
Naděje dožití (ex);Hlavní město Praha;muži;16;2003-2004;58.51977183
Naděje dožití (ex);Hlavní město Praha;muži;16;2004-2005;59.10462613
Naděje dožití (ex);Hlavní město Praha;muži;16;2005-2006;59.59806749
Naděje dožití (ex);Hlavní město Praha;muži;16;2006-2007;59.95986105
Naděje dožití (ex);Hlavní město Praha;muži;16;2007-2008;60.23355667
Naděje dožití (ex);Hlavní město Praha;muži;16;2008-2009;60.5270237
Naděje dožití (ex);Hlavní město Praha;muži;16;2009-2010;60.5988441
Naděje dožití (ex);Hlavní město Praha;muži;16;2010-2011;60.83864121
Naděje dožití (ex);Hlavní město Praha;muži;16;2011-2012;61.17818339
Naděje dožití (ex);Hlavní město Praha;muži;16;2012-2013;61.44548247
