ČR a kraje,Ukazatel,Pohlaví,Čtvrtletí,Postavení v zaměstnání,value
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2021,Celkem,5259.4301324
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2021,"Zaměstnanci, členové produkčních družstev",4422.9211105
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2021,Zaměstnavatelé,135.7510563
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2021,Osoby pracující na vlastní účet,680.5702115
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2021,Pomáhající rodinní příslušníci,20.1877541
Česko,Zaměstnaní (tis. osob),Celkem,4. čtvrtletí 2021,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2021,Celkem,5257.1994241
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2021,"Zaměstnanci, členové produkčních družstev",4421.8848101
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2021,Zaměstnavatelé,136.8524675
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2021,Osoby pracující na vlastní účet,677.5519924
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2021,Pomáhající rodinní příslušníci,20.9101541
Česko,Zaměstnaní (tis. osob),Celkem,3. čtvrtletí 2021,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2021,Celkem,5171.2639282
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2021,"Zaměstnanci, členové produkčních družstev",4352.3496782
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2021,Zaměstnavatelé,139.0701729
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2021,Osoby pracující na vlastní účet,658.892447
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2021,Pomáhající rodinní příslušníci,20.9516301
Česko,Zaměstnaní (tis. osob),Celkem,2. čtvrtletí 2021,Nezjištěno,0.0
