Odvětví CZ-NACE,Území,Ukazatel,Roky,value
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2006,17471.4543412154
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2007,19096.7272522979
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2008,20701.9551628312
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2009,20867.7338910178
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2010,21363.5787168928
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2011,21983.014236482
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2012,22395.9517701203
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2013,22206.3350213747
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2014,22947.7710462311
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2015,24003.641113174
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2016,25223.4427639426
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2017,27066.5865411255
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2018,28962.9555608719
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2019,30912.5456569148
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2020,31686.8438215177
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2021,32763.557394048
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2022,35679.29413123
G Obchod,Česko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),2023,38195.0224025497
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2005,2939872.56511299
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2006,3185724.44597551
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2007,3479170.55502912
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2008,3719140.54270178
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2009,3294271.66830006
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2010,3418805.38918571
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2011,3572822.35316203
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2012,3615213.8338137
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2013,3673879.66824712
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2014,3794411.96053014
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2015,3920854.83859763
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2016,3941440.26929903
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2017,4202932.75368946
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2018,4377062.82828774
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2019,4521618.47929953
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2020,4471647.40485091
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2021,5313912.5297559
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2022,6769783.41048093
G Obchod,Česko,Čistý obrat (Výnosy celkem) (mil. Kč),2023,6462471.189056862
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2005,2824678.72442263
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2006,3061910.7679048
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2007,3353061.40067226
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2008,3543289.83411581
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2009,3149975.08032863
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2010,3293017.91773663
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2011,3439762.14213011
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2012,3484128.15796511
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2013,3533013.04822829
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2014,3652983.39980214
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2015,3752354.31643371
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2016,3772953.4849838
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2017,3997561.09504119
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2018,4161368.77366151
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2019,4298477.00727429
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2020,4232447.52839737
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2021,5064428.53670052
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2022,6201450.20706826
G Obchod,Česko,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2023,5881669.752842259
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2005,2647662.09619281
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2006,2883140.84940864
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2007,3155860.46549455
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2008,3307899.64939937
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2009,2925080.48547409
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2010,3048254.05478798
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2011,3184808.74574691
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2012,3218091.14059511
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2013,3255665.18013684
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2014,3373191.20147096
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2015,3465645.17735498
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2016,3487418.97010202
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2017,3697030.87197178
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2018,3854526.49694661
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2019,3972323.21103668
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2020,3915482.57756746
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2021,4717511.64405594
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2022,5803510.81226831
G Obchod,Česko,Tržby za prodej zboží (mil. Kč),2023,5471655.290770377
G Obchod,Česko,Náklady celkem (mil. Kč),2005,2880071.073472
G Obchod,Česko,Náklady celkem (mil. Kč),2006,3107893.53397399
G Obchod,Česko,Náklady celkem (mil. Kč),2007,3384155.93562517
G Obchod,Česko,Náklady celkem (mil. Kč),2008,3620550.4655504
G Obchod,Česko,Náklady celkem (mil. Kč),2009,3232253.71253585
G Obchod,Česko,Náklady celkem (mil. Kč),2010,3347731.07866825
G Obchod,Česko,Náklady celkem (mil. Kč),2011,3500648.87853831
G Obchod,Česko,Náklady celkem (mil. Kč),2012,3549607.8719842
G Obchod,Česko,Náklady celkem (mil. Kč),2013,3608938.51722365
G Obchod,Česko,Náklady celkem (mil. Kč),2014,3714214.29770464
G Obchod,Česko,Náklady celkem (mil. Kč),2015,3815254.49131982
G Obchod,Česko,Náklady celkem (mil. Kč),2016,3829272.64328402
G Obchod,Česko,Náklady celkem (mil. Kč),2017,4074218.73203714
G Obchod,Česko,Náklady celkem (mil. Kč),2018,4245550.2024499
G Obchod,Česko,Náklady celkem (mil. Kč),2019,4397258.29337305
G Obchod,Česko,Náklady celkem (mil. Kč),2020,4340725.74075561
G Obchod,Česko,Náklady celkem (mil. Kč),2021,5132066.11205381
G Obchod,Česko,Náklady celkem (mil. Kč),2022,6546424.11149466
G Obchod,Česko,Náklady celkem (mil. Kč),2023,6280579.566261728
G Obchod,Česko,Obchodní marže (mil. Kč),2005,409448.420877127
G Obchod,Česko,Obchodní marže (mil. Kč),2006,449850.594341314
G Obchod,Česko,Obchodní marže (mil. Kč),2007,489581.536567985
G Obchod,Česko,Obchodní marže (mil. Kč),2008,531618.862071377
G Obchod,Česko,Obchodní marže (mil. Kč),2009,471680.791034671
G Obchod,Česko,Obchodní marže (mil. Kč),2010,487069.588138372
G Obchod,Česko,Obchodní marže (mil. Kč),2011,496572.270215795
G Obchod,Česko,Obchodní marže (mil. Kč),2012,487746.239994287
G Obchod,Česko,Obchodní marže (mil. Kč),2013,484898.035291431
G Obchod,Česko,Obchodní marže (mil. Kč),2014,509533.379177764
G Obchod,Česko,Obchodní marže (mil. Kč),2015,539724.753850207
G Obchod,Česko,Obchodní marže (mil. Kč),2016,571195.50477497
G Obchod,Česko,Obchodní marže (mil. Kč),2017,618333.322929644
G Obchod,Česko,Obchodní marže (mil. Kč),2018,659769.645381237
G Obchod,Česko,Obchodní marže (mil. Kč),2019,690461.380127671
G Obchod,Česko,Obchodní marže (mil. Kč),2020,698658.211891481
G Obchod,Česko,Obchodní marže (mil. Kč),2021,808756.687477388
G Obchod,Česko,Obchodní marže (mil. Kč),2022,929441.430403766
G Obchod,Česko,Obchodní marže (mil. Kč),2023,921977.8759699792
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2005,15.4645270432
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2006,15.6027963196
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2007,15.5134088443
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2008,16.0711907378
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2009,16.1253952969
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2010,15.9786415234
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2011,15.5919023671
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2012,15.1563836661
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2013,14.8939773737
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2014,15.1053808914
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2015,15.5735721988
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2016,16.3787462783
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2017,16.7251327983
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2018,17.1167495127
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2019,17.3818026239
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2020,17.8434764566
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2021,17.1437136461
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2022,16.0151580736
G Obchod,Česko,Podíl obchodní marže na tržbách za zboží (%),2023,16.8500723634
G Obchod,Česko,Přidaná hodnota (mil. Kč),2005,280843.217121115
G Obchod,Česko,Přidaná hodnota (mil. Kč),2006,319387.308129694
G Obchod,Česko,Přidaná hodnota (mil. Kč),2007,336322.388332276
G Obchod,Česko,Přidaná hodnota (mil. Kč),2008,346203.111676683
G Obchod,Česko,Přidaná hodnota (mil. Kč),2009,301423.262252582
G Obchod,Česko,Přidaná hodnota (mil. Kč),2010,319493.519368042
G Obchod,Česko,Přidaná hodnota (mil. Kč),2011,326847.268066166
G Obchod,Česko,Přidaná hodnota (mil. Kč),2012,321864.578223228
G Obchod,Česko,Přidaná hodnota (mil. Kč),2013,325024.994532525
G Obchod,Česko,Přidaná hodnota (mil. Kč),2014,348094.621268034
G Obchod,Česko,Přidaná hodnota (mil. Kč),2015,379225.208206026
G Obchod,Česko,Přidaná hodnota (mil. Kč),2016,394671.068225182
G Obchod,Česko,Přidaná hodnota (mil. Kč),2017,432276.055100895
G Obchod,Česko,Přidaná hodnota (mil. Kč),2018,463340.372812997
G Obchod,Česko,Přidaná hodnota (mil. Kč),2019,487291.498843857
G Obchod,Česko,Přidaná hodnota (mil. Kč),2020,492401.293640408
G Obchod,Česko,Přidaná hodnota (mil. Kč),2021,579528.004698883
G Obchod,Česko,Přidaná hodnota (mil. Kč),2022,653689.19909598
G Obchod,Česko,Přidaná hodnota (mil. Kč),2023,643843.0101397384
