Území;Ukazatel;Typ indexu;Očištění;CZ-NACE;Čtvrtletí;value
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2014;106.8976981809
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2013;104.987385491
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2013;103.6761247925
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2013;97.2020851814
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2013;94.139183496
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2012;95.9040774535
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2012;99.1222814503
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2012;99.1771166759
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2012;102.6186489577
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2011;102.646439898
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2011;102.347003583
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2011;108.1948772109
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2011;110.8358647056
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2010;110.3550346883
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2010;109.6704963334
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2010;109.5900559781
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2010;104.7410351385
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2009;97.7044147178
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2009;86.2979773962
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2009;80.8162638898
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2009;81.8400046753
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2008;86.8178797083
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2008;100.7864652612
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;2. čtvrtletí 2008;103.8616349313
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;1. čtvrtletí 2008;102.0984824126
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;4. čtvrtletí 2007;108.7794680891
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;3. čtvrtletí 2007;109.5171333524
