Území;Roky;Druh cesty ;Způsob dopravy;Ukazatel;Pohlaví;value
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Vlak;Náklady (Kč);Muži;1205266115.5
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Vlak;Náklady (Kč);Ženy;1398380582.3
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Letadlo;Počet cest;Celkem;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Letadlo;Počet cest;Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Letadlo;Počet cest;Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Letadlo;Počet přenocování;Celkem;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Letadlo;Počet přenocování;Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Letadlo;Počet přenocování;Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Letadlo;Náklady (Kč);Celkem;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Letadlo;Náklady (Kč);Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Letadlo;Náklady (Kč);Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Loď;Počet cest;Celkem;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Loď;Počet cest;Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Loď;Počet cest;Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Loď;Počet přenocování;Celkem;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Loď;Počet přenocování;Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Loď;Počet přenocování;Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Loď;Náklady (Kč);Celkem;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Loď;Náklady (Kč);Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Loď;Náklady (Kč);Ženy;
Česko;2023;Služební cesty;Celkem;Počet cest;Celkem;1033667.8684
Česko;2023;Služební cesty;Celkem;Počet cest;Muži;727199.55155
Česko;2023;Služební cesty;Celkem;Počet cest;Ženy;306468.31683
Česko;2023;Služební cesty;Celkem;Počet přenocování;Celkem;2344955.4802
Česko;2023;Služební cesty;Celkem;Počet přenocování;Muži;1699161.0417
Česko;2023;Služební cesty;Celkem;Počet přenocování;Ženy;645794.43854
Česko;2023;Služební cesty;Celkem;Náklady (Kč);Celkem;9372930764.5
Česko;2023;Služební cesty;Celkem;Náklady (Kč);Muži;7822053573.7
Česko;2023;Služební cesty;Celkem;Náklady (Kč);Ženy;1550877190.7
Česko;2023;Služební cesty;Osobní motorové vozidlo;Počet cest;Celkem;672598.88301
Česko;2023;Služební cesty;Osobní motorové vozidlo;Počet cest;Muži;
Česko;2023;Služební cesty;Osobní motorové vozidlo;Počet cest;Ženy;
Česko;2023;Služební cesty;Osobní motorové vozidlo;Počet přenocování;Celkem;1240689.2166
Česko;2023;Služební cesty;Osobní motorové vozidlo;Počet přenocování;Muži;
Česko;2023;Služební cesty;Osobní motorové vozidlo;Počet přenocování;Ženy;
Česko;2023;Služební cesty;Osobní motorové vozidlo;Náklady (Kč);Celkem;3700538886.9
Česko;2023;Služební cesty;Osobní motorové vozidlo;Náklady (Kč);Muži;
Česko;2023;Služební cesty;Osobní motorové vozidlo;Náklady (Kč);Ženy;
Česko;2023;Služební cesty;Autobus;Počet cest;Celkem;
Česko;2023;Služební cesty;Autobus;Počet cest;Muži;
Česko;2023;Služební cesty;Autobus;Počet cest;Ženy;
Česko;2023;Služební cesty;Autobus;Počet přenocování;Celkem;
Česko;2023;Služební cesty;Autobus;Počet přenocování;Muži;
Česko;2023;Služební cesty;Autobus;Počet přenocování;Ženy;
Česko;2023;Služební cesty;Autobus;Náklady (Kč);Celkem;
Česko;2023;Služební cesty;Autobus;Náklady (Kč);Muži;
Česko;2023;Služební cesty;Autobus;Náklady (Kč);Ženy;
Česko;2023;Služební cesty;Jízdní kolo;Počet cest;Celkem;
Česko;2023;Služební cesty;Jízdní kolo;Počet cest;Muži;
Česko;2023;Služební cesty;Jízdní kolo;Počet cest;Ženy;
Česko;2023;Služební cesty;Jízdní kolo;Počet přenocování;Celkem;
Česko;2023;Služební cesty;Jízdní kolo;Počet přenocování;Muži;
Česko;2023;Služební cesty;Jízdní kolo;Počet přenocování;Ženy;
Česko;2023;Služební cesty;Jízdní kolo;Náklady (Kč);Celkem;
Česko;2023;Služební cesty;Jízdní kolo;Náklady (Kč);Muži;
Česko;2023;Služební cesty;Jízdní kolo;Náklady (Kč);Ženy;
Česko;2023;Služební cesty;Vlak;Počet cest;Celkem;
Česko;2023;Služební cesty;Vlak;Počet cest;Muži;
Česko;2023;Služební cesty;Vlak;Počet cest;Ženy;
Česko;2023;Služební cesty;Vlak;Počet přenocování;Celkem;
Česko;2023;Služební cesty;Vlak;Počet přenocování;Muži;
Česko;2023;Služební cesty;Vlak;Počet přenocování;Ženy;
Česko;2023;Služební cesty;Vlak;Náklady (Kč);Celkem;
Česko;2023;Služební cesty;Vlak;Náklady (Kč);Muži;
Česko;2023;Služební cesty;Vlak;Náklady (Kč);Ženy;
Česko;2023;Služební cesty;Letadlo;Počet cest;Celkem;
Česko;2023;Služební cesty;Letadlo;Počet cest;Muži;
Česko;2023;Služební cesty;Letadlo;Počet cest;Ženy;
Česko;2023;Služební cesty;Letadlo;Počet přenocování;Celkem;
Česko;2023;Služební cesty;Letadlo;Počet přenocování;Muži;
Česko;2023;Služební cesty;Letadlo;Počet přenocování;Ženy;
Česko;2023;Služební cesty;Letadlo;Náklady (Kč);Celkem;
Česko;2023;Služební cesty;Letadlo;Náklady (Kč);Muži;
Česko;2023;Služební cesty;Letadlo;Náklady (Kč);Ženy;
Česko;2023;Služební cesty;Loď;Počet cest;Celkem;
Česko;2023;Služební cesty;Loď;Počet cest;Muži;
Česko;2023;Služební cesty;Loď;Počet cest;Ženy;
Česko;2023;Služební cesty;Loď;Počet přenocování;Celkem;
Česko;2023;Služební cesty;Loď;Počet přenocování;Muži;
Česko;2023;Služební cesty;Loď;Počet přenocování;Ženy;
Česko;2023;Služební cesty;Loď;Náklady (Kč);Celkem;
Česko;2023;Služební cesty;Loď;Náklady (Kč);Muži;
Česko;2023;Služební cesty;Loď;Náklady (Kč);Ženy;
