Roky,Kategorie ubytovacího zařízení,Oblasti destinačního managementu nečleněné,Rezidence,Ukazatel,value
2024,HUZ celkem,Praha,Kanada,Počet hostů,74945.0
2024,HUZ celkem,Praha,Kanada,Počet přenocování,200688.0
2024,HUZ celkem,Praha,Kanada,Průměrný počet přenocování ,2.6778037227
2024,HUZ celkem,Praha,Spojené státy,Počet hostů,493852.0
2024,HUZ celkem,Praha,Spojené státy,Počet přenocování,1263967.0
2024,HUZ celkem,Praha,Spojené státy,Průměrný počet přenocování ,2.559404437
2024,HUZ celkem,Praha,Brazílie,Počet hostů,49596.0
2024,HUZ celkem,Praha,Brazílie,Počet přenocování,127036.0
2024,HUZ celkem,Praha,Brazílie,Průměrný počet přenocování ,2.5614162432
2024,HUZ celkem,Praha,Mexiko,Počet hostů,49110.0
2024,HUZ celkem,Praha,Mexiko,Počet přenocování,119048.0
2024,HUZ celkem,Praha,Mexiko,Průměrný počet přenocování ,2.4241091427
2024,HUZ celkem,Praha,Argentina,Počet hostů,16721.0
2024,HUZ celkem,Praha,Argentina,Počet přenocování,41386.0
2024,HUZ celkem,Praha,Argentina,Průměrný počet přenocování ,2.4750912027
2024,HUZ celkem,Praha,Ostatní americké země,Počet hostů,60575.0
2024,HUZ celkem,Praha,Ostatní americké země,Počet přenocování,142930.0
2024,HUZ celkem,Praha,Ostatní americké země,Průměrný počet přenocování ,2.3595542716
2024,HUZ celkem,Praha,Čína,Počet hostů,119377.0
2024,HUZ celkem,Praha,Čína,Počet přenocování,215718.0
2024,HUZ celkem,Praha,Čína,Průměrný počet přenocování ,1.8070315052
2024,HUZ celkem,Praha,Indie,Počet hostů,71575.0
2024,HUZ celkem,Praha,Indie,Počet přenocování,170044.0
2024,HUZ celkem,Praha,Indie,Průměrný počet přenocování ,2.3757457213
2024,HUZ celkem,Praha,Izrael,Počet hostů,151348.0
2024,HUZ celkem,Praha,Izrael,Počet přenocování,489644.0
2024,HUZ celkem,Praha,Izrael,Průměrný počet přenocování ,3.2352194941
2024,HUZ celkem,Praha,Japonsko,Počet hostů,53297.0
2024,HUZ celkem,Praha,Japonsko,Počet přenocování,108115.0
2024,HUZ celkem,Praha,Japonsko,Průměrný počet přenocování ,2.0285381916
2024,HUZ celkem,Praha,Korejská republika,Počet hostů,170931.0
2024,HUZ celkem,Praha,Korejská republika,Počet přenocování,313007.0
2024,HUZ celkem,Praha,Korejská republika,Průměrný počet přenocování ,1.8311891933
2024,HUZ celkem,Praha,Tchaj-wan,Počet hostů,79925.0
2024,HUZ celkem,Praha,Tchaj-wan,Počet přenocování,178642.0
2024,HUZ celkem,Praha,Tchaj-wan,Průměrný počet přenocování ,2.2351204254
2024,HUZ celkem,Praha,Saúdská Arábie,Počet hostů,31990.0
2024,HUZ celkem,Praha,Saúdská Arábie,Počet přenocování,85708.0
2024,HUZ celkem,Praha,Saúdská Arábie,Průměrný počet přenocování ,2.6792122538
2024,HUZ celkem,Praha,Spojené arabské emiráty,Počet hostů,23541.0
2024,HUZ celkem,Praha,Spojené arabské emiráty,Počet přenocování,62535.0
2024,HUZ celkem,Praha,Spojené arabské emiráty,Průměrný počet přenocování ,2.6564292086
2024,HUZ celkem,Praha,Thajsko,Počet hostů,11366.0
2024,HUZ celkem,Praha,Thajsko,Počet přenocování,20814.0
2024,HUZ celkem,Praha,Thajsko,Průměrný počet přenocování ,1.8312510998
2024,HUZ celkem,Praha,Kazachstán,Počet hostů,9478.0
2024,HUZ celkem,Praha,Kazachstán,Počet přenocování,26521.0
2024,HUZ celkem,Praha,Kazachstán,Průměrný počet přenocování ,2.7981641697
2024,HUZ celkem,Praha,Ostatní asijské země,Počet hostů,158646.0
2024,HUZ celkem,Praha,Ostatní asijské země,Počet přenocování,373615.0
2024,HUZ celkem,Praha,Ostatní asijské země,Průměrný počet přenocování ,2.3550231333
2024,HUZ celkem,Praha,Jižní Afrika,Počet hostů,7174.0
2024,HUZ celkem,Praha,Jižní Afrika,Počet přenocování,18100.0
2024,HUZ celkem,Praha,Jižní Afrika,Průměrný počet přenocování ,2.5229997212
2024,HUZ celkem,Praha,Ostatní africké země,Počet hostů,30470.0
2024,HUZ celkem,Praha,Ostatní africké země,Počet přenocování,73215.0
2024,HUZ celkem,Praha,Ostatní africké země,Průměrný počet přenocování ,2.4028552675
2024,HUZ celkem,Praha,Austrálie,Počet hostů,67562.0
2024,HUZ celkem,Praha,Austrálie,Počet přenocování,170746.0
2024,HUZ celkem,Praha,Austrálie,Průměrný počet přenocování ,2.5272490453
2024,HUZ celkem,Praha,Nový Zéland,Počet hostů,11068.0
2024,HUZ celkem,Praha,Nový Zéland,Počet přenocování,28099.0
2024,HUZ celkem,Praha,Nový Zéland,Průměrný počet přenocování ,2.5387603903
2024,HUZ celkem,Praha,Oceánie,Počet hostů,3246.0
2024,HUZ celkem,Praha,Oceánie,Počet přenocování,6630.0
2024,HUZ celkem,Praha,Oceánie,Průměrný počet přenocování ,2.0425138632
