Území;Ukazatel;Očištění;Typ indexu;Typ tržeb;Vybraná průmyslová činnost;Úhrn 12 měsíců;value
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2023;103.3434458233
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2023;103.6905498874
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2023;105.6811915424
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2023;106.3585648692
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2023;109.2360766612
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2023;111.8209079533
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2023;113.1377909884
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2023;114.7697001449
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2023;116.4707526257
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2023;115.9715818336
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2023;115.4945104091
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2023;115.2576327237
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2022;115.9402960035
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2022;115.9651316597
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2022;115.3457214358
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2022;113.0803300631
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2022;110.6414649655
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2022;108.9683001654
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2022;108.2879250493
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2022;107.7868186074
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2022;108.6372223486
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2022;112.5343124056
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2022;113.7478558475
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2022;112.8870365732
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2021;111.0742822516
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2021;111.1063839778
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2021;110.2045050879
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2021;111.0888856369
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2021;111.3028048627
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2021;110.1320277782
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2021;109.4837867769
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2021;107.7120127684
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2021;102.3881398566
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2021;95.7482826394
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2021;93.2849253682
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2021;93.4041846758
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2020;93.8482599085
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2020;93.2280054552
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2020;92.53772072
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2020;92.0228634433
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2020;92.3825711211
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2020;92.4840296259
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2020;93.2145080933
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2020;93.2512720449
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2020;96.2531293826
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2020;99.8322258613
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2020;101.0277732523
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2020;101.1704736087
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2019;101.0721686093
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2019;101.1031313426
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2019;102.5212482392
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2019;103.6417090329
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2019;103.3130522207
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2019;104.0475080042
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2019;104.2588917354
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2019;104.9525038109
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2019;104.3706789421
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2019;104.1445249018
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2019;103.3007495026
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2019;103.1219882102
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2018;103.5193666306
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2018;103.5944980517
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2018;103.2421875235
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2018;103.2505148816
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2018;103.4197949713
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2018;103.5727547405
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2018;103.3307371951
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2018;103.5601355443
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2018;104.6910675396
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2018;104.4074689918
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2018;106.1287757335
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2018;106.4881141547
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2017;107.1596621555
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2017;107.4914414339
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2017;107.7058583187
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2017;106.6211561549
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2017;106.4302646264
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2017;107.081525445
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2017;104.8712088095
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2017;104.5132719674
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2017;103.9161828774
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2017;103.886640662
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2017;102.5187235338
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2017;102.3678876513
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2016;101.1887207914
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2016;100.6176193269
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2016;100.0180329901
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2016;100.3283295827
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2016;100.08282254
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2016;99.0759285849
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2016;100.7867008755
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2016;101.2004508073
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2016;100.819680863
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2016;101.0598000318
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2016;101.6648568119
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2016;101.6294735562
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2015;101.9882712547
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2015;102.828923546
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2015;102.9793475713
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2015;103.6128728375
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2015;104.7927644848
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2015;104.617815813
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2015;105.6376273061
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2015;106.1802602337
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2015;106.594806885
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2015;107.1794136824
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2015;107.6949662047
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2015;108.4164072145
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2014;108.9125652993
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2014;109.0963341376
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2014;109.4164574079
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2014;108.8916692092
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2014;108.5206594899
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2014;109.0756337598
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2014;108.2191568461
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2014;106.5960384531
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2014;106.0830505173
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2014;105.464593553
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2014;104.0728707755
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2014;102.5804369515
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2013;101.5337318922
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2013;99.9293959015
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2013;99.1857835641
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2013;99.4642566657
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2013;98.6225609073
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2013;98.2723400031
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2013;98.3808543454
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2013;98.9774054162
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2013;98.9538338727
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2013;98.9120902651
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2013;99.3783484057
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2013;100.653760704
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2012;101.6816257932
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2012;102.7608950801
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2012;103.6070678921
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2012;103.3457856585
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2012;103.6358243702
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2012;104.058490067
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2012;104.0292851593
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2012;104.4241082141
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2012;105.6098131813
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2012;105.9500019235
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2012;106.797917634
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2012;107.0057586338
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2011;107.554031566
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2011;108.2966610994
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2011;109.0291971614
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2011;109.4921899928
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2011;110.5896458792
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2011;111.2169816847
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2011;111.3532337903
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2011;111.7357503498
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2011;111.8564904844
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2011;112.1076085889
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2011;111.6111085261
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2011;110.6931223559
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2010;109.5112822641
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2010;108.1919324527
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2010;106.4359695881
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2010;104.4841848138
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2010;101.6525273576
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2010;99.4439417987
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červen 2010;97.0906991646
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);květen 2010;94.8751545794
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);duben 2010;91.7594418323
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);březen 2010;89.0823041792
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);únor 2010;87.6640781795
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);leden 2010;85.9544583799
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);prosinec 2009;84.1202593842
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);listopad 2009;83.6148531357
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);říjen 2009;82.5856173065
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);září 2009;82.9492752394
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);srpen 2009;84.814186244
Česko;Tržby z průmyslové činnosti (běžné ceny);Bez očištění;Meziroční index;Celkem;Průmysl celkem (B+C+D);červenec 2009;85.5205721875
