Ukazatel,Pohlaví,Roky,"ČR, Reg. soudržnosti, Kraje",Nejvyšší ukončené vzdělání,value
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,Základní ,8.7481017336
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,Střední bez maturity,3.3129913666
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,Střední s maturitou,2.8137933213
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,Vyšší a vysokoškolské,1.0358222874
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,Celkem,3.2354410287
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,Základní ,10.135423937
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,Střední bez maturity,3.7372970733
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,Střední s maturitou,2.1665438261
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,Vyšší a vysokoškolské,2.2570580434
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,Celkem,1.9501223731
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,Základní ,6.6887278854
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,Střední bez maturity,2.6465023115
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,Střední s maturitou,1.2144413708
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,Vyšší a vysokoškolské,1.6026317205
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,Celkem,4.0857649723
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,Základní ,15.328682657
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,Střední bez maturity,4.8007654299
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,Střední s maturitou,3.1212271855
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,Vyšší a vysokoškolské,1.936004296
