Ukazatel,Roky,"Česko, kraje, okresy",Druh soc. dávek,value
Počet vyplacených dávek státní sociální podpory,2024,Plzeňský kraj,Dávky státní sociální podpory celkem,440033
Počet vyplacených dávek státní sociální podpory,2024,Plzeňský kraj,Přídavek na dítě,164803
Počet vyplacených dávek státní sociální podpory,2024,Plzeňský kraj,Rodičovský příspěvek,159698
Počet vyplacených dávek státní sociální podpory,2024,Plzeňský kraj,Příspěvek na bydlení,115091
Počet vyplacených dávek státní sociální podpory,2024,Plzeňský kraj,Porodné,300
Počet vyplacených dávek státní sociální podpory,2024,Plzeňský kraj,Pohřebné,141
Počet vyplacených dávek státní sociální podpory,2024,Plzeňský kraj,Dávky pěstounské péče,26884
Počet vyplacených dávek státní sociální podpory,2024,Karlovarský kraj,Dávky státní sociální podpory celkem,282726
Počet vyplacených dávek státní sociální podpory,2024,Karlovarský kraj,Přídavek na dítě,119082
Počet vyplacených dávek státní sociální podpory,2024,Karlovarský kraj,Rodičovský příspěvek,64528
Počet vyplacených dávek státní sociální podpory,2024,Karlovarský kraj,Příspěvek na bydlení,98818
Počet vyplacených dávek státní sociální podpory,2024,Karlovarský kraj,Porodné,240
Počet vyplacených dávek státní sociální podpory,2024,Karlovarský kraj,Pohřebné,58
Počet vyplacených dávek státní sociální podpory,2024,Karlovarský kraj,Dávky pěstounské péče,20295
Počet vyplacených dávek státní sociální podpory,2024,Ústecký kraj,Dávky státní sociální podpory celkem,1005056
Počet vyplacených dávek státní sociální podpory,2024,Ústecký kraj,Přídavek na dítě,440623
Počet vyplacených dávek státní sociální podpory,2024,Ústecký kraj,Rodičovský příspěvek,204482
Počet vyplacených dávek státní sociální podpory,2024,Ústecký kraj,Příspěvek na bydlení,358856
Počet vyplacených dávek státní sociální podpory,2024,Ústecký kraj,Porodné,928
Počet vyplacených dávek státní sociální podpory,2024,Ústecký kraj,Pohřebné,167
Počet vyplacených dávek státní sociální podpory,2024,Ústecký kraj,Dávky pěstounské péče,52701
Počet vyplacených dávek státní sociální podpory,2024,Liberecký kraj,Dávky státní sociální podpory celkem,462753
Počet vyplacených dávek státní sociální podpory,2024,Liberecký kraj,Přídavek na dítě,186942
Počet vyplacených dávek státní sociální podpory,2024,Liberecký kraj,Rodičovský příspěvek,117055
Počet vyplacených dávek státní sociální podpory,2024,Liberecký kraj,Příspěvek na bydlení,158364
Počet vyplacených dávek státní sociální podpory,2024,Liberecký kraj,Porodné,297
Počet vyplacených dávek státní sociální podpory,2024,Liberecký kraj,Pohřebné,95
Počet vyplacených dávek státní sociální podpory,2024,Liberecký kraj,Dávky pěstounské péče,22975
Počet vyplacených dávek státní sociální podpory,2024,Královéhradecký kraj,Dávky státní sociální podpory celkem,523309
Počet vyplacených dávek státní sociální podpory,2024,Královéhradecký kraj,Přídavek na dítě,214083
Počet vyplacených dávek státní sociální podpory,2024,Královéhradecký kraj,Rodičovský příspěvek,152133
Počet vyplacených dávek státní sociální podpory,2024,Královéhradecký kraj,Příspěvek na bydlení,156676
Počet vyplacených dávek státní sociální podpory,2024,Královéhradecký kraj,Porodné,304
Počet vyplacených dávek státní sociální podpory,2024,Královéhradecký kraj,Pohřebné,113
Počet vyplacených dávek státní sociální podpory,2024,Královéhradecký kraj,Dávky pěstounské péče,21452
Počet vyplacených dávek státní sociální podpory,2024,Pardubický kraj,Dávky státní sociální podpory celkem,486530
Počet vyplacených dávek státní sociální podpory,2024,Pardubický kraj,Přídavek na dítě,205675
Počet vyplacených dávek státní sociální podpory,2024,Pardubický kraj,Rodičovský příspěvek,149704
Počet vyplacených dávek státní sociální podpory,2024,Pardubický kraj,Příspěvek na bydlení,130755
Počet vyplacených dávek státní sociální podpory,2024,Pardubický kraj,Porodné,290
Počet vyplacených dávek státní sociální podpory,2024,Pardubický kraj,Pohřebné,106
Počet vyplacených dávek státní sociální podpory,2024,Pardubický kraj,Dávky pěstounské péče,20350
Počet vyplacených dávek státní sociální podpory,2024,Kraj Vysočina,Dávky státní sociální podpory celkem,456379
Počet vyplacených dávek státní sociální podpory,2024,Kraj Vysočina,Přídavek na dítě,199599
Počet vyplacených dávek státní sociální podpory,2024,Kraj Vysočina,Rodičovský příspěvek,150218
Počet vyplacených dávek státní sociální podpory,2024,Kraj Vysočina,Příspěvek na bydlení,106239
Počet vyplacených dávek státní sociální podpory,2024,Kraj Vysočina,Porodné,207
Počet vyplacených dávek státní sociální podpory,2024,Kraj Vysočina,Pohřebné,116
Počet vyplacených dávek státní sociální podpory,2024,Kraj Vysočina,Dávky pěstounské péče,14815
Počet vyplacených dávek státní sociální podpory,2024,Jihomoravský kraj,Dávky státní sociální podpory celkem,1130048
Počet vyplacených dávek státní sociální podpory,2024,Jihomoravský kraj,Přídavek na dítě,418688
Počet vyplacených dávek státní sociální podpory,2024,Jihomoravský kraj,Rodičovský příspěvek,347096
Počet vyplacených dávek státní sociální podpory,2024,Jihomoravský kraj,Příspěvek na bydlení,363373
Počet vyplacených dávek státní sociální podpory,2024,Jihomoravský kraj,Porodné,621
Počet vyplacených dávek státní sociální podpory,2024,Jihomoravský kraj,Pohřebné,270
Počet vyplacených dávek státní sociální podpory,2024,Jihomoravský kraj,Dávky pěstounské péče,38992
Počet vyplacených dávek státní sociální podpory,2024,Olomoucký kraj,Dávky státní sociální podpory celkem,627666
Počet vyplacených dávek státní sociální podpory,2024,Olomoucký kraj,Přídavek na dítě,268549
Počet vyplacených dávek státní sociální podpory,2024,Olomoucký kraj,Rodičovský příspěvek,174296
Počet vyplacených dávek státní sociální podpory,2024,Olomoucký kraj,Příspěvek na bydlení,184249
Počet vyplacených dávek státní sociální podpory,2024,Olomoucký kraj,Porodné,415
Počet vyplacených dávek státní sociální podpory,2024,Olomoucký kraj,Pohřebné,157
Počet vyplacených dávek státní sociální podpory,2024,Olomoucký kraj,Dávky pěstounské péče,24858
Počet vyplacených dávek státní sociální podpory,2024,Zlínský kraj,Dávky státní sociální podpory celkem,522047
Počet vyplacených dávek státní sociální podpory,2024,Zlínský kraj,Přídavek na dítě,217785
Počet vyplacených dávek státní sociální podpory,2024,Zlínský kraj,Rodičovský příspěvek,160881
Počet vyplacených dávek státní sociální podpory,2024,Zlínský kraj,Příspěvek na bydlení,143013
Počet vyplacených dávek státní sociální podpory,2024,Zlínský kraj,Porodné,234
Počet vyplacených dávek státní sociální podpory,2024,Zlínský kraj,Pohřebné,134
Počet vyplacených dávek státní sociální podpory,2024,Zlínský kraj,Dávky pěstounské péče,17718
Počet vyplacených dávek státní sociální podpory,2024,Moravskoslezský kraj,Dávky státní sociální podpory celkem,1599403
Počet vyplacených dávek státní sociální podpory,2024,Moravskoslezský kraj,Přídavek na dítě,645659
Počet vyplacených dávek státní sociální podpory,2024,Moravskoslezský kraj,Rodičovský příspěvek,316665
Počet vyplacených dávek státní sociální podpory,2024,Moravskoslezský kraj,Příspěvek na bydlení,635766
Počet vyplacených dávek státní sociální podpory,2024,Moravskoslezský kraj,Porodné,974
Počet vyplacených dávek státní sociální podpory,2024,Moravskoslezský kraj,Pohřebné,339
Počet vyplacených dávek státní sociální podpory,2024,Moravskoslezský kraj,Dávky pěstounské péče,84302
