Roky,Šetření,"ČR, regiony, kraje",Ukazatel,value
2024,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),39733.7718149987
2024,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2477.2682965779
2024,Pracovištní metoda,Severovýchod,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.6492237935
2024,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),643.7169354877
2024,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),5.1721355807
2024,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.8099878946
2024,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44122.3737585932
2024,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2938.2272300356
2024,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.134364744
2024,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),679.5933804847
2024,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),10.0196682977
2024,Pracovištní metoda,Jihovýchod,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.4964249813
2024,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),41793.1075227165
2024,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2517.4876383588
2024,Pracovištní metoda,Jihovýchod,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.4097973393
2024,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),426.1862093661
2024,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),3.5338322121
2024,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.8361084435
2024,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),41070.2532999781
2024,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2609.8594440837
2024,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.7858364994
2024,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),448.4938905788
2024,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),6.116437342
2024,Pracovištní metoda,Střední Morava,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.3826286347
2024,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),39027.4559794721
2024,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2281.9646111047
2024,Pracovištní metoda,Střední Morava,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.2101894032
2024,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),417.0510439471
2024,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),1.6544082545
2024,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.3982719436
2024,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),41315.6736524247
2024,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2522.705169557
2024,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.5029959506
2024,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),437.4851922335
2024,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),4.5936139113
2024,Pracovištní metoda,Moravskoslezsko,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.0611465183
2024,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),39385.8926747972
2024,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2160.7088105901
2024,Pracovištní metoda,Moravskoslezsko,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.8044275039
2024,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),810.6325066152
2024,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-54.115281137
2024,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),93.7420734804
2024,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),58148.8208762874
2024,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),5085.3796018256
2024,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),109.5835842525
2024,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),865.2841726063
2024,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-49.3090376153
2024,Pracovištní metoda,Hlavní město Praha,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),94.6086372538
2024,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),54476.120003075
2024,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),4304.6416455098
2024,Pracovištní metoda,Hlavní město Praha,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),108.5798580915
2024,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),425.7927906831
2024,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),8.3858857917
2024,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),102.0090433803
2024,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),46392.1097477744
2024,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3035.3767168305
2024,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.0009350443
2024,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),446.0136875985
2024,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),11.1482639352
2024,Pracovištní metoda,Středočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),102.5636124025
2024,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),44288.833335004
2024,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2672.740732851
2024,Pracovištní metoda,Středočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.4223730911
2024,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),221.2362023506
2024,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),3.1336395641
2024,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.4367733804
2024,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),41746.1291147973
2024,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2666.4905199784
2024,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.8232220559
2024,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),232.264863824
2024,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),4.8574058122
2024,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),102.1359923085
2024,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),39763.8924636991
2024,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2283.2864852622
2024,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.09191454
2024,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),223.4238968138
2024,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),4.0476976475
2024,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.8450942549
2024,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43123.1071727545
2024,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2615.8891624214
2024,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.4578346549
2024,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),235.04555737
2024,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),5.9867985217
2024,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),102.6136518646
2024,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40990.9157827156
2024,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2195.9813711811
2024,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),105.6604848146
2024,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),85.9754264681
2024,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),2.1268898369
2024,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),102.5365855176
2024,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),39636.0170100805
2024,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2594.7682115069
2024,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.0050775707
2024,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),90.2905388219
2024,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),2.847061343
2024,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),103.2558876032
2024,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),37741.7557852966
2024,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2223.3318124465
2024,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.2596578445
2024,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),242.8118397791
2024,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),1.9968747912
2024,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.8292154067
2024,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42571.3214154219
2024,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2979.1627435198
2024,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.5246282179
2024,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),253.7033075656
2024,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),3.4138396619
2024,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.3639565782
2024,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40743.7371388421
2024,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2650.3072225726
2024,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.9573866895
2024,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),145.3214573066
2024,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),2.0678625677
2024,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),101.4434978553
2024,Pracovištní metoda,Liberecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),41549.4669605219
2024,Pracovištní metoda,Liberecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2950.1609175686
2024,Pracovištní metoda,Liberecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.6430413394
2024,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),152.6607304502
2024,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),3.1881700343
2024,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),102.132946693
2024,Pracovištní metoda,Liberecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),39551.9467986764
2024,Pracovištní metoda,Liberecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2558.6061501178
2024,Pracovištní metoda,Liberecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.9163965872
2024,Pracovištní metoda,Královéhradecký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),196.9713071864
2024,Pracovištní metoda,Královéhradecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-0.433732984
2024,Pracovištní metoda,Královéhradecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.7802827204
2024,Pracovištní metoda,Královéhradecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42456.8338782007
2024,Pracovištní metoda,Královéhradecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2669.1190645108
2024,Pracovištní metoda,Královéhradecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.7084000099
2024,Pracovištní metoda,Královéhradecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),207.1268971879
2024,Pracovištní metoda,Královéhradecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),0.8453594358
2024,Pracovištní metoda,Královéhradecký kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.4098085776
2024,Pracovištní metoda,Královéhradecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40375.1428787157
2024,Pracovištní metoda,Královéhradecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2299.5325905772
2024,Pracovištní metoda,Královéhradecký kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.0393847221
2024,Pracovištní metoda,Pardubický kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),183.9695081433
2024,Pracovištní metoda,Pardubický kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),0.9110999729
2024,Pracovištní metoda,Pardubický kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.4977099834
2024,Pracovištní metoda,Pardubický kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),41132.8102941364
2024,Pracovištní metoda,Pardubický kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3001.0933950033
2024,Pracovištní metoda,Pardubický kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.8703337774
2024,Pracovištní metoda,Pardubický kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),193.0919262499
2024,Pracovištní metoda,Pardubický kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),2.2537718074
2024,Pracovištní metoda,Pardubický kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),101.1809859585
2024,Pracovištní metoda,Pardubický kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),39189.5353955438
