Rok sčítání;Ukazatel;Území podle okresů;Pohlaví;Věkové skupiny (desetiletky);value
2021;Obyvatelstvo;Královéhradecký kraj;celkem;10 - 19 let;55753
2021;Obyvatelstvo;Královéhradecký kraj;celkem;20 - 29 let;53041
2021;Obyvatelstvo;Královéhradecký kraj;celkem;30 - 39 let;65218
2021;Obyvatelstvo;Královéhradecký kraj;celkem;40 - 49 let;86762
2021;Obyvatelstvo;Královéhradecký kraj;muž;celkem;266017
2021;Obyvatelstvo;Královéhradecký kraj;muž;0 - 9 let;27984
2021;Obyvatelstvo;Královéhradecký kraj;muž;10 - 19 let;28703
2021;Obyvatelstvo;Královéhradecký kraj;muž;20 - 29 let;27920
2021;Obyvatelstvo;Královéhradecký kraj;muž;30 - 39 let;34061
2021;Obyvatelstvo;Královéhradecký kraj;muž;40 - 49 let;44857
2021;Obyvatelstvo;Královéhradecký kraj;žena;celkem;272286
2021;Obyvatelstvo;Královéhradecký kraj;žena;0 - 9 let;26574
2021;Obyvatelstvo;Královéhradecký kraj;žena;10 - 19 let;27050
2021;Obyvatelstvo;Královéhradecký kraj;žena;20 - 29 let;25121
2021;Obyvatelstvo;Královéhradecký kraj;žena;30 - 39 let;31157
2021;Obyvatelstvo;Královéhradecký kraj;žena;40 - 49 let;41905
2021;Obyvatelstvo;Pardubický kraj;celkem;celkem;510037
2021;Obyvatelstvo;Pardubický kraj;celkem;0 - 9 let;54195
2021;Obyvatelstvo;Pardubický kraj;celkem;10 - 19 let;52956
2021;Obyvatelstvo;Pardubický kraj;celkem;20 - 29 let;51869
2021;Obyvatelstvo;Pardubický kraj;celkem;30 - 39 let;64128
2021;Obyvatelstvo;Pardubický kraj;celkem;40 - 49 let;83364
2021;Obyvatelstvo;Pardubický kraj;muž;celkem;252946
2021;Obyvatelstvo;Pardubický kraj;muž;0 - 9 let;27810
2021;Obyvatelstvo;Pardubický kraj;muž;10 - 19 let;27271
2021;Obyvatelstvo;Pardubický kraj;muž;20 - 29 let;27302
2021;Obyvatelstvo;Pardubický kraj;muž;30 - 39 let;33500
2021;Obyvatelstvo;Pardubický kraj;muž;40 - 49 let;43201
2021;Obyvatelstvo;Pardubický kraj;žena;celkem;257091
2021;Obyvatelstvo;Pardubický kraj;žena;0 - 9 let;26385
2021;Obyvatelstvo;Pardubický kraj;žena;10 - 19 let;25685
2021;Obyvatelstvo;Pardubický kraj;žena;20 - 29 let;24567
2021;Obyvatelstvo;Pardubický kraj;žena;30 - 39 let;30628
2021;Obyvatelstvo;Pardubický kraj;žena;40 - 49 let;40163
2021;Obyvatelstvo;Kraj Vysočina;celkem;celkem;497661
2021;Obyvatelstvo;Kraj Vysočina;celkem;0 - 9 let;52055
2021;Obyvatelstvo;Kraj Vysočina;celkem;10 - 19 let;51251
2021;Obyvatelstvo;Kraj Vysočina;celkem;20 - 29 let;49217
2021;Obyvatelstvo;Kraj Vysočina;celkem;30 - 39 let;61173
2021;Obyvatelstvo;Kraj Vysočina;celkem;40 - 49 let;78872
2021;Obyvatelstvo;Kraj Vysočina;muž;celkem;247368
2021;Obyvatelstvo;Kraj Vysočina;muž;0 - 9 let;26649
2021;Obyvatelstvo;Kraj Vysočina;muž;10 - 19 let;26247
2021;Obyvatelstvo;Kraj Vysočina;muž;20 - 29 let;25907
2021;Obyvatelstvo;Kraj Vysočina;muž;30 - 39 let;32128
2021;Obyvatelstvo;Kraj Vysočina;muž;40 - 49 let;40754
2021;Obyvatelstvo;Kraj Vysočina;žena;celkem;250293
2021;Obyvatelstvo;Kraj Vysočina;žena;0 - 9 let;25406
2021;Obyvatelstvo;Kraj Vysočina;žena;10 - 19 let;25004
2021;Obyvatelstvo;Kraj Vysočina;žena;20 - 29 let;23310
2021;Obyvatelstvo;Kraj Vysočina;žena;30 - 39 let;29045
2021;Obyvatelstvo;Kraj Vysočina;žena;40 - 49 let;38118
2021;Obyvatelstvo;Jihomoravský kraj;celkem;celkem;1197651
2021;Obyvatelstvo;Jihomoravský kraj;celkem;0 - 9 let;130125
2021;Obyvatelstvo;Jihomoravský kraj;celkem;10 - 19 let;116794
2021;Obyvatelstvo;Jihomoravský kraj;celkem;20 - 29 let;129524
2021;Obyvatelstvo;Jihomoravský kraj;celkem;30 - 39 let;169077
2021;Obyvatelstvo;Jihomoravský kraj;celkem;40 - 49 let;193421
2021;Obyvatelstvo;Jihomoravský kraj;muž;celkem;589553
2021;Obyvatelstvo;Jihomoravský kraj;muž;0 - 9 let;66635
2021;Obyvatelstvo;Jihomoravský kraj;muž;10 - 19 let;59718
2021;Obyvatelstvo;Jihomoravský kraj;muž;20 - 29 let;66506
2021;Obyvatelstvo;Jihomoravský kraj;muž;30 - 39 let;87789
2021;Obyvatelstvo;Jihomoravský kraj;muž;40 - 49 let;99754
2021;Obyvatelstvo;Jihomoravský kraj;žena;celkem;608098
2021;Obyvatelstvo;Jihomoravský kraj;žena;0 - 9 let;63490
2021;Obyvatelstvo;Jihomoravský kraj;žena;10 - 19 let;57076
2021;Obyvatelstvo;Jihomoravský kraj;žena;20 - 29 let;63018
2021;Obyvatelstvo;Jihomoravský kraj;žena;30 - 39 let;81288
2021;Obyvatelstvo;Jihomoravský kraj;žena;40 - 49 let;93667
2021;Obyvatelstvo;Olomoucký kraj;celkem;celkem;619788
2021;Obyvatelstvo;Olomoucký kraj;celkem;0 - 9 let;63857
2021;Obyvatelstvo;Olomoucký kraj;celkem;10 - 19 let;63505
2021;Obyvatelstvo;Olomoucký kraj;celkem;20 - 29 let;61533
2021;Obyvatelstvo;Olomoucký kraj;celkem;30 - 39 let;77486
2021;Obyvatelstvo;Olomoucký kraj;celkem;40 - 49 let;100976
2021;Obyvatelstvo;Olomoucký kraj;muž;celkem;303895
2021;Obyvatelstvo;Olomoucký kraj;muž;0 - 9 let;32665
2021;Obyvatelstvo;Olomoucký kraj;muž;10 - 19 let;32325
2021;Obyvatelstvo;Olomoucký kraj;muž;20 - 29 let;31640
2021;Obyvatelstvo;Olomoucký kraj;muž;30 - 39 let;40200
2021;Obyvatelstvo;Olomoucký kraj;muž;40 - 49 let;52196
2021;Obyvatelstvo;Olomoucký kraj;žena;celkem;315893
