Roky,Ukazatel,Území,Druh zemědělské plodiny,value
2023,Sklizeň zemědělských plodin (t),Kraj Vysočina,Ječmen,207136.02
2023,Sklizeň zemědělských plodin (t),Kraj Vysočina,Luskoviny a bílkovinné plodiny na zrno,8868.32
2023,Sklizeň zemědělských plodin (t),Kraj Vysočina,Brambory,199408.07
2023,Sklizeň zemědělských plodin (t),Kraj Vysočina,Řepa cukrová,
2023,Sklizeň zemědělských plodin (t),Kraj Vysočina,Řepka,141743.16
2023,Sklizeň zemědělských plodin (t),Kraj Vysočina,Kukuřice na zeleno,1064792.24
2023,Sklizeň zemědělských plodin (t),Jihomoravský kraj,Obiloviny na zrno,1171681.73
2023,Sklizeň zemědělských plodin (t),Jihomoravský kraj,Pšenice,704967.72
2023,Sklizeň zemědělských plodin (t),Jihomoravský kraj,Ječmen,204134.6
2023,Sklizeň zemědělských plodin (t),Jihomoravský kraj,Luskoviny a bílkovinné plodiny na zrno,21869.8
2023,Sklizeň zemědělských plodin (t),Jihomoravský kraj,Brambory,34056.99
2023,Sklizeň zemědělských plodin (t),Jihomoravský kraj,Řepa cukrová,211770.21
2023,Sklizeň zemědělských plodin (t),Jihomoravský kraj,Řepka,108700.97
2023,Sklizeň zemědělských plodin (t),Jihomoravský kraj,Kukuřice na zeleno,798015.71
2023,Sklizeň zemědělských plodin (t),Olomoucký kraj,Obiloviny na zrno,612324.99
2023,Sklizeň zemědělských plodin (t),Olomoucký kraj,Pšenice,351517.07
2023,Sklizeň zemědělských plodin (t),Olomoucký kraj,Ječmen,196524.12
2023,Sklizeň zemědělských plodin (t),Olomoucký kraj,Luskoviny a bílkovinné plodiny na zrno,3533.29
2023,Sklizeň zemědělských plodin (t),Olomoucký kraj,Brambory,7976.33
2023,Sklizeň zemědělských plodin (t),Olomoucký kraj,Řepa cukrová,717333.66
2023,Sklizeň zemědělských plodin (t),Olomoucký kraj,Řepka,91853.84
2023,Sklizeň zemědělských plodin (t),Olomoucký kraj,Kukuřice na zeleno,611827.9
2023,Sklizeň zemědělských plodin (t),Zlínský kraj,Obiloviny na zrno,322236.27
2023,Sklizeň zemědělských plodin (t),Zlínský kraj,Pšenice,218941.63
2023,Sklizeň zemědělských plodin (t),Zlínský kraj,Ječmen,68573.27
2023,Sklizeň zemědělských plodin (t),Zlínský kraj,Luskoviny a bílkovinné plodiny na zrno,4081.11
2023,Sklizeň zemědělských plodin (t),Zlínský kraj,Brambory,3873.37
2023,Sklizeň zemědělských plodin (t),Zlínský kraj,Řepa cukrová,135045.59
2023,Sklizeň zemědělských plodin (t),Zlínský kraj,Řepka,47248.6
2023,Sklizeň zemědělských plodin (t),Zlínský kraj,Kukuřice na zeleno,294656.11
2023,Sklizeň zemědělských plodin (t),Moravskoslezský kraj,Obiloviny na zrno,367792.5
2023,Sklizeň zemědělských plodin (t),Moravskoslezský kraj,Pšenice,256708.04
2023,Sklizeň zemědělských plodin (t),Moravskoslezský kraj,Ječmen,82614.35
2023,Sklizeň zemědělských plodin (t),Moravskoslezský kraj,Luskoviny a bílkovinné plodiny na zrno,1819.84
2023,Sklizeň zemědělských plodin (t),Moravskoslezský kraj,Brambory,17054.81
2023,Sklizeň zemědělských plodin (t),Moravskoslezský kraj,Řepa cukrová,438646.43
2023,Sklizeň zemědělských plodin (t),Moravskoslezský kraj,Řepka,69508.84
2023,Sklizeň zemědělských plodin (t),Moravskoslezský kraj,Kukuřice na zeleno,331458.92
