Území;Čtvrtletí;Institucionální sektory;Ukazatel;value
Česko;4. čtvrtletí 2024;Neziskové instituce sloužící domácnostem;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);104.6741773518
Česko;4. čtvrtletí 2024;Neziskové instituce sloužící domácnostem;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);42410.0836885785
Česko;4. čtvrtletí 2024;Neziskové instituce sloužící domácnostem;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);1454.3573470514
Česko;4. čtvrtletí 2024;Neziskové instituce sloužící domácnostem;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);103.5510476238
Česko;4. čtvrtletí 2024;Neziskové instituce sloužící domácnostem;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);88.9434171561
Česko;4. čtvrtletí 2024;Neziskové instituce sloužící domácnostem;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);2.7166051511
Česko;4. čtvrtletí 2024;Neziskové instituce sloužící domácnostem;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);103.1505341413
Česko;4. čtvrtletí 2024;Neziskové instituce sloužící domácnostem;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);36083.3784826173
Česko;4. čtvrtletí 2024;Neziskové instituce sloužící domácnostem;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);1744.6174437701
Česko;4. čtvrtletí 2024;Neziskové instituce sloužící domácnostem;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);105.0806068448
Česko;4. čtvrtletí 2024;Ústřední vládní instituce;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);367.1128389275
Česko;4. čtvrtletí 2024;Ústřední vládní instituce;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);0.1591952091
Česko;4. čtvrtletí 2024;Ústřední vládní instituce;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);100.0433829209
Česko;4. čtvrtletí 2024;Ústřední vládní instituce;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);57725.1660041553
Česko;4. čtvrtletí 2024;Ústřední vládní instituce;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);2489.7357086568
Česko;4. čtvrtletí 2024;Ústřední vládní instituce;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);104.5074976249
Česko;4. čtvrtletí 2024;Ústřední vládní instituce;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);396.4031314344
Česko;4. čtvrtletí 2024;Ústřední vládní instituce;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);2.736613126
Česko;4. čtvrtletí 2024;Ústřední vládní instituce;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.6951602432
Česko;4. čtvrtletí 2024;Ústřední vládní instituce;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);53459.8440044159
Česko;4. čtvrtletí 2024;Ústřední vládní instituce;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);1972.5026465976
Česko;4. čtvrtletí 2024;Ústřední vládní instituce;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);103.8310438927
Česko;4. čtvrtletí 2024;Místní vládní instituce;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);543.1110331878
Česko;4. čtvrtletí 2024;Místní vládní instituce;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);9.0515277001
Česko;4. čtvrtletí 2024;Místní vládní instituce;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.694853777
Česko;4. čtvrtletí 2024;Místní vládní instituce;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);50474.1913225607
Česko;4. čtvrtletí 2024;Místní vládní instituce;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);1639.2404253927
Česko;4. čtvrtletí 2024;Místní vládní instituce;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);103.3566951441
Česko;4. čtvrtletí 2024;Místní vládní instituce;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);589.5869040976
Česko;4. čtvrtletí 2024;Místní vládní instituce;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);12.3409844974
Česko;4. čtvrtletí 2024;Místní vládní instituce;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);102.1379076193
Česko;4. čtvrtletí 2024;Místní vládní instituce;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);46495.4190942804
Česko;4. čtvrtletí 2024;Místní vládní instituce;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);1314.0347984459
Česko;4. čtvrtletí 2024;Místní vládní instituce;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);102.9083544449
Česko;4. čtvrtletí 2024;Fondy sociálního zabezpečení;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);6.2202143606
Česko;4. čtvrtletí 2024;Fondy sociálního zabezpečení;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);0.0884348206
Česko;4. čtvrtletí 2024;Fondy sociálního zabezpečení;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.4422374459
Česko;4. čtvrtletí 2024;Fondy sociálního zabezpečení;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);83985.1424283742
Česko;4. čtvrtletí 2024;Fondy sociálního zabezpečení;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);4762.6071405804
Česko;4. čtvrtletí 2024;Fondy sociálního zabezpečení;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.0116823115
Česko;4. čtvrtletí 2024;Fondy sociálního zabezpečení;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);6.3906527179
Česko;4. čtvrtletí 2024;Fondy sociálního zabezpečení;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);0.0995770348
Česko;4. čtvrtletí 2024;Fondy sociálního zabezpečení;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.5828300242
Česko;4. čtvrtletí 2024;Fondy sociálního zabezpečení;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);81745.2632881614
Česko;4. čtvrtletí 2024;Fondy sociálního zabezpečení;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);4528.7194970324
Česko;4. čtvrtletí 2024;Fondy sociálního zabezpečení;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);105.8649601169
