Stát,Roky,Ukazatel,Odvětví ekonomické činnosti,value
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,1.0921727346
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,H - Doprava a skladování,2.981142101
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,"I - Ubytování, stravování a pohostinství",0.6622608125
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,J - Informační a komunikační činnosti,1.3192753934
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,K - Peněžnictví a pojišťovnictví,0.7934921561
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,L - Činnosti v oblasti nemovitostí,0.4733684536
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,"M - Profesní, vědecké a technické činnosti",0.574295769
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,N - Administrativní a podpůrné činnosti,1.3309492418
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,O - Veřejná správa a obrana; povinné sociální zabezpečení,2.2960092861
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,P - Vzdělávání,0.6885688567
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Q - Zdravotní a sociální péče,5.3667587369
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,"R - Kulturní, zábavní a rekreační činnosti",0.7768369385
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,S - Ostatní činnosti,0.3604692497
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Celkem,17.0104159569
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,"A - Zemědělství, lesnictví, rybářství",8.086072549
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,B-E - Průmysl celkem,12.2719919461
